step,regime,num_layers,modulus,train_fraction,d_model,num_heads,d_mlp,train_loss,train_accuracy,test_loss,test_accuracy,elapsed_seconds,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step
0,adamw,2,113,0.3,128,4,512,5.030826568603516,0.008093995042145252,5.042934894561768,0.009844501502811909,0.3205664590059314,27.71200264974967,123.10922682798059,6.167367458343506,nan,nan,nan,nan,nan,0,0,0,
100,adamw,2,113,0.3,128,4,512,1.566589593887329,0.635248064994812,9.065203666687012,0.002908602822571993,3.825270459012245,29.943038838380062,94.583477225659,7.848267555236816,4.918383970734725,0.4720984487377135,0.45363619923591614,nan,nan,0,0,0,
200,adamw,2,113,0.3,128,4,512,0.28177207708358765,0.9994778037071228,12.684587478637695,0.002461125375702977,7.0562547920126235,30.98142084150018,73.59623185001806,9.78453254699707,0.48776026653030274,0.056913950501649074,0.10233612358570099,nan,nan,0,0,0,
300,adamw,2,113,0.3,128,4,512,0.32931897044181824,0.9994778037071228,11.416427612304688,0.002908602822571993,10.317667625000468,30.09283673189877,57.86407090295179,10.2896146774292,0.38747411278778765,0.07614767903258592,0.10052724927663803,nan,nan,0,0,0,
400,adamw,2,113,0.3,128,4,512,0.28342050313949585,1.0,11.671971321105957,0.0027967335190624,13.614155834002304,29.792351210010352,46.41170978238364,10.750429153442383,0.7405535405547676,0.12261576708806676,0.08701733499765396,nan,nan,0,0,0,
500,adamw,2,113,0.3,128,4,512,0.26175469160079956,1.0,11.68320369720459,0.003132341429591179,16.861065417004284,29.77501553457723,38.19854336086113,11.107547760009766,1.348154526690238,0.2217998645658395,0.08177565038204193,nan,nan,0,0,0,
600,adamw,2,113,0.3,128,4,512,0.4682196080684662,0.9770234823226929,10.64047908782959,0.002125517465174198,20.13970983400941,29.590480534611014,32.33884445636352,11.310173988342285,3.877531803410709,0.745232525448696,0.27346134185791016,nan,nan,0,0,0,
700,adamw,2,113,0.3,128,4,512,0.7699708938598633,0.849869430065155,11.633724212646484,0.003467949340119958,23.398023584013572,29.577103015143816,27.889383849072235,11.565849304199219,16.63605195508634,2.947315441404269,0.15866173803806305,nan,nan,1,0,0,
800,adamw,2,113,0.3,128,4,512,0.41203951835632324,0.9741514325141907,10.78023624420166,0.003020472126081586,26.645969834004063,29.334077909555717,24.75732711349416,11.582540512084961,9.50138630937395,2.195620181923492,0.15576739609241486,nan,nan,0,0,0,
900,adamw,2,113,0.3,128,4,512,0.27520230412483215,1.0,11.044360160827637,0.003020472126081586,29.897664584001177,29.20185740876676,22.304707433989797,11.645970344543457,0.709557823151807,0.24463428253511493,0.0885210931301117,nan,nan,0,0,0,
1000,adamw,2,113,0.3,128,4,512,0.33642926812171936,0.9992167353630066,10.597901344299316,0.002684863982722163,33.28675391701108,29.028373687083654,20.444560209655023,11.631317138671875,6.8402045938097995,1.5651525442366807,0.22434449195861816,nan,nan,0,0,0,
1100,adamw,2,113,0.3,128,4,512,0.2315480262041092,1.0,11.190408706665039,0.0027967335190624,36.59411395901407,28.979601950259934,18.913111118512127,11.678840637207031,0.46453818460676743,0.20900377076920407,0.08105861395597458,nan,nan,0,0,0,
1200,adamw,2,113,0.3,128,4,512,0.245742529630661,1.0,10.938333511352539,0.002349256072193384,39.86512629200297,28.77692175935234,17.857230737977886,11.627141952514648,0.49783566403378754,0.24435904894709146,0.07813164591789246,nan,nan,0,0,0,
1300,adamw,2,113,0.3,128,4,512,0.24521176517009735,0.9997389316558838,11.031269073486328,0.003020472126081586,43.16685520901228,28.51954481191297,16.8955216204774,11.555100440979004,6.888005357913057,1.289474205119138,0.08820511400699615,nan,nan,0,0,0,
1400,adamw,2,113,0.3,128,4,512,0.25581952929496765,0.9997389316558838,10.811972618103027,0.003244210733100772,46.44616683400818,28.404909270950714,16.169142596246445,11.535277366638184,2.948552873338427,0.591722224550633,0.16715069115161896,nan,nan,0,0,0,
1500,adamw,2,113,0.3,128,4,512,0.2102677822113037,1.0,11.003840446472168,0.0038035574834793806,49.739325417001965,28.24368578737138,15.409050488546091,11.48277759552002,3.3204135962862287,0.5574058473717884,0.07142741233110428,nan,nan,0,0,0,
1600,adamw,2,113,0.3,128,4,512,0.2249724417924881,1.0,10.778255462646484,0.0038035574834793806,53.0918429170124,28.243806818089915,14.988217710281452,11.465782165527344,1.3148630143054478,0.3521060232137109,0.140363872051239,nan,nan,0,0,0,
