step,regime,num_layers,modulus,train_fraction,d_model,num_heads,d_mlp,parameter_count,hidden_matrix_count,initialization_scheme,train_loss,train_accuracy,test_loss,test_accuracy,elapsed_seconds,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step
0,adamw,2,113,0.3,128,4,512,422656,8,nested_depth_one_shared_v2,5.2187628746032715,0.008616187609732151,5.209828853607178,0.009844501502811909,0.30002370799775235,27.71200264974967,123.10922682798059,6.175757884979248,nan,nan,nan,nan,nan,0,0,0,
100,adamw,2,113,0.3,128,4,512,422656,8,nested_depth_one_shared_v2,1.827962040901184,0.5548303127288818,8.944136619567871,0.0011186933843418956,3.787393416001578,29.831152619916136,94.65580587602422,7.676980018615723,4.668802885764913,0.42990265069125216,0.3073001801967621,nan,nan,0,0,0,
200,adamw,2,113,0.3,128,4,512,422656,8,nested_depth_one_shared_v2,0.33337804675102234,0.997650146484375,12.47300910949707,0.0014543014112859964,7.069260082993424,31.430881660048843,73.95358831820629,9.771167755126953,0.48476294101874334,0.05629899226271387,0.12540973722934723,nan,nan,0,0,0,
300,adamw,2,113,0.3,128,4,512,422656,8,nested_depth_one_shared_v2,0.42610877752304077,0.992428183555603,11.41443157196045,0.0012305626878514886,10.389707707989146,30.716155006831144,58.19580965492629,10.368865013122559,0.47030230304763576,0.07480628148941584,0.11490556597709656,nan,nan,0,0,0,
400,adamw,2,113,0.3,128,4,512,422656,8,nested_depth_one_shared_v2,1.1847881078720093,0.6830286979675293,11.751517295837402,0.002237386768683791,13.681555165996542,30.400603578959757,46.900924400985645,10.827746391296387,27.51357741792148,3.720452262379008,1.7487213611602783,nan,nan,0,0,0,
500,adamw,2,113,0.3,128,4,512,422656,8,nested_depth_one_shared_v2,0.31182897090911865,1.0,11.283263206481934,0.002237386768683791,17.085630874993512,29.909421578206228,38.81100116306384,11.087111473083496,2.0600991427339825,0.28660911119431504,0.09132571518421173,nan,nan,0,0,0,
600,adamw,2,113,0.3,128,4,512,422656,8,nested_depth_one_shared_v2,0.273293673992157,1.0,11.377839088439941,0.002013648161664605,20.348897832998773,29.796912510299844,33.06289581099469,11.2823486328125,1.0111367485017364,0.19030884766998002,0.10561177134513855,nan,nan,0,0,0,
700,adamw,2,113,0.3,128,4,512,422656,8,nested_depth_one_shared_v2,0.3146092891693115,0.9997389316558838,10.843737602233887,0.002237386768683791,23.6359926659934,29.588706139766327,28.834438319935792,11.325323104858398,0.5729523613438305,0.1529267333638902,0.11395777016878128,nan,nan,0,0,0,
800,adamw,2,113,0.3,128,4,512,422656,8,nested_depth_one_shared_v2,0.2633163332939148,1.0,11.220970153808594,0.002349256072193384,27.05333729099948,29.27515609043064,25.5484519776078,11.345925331115723,1.5211681692182304,0.2803115953934278,0.09137286245822906,nan,nan,0,0,0,
900,adamw,2,113,0.3,128,4,512,422656,8,nested_depth_one_shared_v2,0.2507888376712799,1.0,11.143916130065918,0.002125517465174198,30.380241790990112,29.0964064866028,23.192984357862628,11.349329948425293,0.43375491684443124,0.17665845491705395,0.0856785699725151,nan,nan,0,0,0,
1000,adamw,2,113,0.3,128,4,512,422656,8,nested_depth_one_shared_v2,0.230442613363266,1.0,11.209456443786621,0.002013648161664605,33.66167799998948,28.844339967628777,21.263595208169992,11.323053359985352,0.38679306043732997,0.17527582957117063,0.07751244306564331,nan,nan,0,0,0,
1100,adamw,2,113,0.3,128,4,512,422656,8,nested_depth_one_shared_v2,0.38178548216819763,0.9519582390785217,11.280542373657227,0.00257299467921257,36.951426624989836,28.632678162652166,19.71547233981088,11.257755279541016,16.204091823315892,1.8201790690255508,0.13865913450717926,nan,nan,0,0,0,
1200,adamw,2,113,0.3,128,4,512,422656,8,nested_depth_one_shared_v2,0.2058192789554596,1.0,11.221631050109863,0.002349256072193384,40.22946399998909,28.533841508782583,18.583485881399703,11.22752857208252,0.8830731406611424,0.2361269732871814,0.11371724307537079,nan,nan,0,0,0,
1300,adamw,2,113,0.3,128,4,512,422656,8,nested_depth_one_shared_v2,0.23010766506195068,1.0,10.957719802856445,0.002908602822571993,43.5140519580018,28.550108922448672,17.828977640021456,11.134208679199219,0.40294461565016954,0.2032129150904927,0.09563102573156357,nan,nan,0,0,0,
1400,adamw,2,113,0.3,128,4,512,422656,8,nested_depth_one_shared_v2,0.39171379804611206,0.9934725761413574,10.227184295654297,0.0027967335190624,46.78434245799144,28.152190030552244,17.06313058370009,10.84793758392334,4.6260879110415205,0.9107254972533652,0.3067440092563629,nan,nan,0,0,0,
1500,adamw,2,113,0.3,128,4,512,422656,8,nested_depth_one_shared_v2,0.21500028669834137,1.0,10.864150047302246,0.002908602822571993,50.073156207989086,28.213402650141347,16.42593859267359,10.780508041381836,1.1204548395990808,0.2633189474669458,0.14681009948253632,nan,nan,0,0,0,
