step,regime,num_layers,modulus,train_fraction,d_model,num_heads,d_mlp,parameter_count,hidden_matrix_count,initialization_scheme,train_loss,train_accuracy,test_loss,test_accuracy,elapsed_seconds,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step
0,adamw,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,5.319661617279053,0.008355091325938702,5.3094072341918945,0.008725808002054691,0.18875083301099949,39.19602115614253,123.10922682798059,6.175757884979248,nan,nan,nan,nan,nan,0,0,0,
100,adamw,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,1.3302521705627441,0.6190600395202637,11.887659072875977,0.0010068240808323026,6.559709708002629,36.40367598716088,94.7483472432712,6.953148365020752,18.586988082391418,1.1894123720826175,1.758531928062439,nan,nan,0,0,0,
200,adamw,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,2.412924289703369,0.4634464681148529,6.84538459777832,0.00257299467921257,12.726552207997884,31.902961049980707,72.71004216221793,6.808404922485352,0.9740654648506355,0.09896519742464896,0.35402658581733704,nan,nan,0,0,0,
300,adamw,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,2.1782820224761963,0.436292439699173,7.88199520111084,0.002349256072193384,18.88389283300785,30.019252648243526,57.458880605049664,6.853618144989014,4.034604495250945,0.5370057257489853,1.1168376207351685,nan,nan,0,0,0,
400,adamw,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,1.9335441589355469,0.5686684250831604,7.158153057098389,0.0019017787417396903,25.046587167002144,28.15158559778791,45.92662077450541,6.5486884117126465,1.3218870975749613,0.2164188177690573,0.4439764618873596,nan,nan,0,0,0,
500,adamw,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,1.9773310422897339,0.47989556193351746,10.021220207214355,0.0035798188764601946,31.21485833299812,27.482173706858156,37.472129357026965,6.41246223449707,15.525025068306412,1.8923596023185232,2.507209300994873,nan,nan,0,0,0,
600,adamw,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,1.5625282526016235,0.6733681559562683,6.996222019195557,0.00514598935842514,37.38222087500617,26.313016838651382,30.984948245081497,6.029256343841553,1.4479678210259967,0.3089494696926337,0.5005862712860107,nan,nan,0,0,0,
700,adamw,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,0.34475159645080566,0.9906005263328552,9.480643272399902,0.006935898680239916,43.53034308300994,26.198276762804976,26.286048961600795,5.99562406539917,1.138770587797513,0.21893101243272184,0.2860296070575714,nan,nan,0,0,0,
800,adamw,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,0.35489434003829956,0.9872062802314758,7.792910575866699,0.018234701827168465,49.69353333300387,25.558914928258513,22.543094715040933,5.797709941864014,0.5774928016399605,0.18855734808565844,0.2214919477701187,nan,nan,0,0,0,
900,adamw,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,4.228135108947754,0.10992167145013809,6.201900482177734,0.018458440899848938,55.90562575000513,24.095129455727864,19.287732975983968,5.371941566467285,11.787983667825102,2.9124161169890224,5.893528461456299,nan,nan,0,0,0,
1000,adamw,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,2.492326259613037,0.2130548357963562,3.215224266052246,0.08804117143154144,62.06643529199937,21.537199356867287,15.85601574167885,4.803450584411621,13.49135972137725,1.948596326739999,15.919055938720703,nan,nan,0,0,0,
1100,adamw,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,2.1134743690490723,0.4026109576225281,2.5336601734161377,0.13692806661128998,68.26567045800039,18.809665697958124,12.78759084265146,4.025592803955078,0.7469447322457696,0.4143331094078555,0.6147500276565552,nan,nan,0,0,0,
1200,adamw,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,1.680109977722168,0.4926892817020416,2.038480281829834,0.21590782701969147,74.42457291700703,17.552396954018153,10.677149521331444,3.409161329269409,0.5872821814740834,0.270044126185071,1.2574021816253662,nan,nan,0,0,0,
1300,adamw,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,2.967933416366577,0.12402088940143585,3.062953233718872,0.09150911867618561,80.59383516700473,14.813681125547296,8.482753794281376,2.8408427238464355,1.5031513579692217,1.2116416254749496,1.761025309562683,nan,nan,0,0,0,
1400,adamw,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,3.5340490341186523,0.08433420211076736,3.567692518234253,0.06812842935323715,86.76164033300302,13.111993109447164,7.027954411878196,2.359261989593506,1.6954810475013349,0.9999681557357049,0.5491586327552795,nan,nan,0,0,0,
