step,regime,num_layers,modulus,train_fraction,d_model,num_heads,d_mlp,parameter_count,hidden_matrix_count,initialization_scheme,train_loss,train_accuracy,test_loss,test_accuracy,elapsed_seconds,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step
0,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,5.319661617279053,0.008355091325938702,5.3094072341918945,0.008725808002054691,0.18106970899680164,39.19602115614253,123.10922682798059,6.175757884979248,nan,nan,nan,nan,nan,0,0,0,
100,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,0.3454430103302002,0.8947780728340149,25.007488250732422,0.006152813322842121,11.533371500001522,71.49169466673881,111.97623812178932,6.070583820343018,73.01169071487854,6.168278698006472,2.056791067123413,1.8580477776170863,0.012920862063765526,0,0,0,
200,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,2.6747665405273438,0.5796344876289368,33.73045349121094,0.005705336108803749,22.648024958994938,88.28514793800629,101.24182663705915,5.77854061126709,41.22427466235834,4.516444027088158,6.528313159942627,1.8486303858600497,0.013464067131280899,0,0,0,
300,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,11.021892547607422,0.05274151265621185,17.670677185058594,0.00402729632332921,33.76971870899433,96.97684833410123,91.45952421793943,5.039996147155762,91.24015707801969,12.311511052337043,19.579500198364258,1.8612576865034258,0.019583387300372124,0,0,0,
400,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,14.591316223144531,0.020626632496714592,17.58758544921875,0.006488421466201544,44.8908881249954,105.0119346623889,82.59782531035091,4.291687488555908,122.5711196545496,6.626873446507186,35.60358428955078,1.859503265617505,0.018881971016526222,0,0,0,
500,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,7.006433486938477,0.03263707458972931,8.887575149536133,0.00827833078801632,56.054317250003805,112.90722434147129,74.60461410637294,3.803614616394043,97.44675802653796,6.886070635208412,20.686965942382812,1.8634291964629264,0.017497727647423744,0,0,0,
600,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,5.607485771179199,0.0352480411529541,7.481189250946045,0.004922250751405954,67.20354208399658,113.35932424422458,67.43177031682292,3.526604413986206,25.520236943740702,1.2526090149655453,8.098139762878418,1.873699656304203,0.01843273639678955,0,0,0,
700,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,4.563438415527344,0.08328981697559357,7.737494945526123,0.003020472126081586,78.31046479199722,112.11895398273528,60.9700263677446,3.344468355178833,51.71790414517752,8.41387253829498,11.931686401367188,1.8452293627435563,0.01735031232237816,0,0,0,
800,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,1.5383929014205933,0.6080939769744873,16.01423454284668,0.002461125375702977,89.39776949999214,112.52767957257895,55.13495311139806,3.1949615478515625,14.603457884636917,1.9781187245756673,5.387073993682861,1.8542069134559869,0.016858762130141258,0,0,0,
900,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,1.785707950592041,0.6738903522491455,32.71857833862305,0.00257299467921257,100.51470349999727,109.32702320003104,49.87109218656035,3.0543923377990723,27.93071560568416,3.0179846432717476,13.532270431518555,1.8401929314575376,0.016867797821760178,0,0,0,
1000,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,1.2316031455993652,0.8057441115379333,49.34583282470703,0.003020472126081586,111.71697733399924,112.60467433926453,45.09573227580269,2.892333507537842,13.885034803037986,2.3889145521291035,9.809696197509766,1.7938876171504428,0.016610505059361458,0,0,0,
1100,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,0.5889983773231506,0.9214099049568176,74.39131927490234,0.002684863982722163,122.86261233399273,111.83109849804022,40.789965126513366,2.754790782928467,24.812479488051476,4.792351181684367,14.229805946350098,1.8484320222755066,0.016390133649110794,0,0,0,
1200,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,0.9072800278663635,0.9062663316726685,95.30404663085938,0.002237386768683791,133.99691120900388,107.38621936558754,36.90257504993935,2.6247363090515137,29.90204224767408,6.256155611435521,17.88747215270996,1.842576908477384,0.01762404479086399,0,0,0,
1300,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,3.520010232925415,0.8530026078224182,197.0175323486328,0.0019017787417396903,145.12166316699586,104.89723499142151,33.49664323831119,2.422297716140747,60.22221306917809,12.436170916931879,40.64052963256836,1.7893876495821128,0.017757613211870193,0,0,0,
1400,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,6.014983177185059,0.7859007716178894,200.7328338623047,0.002349256072193384,156.35733370899106,103.36178823485304,30.333857148849383,2.2544500827789307,190.30596087170483,34.8977861746692,61.2222785949707,1.4649553573397736,0.017070097848773003,0,0,0,
1500,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,4.497118949890137,0.7809399366378784,151.3391876220703,0.0038035574834793806,167.4881468340027,102.86799560955619,27.548395331744565,2.0642426013946533,90.55958619086618,21.727830262283074,44.826568603515625,1.6994393043686953,0.016285350546240807,0,0,0,
1600,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,16.616487503051758,0.20626631379127502,49.1452522277832,0.005034120287746191,178.6035970840021,101.69300096775613,24.9010429127302,1.7479084730148315,185.67696037751912,22.19842084939827,104.38699340820312,1.487843321541895,0.014915411360561848,0,0,0,
1700,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,8.535548210144043,0.01253263745456934,9.443242073059082,0.006935898680239916,189.70087654200324,107.04255095818455,22.365111763906185,1.3689512014389038,107.5554832669818,32.51268021986089,70.48667907714844,1.7123727227210097,0.01861315593123436,0,0,0,
1800,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,4.917793273925781,0.022454308345913887,5.962194442749023,0.00402729632332921,200.84049204199982,118.63958047990344,20.175325404806,1.2387181520462036,10.734806131243154,1.9880354384851628,17.928722381591797,1.8158542841964143,0.019708646461367607,0,0,0,
1900,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,4.362635612487793,0.04334203526377678,6.856042385101318,0.0010068240808323026,211.9935779590014,114.01817296431157,18.23939839303241,1.180063247680664,26.347273804341476,24.42536713859581,14.412322044372559,1.7720834514236965,0.017331929877400398,0,0,0,
2000,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,3.7798078060150146,0.0723237618803978,7.47620153427124,0.0006712159956805408,223.13965770899085,114.73790399477775,16.482169645289726,1.1196931600570679,5.53831209734643,1.6755592099584249,17.799516677856445,1.8752978483122336,0.01907426118850708,0,0,0,
2100,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,2.8622334003448486,0.288772851228714,11.664877891540527,0.0011186933843418956,234.26862524999888,107.79308858050837,14.911716295861948,1.0795748233795166,11.190132562848156,6.077733096202984,16.149972915649414,1.825990013124687,0.01977407932281494,0,0,0,
2200,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,1.5973358154296875,0.5947780609130859,18.70884895324707,0.002461125375702977,245.43368783399637,108.45098239722142,13.493048021315717,1.033865213394165,29.135891898999365,19.042819884582084,29.838111877441406,1.8430512609807963,0.0192447267472744,0,0,0,
2300,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,0.4704575836658478,0.8702349662780762,32.048011779785156,0.0016780400183051825,256.57026487500116,108.81060950460565,12.234162512836964,0.9770063757896423,9.533368150338177,5.699048044579484,17.291088104248047,1.8406311168555232,0.019122498109936714,0,0,0,
2400,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,2.2401654720306396,0.5707571506500244,27.12409019470215,0.002125517465174198,267.7647074999986,108.35816645364781,11.092839513395191,0.9350547194480896,48.616362774628904,41.38632716916507,33.16576385498047,1.601925582229844,0.01763569936156273,0,0,0,
2500,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,2.2518088817596436,0.47989556193351746,15.733321189880371,0.002684863982722163,278.8907104169921,110.14403893201519,10.09179434178856,0.7841429114341736,22.631384120880455,15.299153014080527,26.212053298950195,1.8595695599853872,0.018404554575681686,0,0,0,
2600,muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,10.612412452697754,0.015143603086471558,11.977453231811523,0.0092851547524333,290.03377683399594,106.80427240662543,9.234087711489058,0.6445170044898987,107.43231679399626,23.39155380070394,244.21624755859375,1.5956612163649728,0.01641032099723816,0,0,0,
