run,step,frequency,hidden_rank,hidden_diagonal_pair_power_fraction,attention_diagonal_pair_power_fraction,mlp_diagonal_pair_power_fraction,token_embedding_pair_power_fraction,unembedding_pair_power_fraction
AdamW,0,1,27,6.968737069417774e-08,1.4860775224293632e-06,1.3083260445025533e-07,0.02082388561907243,0.016546362359311752
AdamW,0,2,25,7.079840246112634e-08,1.4274154434144506e-06,9.814138831676991e-08,0.01888599956541765,0.01631675315332706
AdamW,0,3,12,1.0604537198240728e-07,2.222273257586344e-06,1.3940207085753333e-07,0.019031268853744364,0.015227156882209445
AdamW,0,4,33,6.3171491683725e-08,1.3188273050628734e-06,9.559467171291441e-08,0.01926369346244351,0.016031619723909474
AdamW,0,5,35,5.7216991845039696e-08,1.1659406437464646e-06,1.1116463583663489e-07,0.01854776389172897,0.01926224999174849
AdamW,0,6,4,1.3591746789669132e-07,2.726110229154101e-06,1.7856804269181464e-07,0.018861318375857177,0.01749901169414003
AdamW,0,7,6,1.2643055658625067e-07,2.6985108966114246e-06,1.5461352958353878e-07,0.018212837940133012,0.01830032239649856
AdamW,0,8,17,9.593104527553397e-08,2.0164131325970867e-06,1.431903919376381e-07,0.01736022289119181,0.019646520313217317
AdamW,0,9,37,5.593183902311498e-08,1.203355330448783e-06,8.190262570261537e-08,0.01714943131804772,0.01983800379219397
AdamW,0,10,46,4.303139332233521e-08,9.06913365671319e-07,6.853868381336352e-08,0.01759985364859095,0.019500137275121347
AdamW,0,11,14,1.0388812529924263e-07,2.328712452346881e-06,1.433638496890934e-07,0.020429480543369332,0.01830222899540616
AdamW,0,12,30,6.618502391607393e-08,1.3528283862815945e-06,9.498744527853543e-08,0.016089303154937146,0.017802975131949148
AdamW,0,13,19,8.76099187888237e-08,1.807919704147202e-06,1.2328045615352934e-07,0.01985068976609252,0.016696574223082825
AdamW,0,14,7,1.2323259800559209e-07,2.6942584550917188e-06,1.8825500462520667e-07,0.01674042428202874,0.016478203011151042
AdamW,0,15,50,3.254752109274447e-08,6.373095185917587e-07,6.309592004805337e-08,0.01711231053383333,0.019412718152421893
AdamW,0,16,39,5.484776017088585e-08,1.1879828806939885e-06,8.230569122703514e-08,0.016160649758638724,0.018264100142826138
AdamW,0,17,56,1.811305943560014e-08,3.729560997776479e-07,3.8707650095357195e-08,0.018146785224413497,0.016410473429137533
AdamW,0,18,28,6.894825589470522e-08,1.596273800989724e-06,1.2476421129706924e-07,0.017950058928059547,0.01613772195311742
AdamW,0,19,5,1.3497619040079763e-07,2.938783749629191e-06,1.6122905100871898e-07,0.017930302721688687,0.01688499151594742
AdamW,0,20,18,9.335619469248095e-08,2.020715927910703e-06,1.4123393719282474e-07,0.017759447697587243,0.018253077813239822
AdamW,0,21,47,3.889366166816739e-08,8.695082225580993e-07,6.334805649294109e-08,0.019768019661049775,0.017172494128925592
AdamW,0,22,20,8.698731754402132e-08,1.7393836460681842e-06,1.1611695408411197e-07,0.01714657803747786,0.019412968198180267
AdamW,0,23,2,1.6326414538027067e-07,3.249654984884529e-06,1.9152711960413365e-07,0.018935991375314414,0.01873304220922429
AdamW,0,24,23,8.175108041875865e-08,1.7809262531753024e-06,1.0665191673499384e-07,0.019675839315510122,0.01839873415585052
AdamW,0,25,49,3.596486404712003e-08,6.777469326355915e-07,7.985881464139546e-08,0.01855507946134198,0.017096341130426868
AdamW,0,26,11,1.0723029464247052e-07,2.3721412362251894e-06,1.4900985688035116e-07,0.016734825057594167,0.01838500508092981
AdamW,0,27,40,5.1938848638357286e-08,1.096806702533248e-06,7.966357404372957e-08,0.018463513957123076,0.017851027675564627
AdamW,0,28,38,5.5484142716531145e-08,1.1138909994983649e-06,8.950173734223128e-08,0.01929905830152999,0.019606333271488682
AdamW,0,29,26,7.072914360535334e-08,1.5543638111479705e-06,1.2464061732183083e-07,0.018603704030878025,0.015127030746626633
AdamW,0,30,10,1.0847544170598742e-07,2.441115572272147e-06,1.3788483642644798e-07,0.017027321747538602,0.01680094175984205
AdamW,0,31,45,4.327869660830274e-08,9.347554689423999e-07,6.804842771158447e-08,0.01939120738395164,0.01744345308941536
AdamW,0,32,31,6.467597741228513e-08,1.3749133421517505e-06,9.195772957546995e-08,0.01604636326235822,0.018151874918110013
AdamW,0,33,15,1.0076932309004429e-07,2.179867728242059e-06,1.1782249174988527e-07,0.016819747149237153,0.016100101005984094
AdamW,0,34,43,4.792428562840769e-08,1.0368682366448857e-06,9.327495249202913e-08,0.014962837781733216,0.017208408513758017
AdamW,0,35,1,1.7088383888923287e-07,3.695816502767524e-06,2.0857061040447778e-07,0.018775549053716274,0.016699307535779046
AdamW,0,36,8,1.1921278931232826e-07,2.6209298792413373e-06,1.623002579866355e-07,0.016335446019816582,0.017278888599113636
AdamW,0,37,54,2.907267555172921e-08,6.31041016597796e-07,6.071835789967624e-08,0.018366948438231348,0.01875400542049195
AdamW,0,38,36,5.6746844013870934e-08,1.1889119718155725e-06,9.338739459708799e-08,0.01673708329681801,0.018257162935817254
AdamW,0,39,21,8.652064572036192e-08,1.9200065222623413e-06,1.1016129899856914e-07,0.01691177013708285,0.017531611409888008
AdamW,0,40,42,4.9257433483402945e-08,1.0858790203413282e-06,7.741102649099589e-08,0.014653242250448287,0.015643636222928796
AdamW,0,41,24,7.770031229642516e-08,1.6556970948494092e-06,1.0389873071302095e-07,0.01659656183401222,0.015370690961445945
AdamW,0,42,34,6.05851283104246e-08,1.2440903681355063e-06,1.0280987252657183e-07,0.02031562443601335,0.017161132674779485
AdamW,0,43,44,4.54625913627037e-08,9.029055127065129e-07,7.472536729227588e-08,0.018358465712212845,0.018435029860464466
AdamW,0,44,41,4.9397582305534197e-08,1.060162774264801e-06,8.051153052499415e-08,0.017016608919102456,0.01724463389300242
AdamW,0,45,29,6.631492682996575e-08,1.5246697971351293e-06,1.0194892920710452e-07,0.017554467938080152,0.018379121191678078
AdamW,0,46,48,3.764415177973554e-08,7.552517376298768e-07,7.206375209391113e-08,0.015156933807759069,0.018788878989855144
AdamW,0,47,13,1.0485964960307652e-07,2.1909412001188764e-06,1.447291369293564e-07,0.017548377882692912,0.01843745686710668
AdamW,0,48,3,1.4155658141849975e-07,2.902068380779491e-06,1.7830831776626332e-07,0.01776756985564476,0.017169832704384904
AdamW,0,49,55,2.782701183789342e-08,5.812321161787328e-07,4.8117425310719306e-08,0.015300251235418382,0.015725460571784637
AdamW,0,50,53,3.003608983120898e-08,6.569041885007798e-07,5.611934794693242e-08,0.01689580406271805,0.016095551735967682
AdamW,0,51,22,8.410873991757099e-08,1.746890905927151e-06,1.293300024093419e-07,0.01924811817705376,0.017110687505813564
AdamW,0,52,9,1.1719104357792814e-07,2.367626664124908e-06,1.596694228970466e-07,0.01828368850236226,0.020654190654389754
AdamW,0,53,51,3.048515199495766e-08,6.725438587503363e-07,5.2956052491031436e-08,0.015823888662015916,0.019278049758105733
AdamW,0,54,52,3.007344899392202e-08,6.203520604703292e-07,5.6824023021845414e-08,0.015589601813587648,0.017090377539089652
AdamW,0,55,16,9.668719172000108e-08,1.972922724400598e-06,1.3864289131308033e-07,0.016236054315057265,0.01775927807288734
AdamW,0,56,32,6.463419801906617e-08,1.4047863211830226e-06,9.124179608384703e-08,0.016575252892780477,0.02160501778075388
AdamW,1000,1,3,0.00039903589409036154,7.579031844362288e-05,8.18465003041534e-05,0.023082454879129872,0.022006747559567216
AdamW,1000,2,48,7.38676633412084e-05,1.0060047509546595e-05,1.9475970337601575e-05,0.01759546767963092,0.017681309359921592
AdamW,1000,3,23,0.00014455602583517984,5.369080344766962e-06,3.252393740791299e-05,0.01975076037140636,0.016817926406689256
AdamW,1000,4,38,9.017010840745105e-05,2.6011328704264273e-05,2.8455185922779327e-05,0.017547285851396553,0.014327144334498589
AdamW,1000,5,2,0.00040786340017947117,0.00012973550584149284,0.00011952536461368716,0.021157387244534375,0.019841567887244407
AdamW,1000,6,10,0.00019268544269102859,1.7624651265568394e-05,3.89365344184474e-05,0.019319259000897173,0.017007396954171732
AdamW,1000,7,11,0.0001843845439948217,4.611138415843888e-05,4.706775897687069e-05,0.018016702016978272,0.022439257503021268
AdamW,1000,8,29,0.00012425910751530305,3.0158954241146344e-05,4.011420434275885e-05,0.017497825789449275,0.016962554539630324
AdamW,1000,9,44,8.158638150677524e-05,1.3785732470650955e-05,2.0283231756184805e-05,0.01734527184556011,0.016619391953150577
AdamW,1000,10,24,0.0001405426879825418,4.9288448679813246e-05,4.682874720938289e-05,0.01718992961897855,0.018752908725116126
AdamW,1000,11,1,0.00044184980543266573,0.00015442852599077504,0.00011920242547686072,0.0220686162269924,0.02329772706923312
AdamW,1000,12,50,6.982533788529688e-05,7.477676001173667e-06,1.9894863688155347e-05,0.01692275819125094,0.015185991455713067
AdamW,1000,13,5,0.0002249224907405115,3.246716949499939e-05,5.312354901276086e-05,0.021451287839097638,0.020898503378175972
AdamW,1000,14,13,0.00017852319694032287,4.7522433801299654e-05,4.3728401352251325e-05,0.0171883307435885,0.017383852909701587
AdamW,1000,15,9,0.00019566937527507402,3.8139193048812045e-05,4.920045159867458e-05,0.01909414904506669,0.020945373211361622
AdamW,1000,16,31,0.00010452648179240261,1.841783092347666e-05,2.9249956606220206e-05,0.01730251384461434,0.019973744463078306
AdamW,1000,17,51,6.701039040207675e-05,1.4036963243783487e-05,1.7922810715142377e-05,0.017987082742052747,0.014595029952834794
AdamW,1000,18,4,0.00029983787842453175,0.00014069158351948663,0.00011288072055163769,0.019432105372769,0.021722487432486958
AdamW,1000,19,15,0.00016369013168026196,4.6280774258125947e-05,4.329174924690064e-05,0.0180096175691118,0.018791896451123655
AdamW,1000,20,32,0.00010196480298923278,3.228227164055176e-05,3.421938821118895e-05,0.019780495553965174,0.016458784968420265
AdamW,1000,21,55,4.651529260661024e-05,8.879202202687697e-06,1.4674854820196624e-05,0.0179309953632787,0.014374015460680822
AdamW,1000,22,21,0.00014885062570822773,4.249855206029365e-05,4.516340736428688e-05,0.01800304983097504,0.019105706722142356
AdamW,1000,23,45,7.791280000951811e-05,1.3530508558567822e-05,2.454993749977355e-05,0.017774001182110536,0.016882965427878018
AdamW,1000,24,17,0.0001574338422792663,3.5206653715539675e-05,3.6562379669229534e-05,0.01759525319634689,0.019455279985687253
AdamW,1000,25,42,8.718770681231732e-05,2.0837983548236765e-05,2.5825959889462065e-05,0.01753130468023844,0.018319550575902746
AdamW,1000,26,40,8.73491381546329e-05,1.7720516480449798e-05,2.2038643934438467e-05,0.016406106956981532,0.01748147803080882
AdamW,1000,27,53,5.8683702461615955e-05,6.216987420346467e-06,1.7421765489449587e-05,0.016060973022006556,0.017648004353902225
AdamW,1000,28,49,7.038520909188168e-05,1.3437877860936574e-05,2.070316727226734e-05,0.018802115971622967,0.015876350778015698
AdamW,1000,29,18,0.0001565503736893485,5.697365834617259e-05,5.431242094557299e-05,0.018756305375250942,0.017980510062533865
AdamW,1000,30,33,0.00010042918591565299,2.6766799717648803e-05,2.549080453914476e-05,0.016230899028653302,0.013780442104702188
AdamW,1000,31,8,0.000203296410081676,6.346018928569952e-05,6.155998572655298e-05,0.019332725951336924,0.01874893017462612
AdamW,1000,32,47,7.514587190552551e-05,2.7765853037021865e-05,2.637520654179392e-05,0.01595137531361356,0.014819075228982454
AdamW,1000,33,52,6.152951168970837e-05,6.224094311276527e-06,1.5571643341435257e-05,0.017954544111316806,0.0148610252101647
AdamW,1000,34,36,9.415140107838562e-05,2.0641525427876864e-05,2.793728303419194e-05,0.014430392019634225,0.019271488279203185
AdamW,1000,35,20,0.00015539725747766125,4.764866380424358e-05,4.3288775262342946e-05,0.019104335917809242,0.018750446859619546
AdamW,1000,36,16,0.00015900741731931196,4.744868647599539e-05,4.180840200553314e-05,0.016884241109784866,0.01783074614715981
AdamW,1000,37,28,0.00013188614232190502,2.1585672464177764e-05,3.259801250020407e-05,0.01932213611000013,0.01984012878204604
AdamW,1000,38,27,0.00013255961906488857,3.241745902357361e-05,4.0608028123897425e-05,0.017331213441215913,0.01872897923732979
AdamW,1000,39,19,0.00015553633110259395,4.694942043689304e-05,4.426876163705008e-05,0.015990377690590973,0.018255311919599695
AdamW,1000,40,41,8.73479151232609e-05,2.6600173524157018e-05,2.68620096858826e-05,0.015206357877292475,0.01723830028420272
AdamW,1000,41,43,8.224673045978031e-05,2.6707710225199998e-05,2.790733221364202e-05,0.01647294666442876,0.01634544605982358
AdamW,1000,42,46,7.657721455615975e-05,1.7762903015459006e-05,2.357408420104148e-05,0.018293097309168112,0.016477318781460158
AdamW,1000,43,34,9.656058810667829e-05,3.151251131513781e-05,3.355111354613615e-05,0.016825325368108778,0.015023342829376087
AdamW,1000,44,56,4.385793139585275e-05,3.38857472547344e-06,1.4521633610663526e-05,0.01742179688150491,0.015091519953275035
AdamW,1000,45,22,0.00014464272908078826,4.264178382134693e-05,3.599599574861731e-05,0.017708732185581718,0.01725875290417377
