step,regime,modulus,train_fraction,d_model,num_heads,d_mlp,train_loss,train_accuracy,test_loss,test_accuracy,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step
0,stable_muon,113,0.2,128,4,512,5.189201831817627,0.007050528656691313,5.174939155578613,0.008418167941272259,19.585105107656336,123.10922682798059,6.175757884979248,nan,nan,nan,nan,nan,0,0,0,
100,stable_muon,113,0.2,128,4,512,1.9824858903884888,0.5017626285552979,8.236421585083008,9.788566967472434e-05,30.559861429554363,116.28541677737925,6.822417259216309,0.694701762107864,0.08460237506975951,0.24963487684726715,0.29975230676866477,0.005542479455471039,0,0,0,
200,stable_muon,113,0.2,128,4,512,0.0006035871338099241,1.0,30.77967071533203,0.000293657009024173,48.93137736955116,109.13807125287487,7.66221284866333,0.002067696479115214,0.00027953486322014295,0.0020733277779072523,0.29902268372132046,0.005053936503827572,0,0,0,
300,stable_muon,113,0.2,128,4,512,3.75418096609792e-08,1.0,82.64533233642578,0.0009788566967472434,70.04390816708417,98.77373462964636,7.479349613189697,1.9080499637881356e-06,4.2280642129634866e-07,2.180595402023755e-06,0.2979744200375189,0.0049513899721205235,0,0,0,
400,stable_muon,113,0.2,128,4,512,0.0,1.0,164.1652069091797,0.0015661707147955894,90.02455790712273,89.36981007117865,7.294674873352051,1.5518589840316084e-07,6.365201391916114e-08,1.5644788220470218e-07,0.2899252241964957,0.004908780567348003,0,0,0,
500,stable_muon,113,0.2,128,4,512,0.004293443169444799,0.999216616153717,111.80990600585938,0.0015661707147955894,84.00928452639828,80.91812205166326,7.138487815856934,0.8234611994346923,0.3929121563556351,0.5172639489173889,0.2908455402490552,0.004739642143249512,0,0,0,
600,stable_muon,113,0.2,128,4,512,4.9615788157097995e-05,1.0,80.04437255859375,0.0007830853573977947,80.36163219038086,73.22190282066423,6.965953350067139,0.008547749860267973,0.0020669812856660974,0.011640865355730057,0.291319146307048,0.004548501688987017,0,0,0,
700,stable_muon,113,0.2,128,4,512,6.795801255066181e-07,1.0,69.73643493652344,0.0017619420541450381,81.5533861846096,66.25115150432332,6.794196128845215,1.1946922887830443e-05,3.758825586624148e-06,1.8690034266910516e-05,0.29407861889748826,0.0047516548074781895,0,0,0,
800,stable_muon,113,0.2,128,4,512,1.7276706731905733e-09,1.0,74.81944274902344,0.0016640563262626529,89.14318862897298,59.943598884024524,6.6264424324035645,1.420603800366593e-07,4.823249118873361e-08,2.7220795573157375e-07,0.2911617013793137,0.004254125524312258,0,0,0,
900,stable_muon,113,0.2,128,4,512,1.9518008542718235e-08,1.0,25.78125,0.004209083970636129,81.81608241504978,54.23656511507721,6.462826728820801,4.6611563892231713e-07,1.8563326013401408e-07,1.3264851759231533e-06,0.2939716009253089,0.005306297447532415,0,0,0,
1000,stable_muon,113,0.2,128,4,512,1.1393287202565716e-08,1.0,22.328369140625,0.004306969232857227,84.480297227117,49.07288076741412,6.30325174331665,3.683208835142551e-07,1.0496561526447155e-07,4.0229760998045094e-06,0.2968869171930648,0.004506183788180351,0,0,0,
1100,stable_muon,113,0.2,128,4,512,7.517701128278986e-09,1.0,29.201148986816406,0.004404854960739613,92.75524408885028,44.40081697847362,6.147619247436523,5.47516962564476e-07,2.135888410411523e-07,7.79032507125521e-06,0.276460638765832,0.004887258168309927,0,0,0,
1200,stable_muon,113,0.2,128,4,512,8.451574551315844e-09,1.0,40.657386779785156,0.004306969232857227,101.42857394236724,40.17356498741131,5.9958319664001465,8.15723629536981e-07,4.099319145297522e-07,1.31217748275958e-05,0.2715039947651053,0.004432461690157652,0,0,0,
1300,stable_muon,113,0.2,128,4,512,7.84455789215599e-09,1.0,55.3539924621582,0.003915426786988974,109.6447464391441,36.34876940859778,5.84779691696167,1.099511752938799e-06,6.532690071850593e-07,2.038409365923144e-05,0.2684069096432743,0.004578800871968269,0,0,0,
1400,stable_muon,113,0.2,128,4,512,0.09979503601789474,0.9784567356109619,48.4862060546875,0.004502740688621998,109.5792698388758,35.23200188321262,5.7448883056640625,1.7503754759541008,0.5124762534934866,10.737378120422363,0.29821419950738365,0.005323182791471481,0,0,0,
1500,stable_muon,113,0.2,128,4,512,9.888769272947684e-05,1.0,49.283775329589844,0.003915426786988974,107.17479262569692,32.049325214785945,5.608073711395264,0.001571568880052638,0.0007694479780770596,0.005089900456368923,0.30087135819578387,0.005234422627836466,0,0,0,
1600,stable_muon,113,0.2,128,4,512,4.3243076675025804e-07,1.0,56.430782318115234,0.002545027295127511,111.46440134652194,28.998540123237163,5.469625473022461,5.622676278837106e-06,3.8588337909809186e-06,1.6655198123771697e-05,0.3013318290502539,0.00468005146831274,0,0,0,
1700,stable_muon,113,0.2,128,4,512,9.338760875721164e-10,1.0,66.17683410644531,0.002838684478774667,119.70483727174232,26.23768558204453,5.334572792053223,7.459304661554807e-08,8.303395357846972e-08,2.741587366017484e-07,0.29850191890912997,0.0046637896448373795,0,0,0,
1800,stable_muon,113,0.2,128,4,512,2.287996281324922e-08,1.0,24.335243225097656,0.00890759564936161,110.82142044277577,23.739682659930924,5.202854633331299,2.303550318891251e-07,3.514428466738126e-07,1.283015535591403e-06,0.2909273714218427,0.004953313153237104,0,0,0,
1900,stable_muon,113,0.2,128,4,512,1.3727977865585217e-08,1.0,16.794153213500977,0.011158966459333897,107.11724042375141,21.479506819083277,5.0743889808654785,1.4559498880034696e-07,1.5067153576682292e-07,2.4348028091480955e-06,0.29448767502202194,0.004918843042105436,0,0,0,
2000,stable_muon,113,0.2,128,4,512,7.4243140524288265e-09,1.0,16.424560546875,0.011648395098745823,111.65921487444383,19.434514523622017,4.949095726013184,1.3543121403819862e-07,1.2584841624778094e-07,3.3742478535714326e-06,0.28443617677980493,0.004410502966493368,0,0,0,
2100,stable_muon,113,0.2,128,4,512,5.463174801434434e-09,1.0,17.82503318786621,0.009886452928185463,118.45369599755574,17.58421904171327,4.826895236968994,1.596794116602594e-07,2.0853245017089368e-07,4.635920504370006e-06,0.2736935831137878,0.005060187075287104,0,0,0,
