step,regime,modulus,train_fraction,d_model,num_heads,d_mlp,train_loss,train_accuracy,test_loss,test_accuracy,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step
0,muon,97,0.3,128,4,512,4.954187393188477,0.010276399552822113,4.965300559997559,0.00941247958689928,19.583447264236742,114.2231513999999,5.734582901000977,nan,nan,nan,nan,nan,0,0,0,
100,muon,97,0.3,128,4,512,2.213916063308716,0.4238128960132599,7.834146499633789,0.0006072567193768919,30.133150652503595,108.1184092570183,6.319370269775391,0.4766687873165665,0.05266921793103152,0.22588852047920227,0.2902415025253272,0.004712888039648533,0,0,0,
200,muon,97,0.3,128,4,512,0.005100254435092211,0.9992913007736206,26.483734130859375,0.001366327633149922,47.27771617687346,102.3813572248604,7.299530029296875,0.11389421666527728,0.017757973612579196,0.05833000689744949,0.28752904809944274,0.0047547295689582825,0,0,0,
300,muon,97,0.3,128,4,512,0.0005787601694464684,0.9996456503868103,48.75494384765625,0.002732655266299844,60.38937619066123,92.71500410577657,7.13770866394043,0.02040271872868225,0.004078235525071407,0.009191830642521381,0.28989820477056194,0.004350824747234583,0,0,0,
400,muon,97,0.3,128,4,512,8.482348903271486e-07,1.0,56.155029296875,0.0034917262382805347,66.90835209125362,83.89776258000806,6.963338375091553,9.822270955819119e-06,1.8254580007496458e-06,1.2092748875147663e-05,0.29322802879256565,0.0047294627875089645,0,0,0,
500,muon,97,0.3,128,4,512,0.0015173197025433183,1.0,68.74901580810547,0.00470623979344964,75.50027926117579,75.92947539787318,6.7929582595825195,0.043887582184698785,0.010049525196591455,0.053147267550230026,0.2897825906941971,0.004781356547027826,0,0,0,
600,muon,97,0.3,128,4,512,6.968517027416965e-06,1.0,57.69845962524414,0.004858053755015135,75.03315586345488,68.7264051870286,6.631914138793945,9.73654580381945e-05,2.5995168960784458e-05,0.00012693875760305673,0.29646711194717706,0.0046633705496788025,0,0,0,
700,muon,97,0.3,128,4,512,1.3095276862884475e-08,1.0,71.47624206542969,0.00470623979344964,84.03931835341648,62.18348118232928,6.46824836730957,3.0818848111467646e-07,8.395612265386743e-08,4.958797035214957e-07,0.2919528544750921,0.005171454511582851,0,0,0,
800,muon,97,0.3,128,4,512,5.1005175919272006e-05,1.0,60.86005401611328,0.0069834524765610695,83.665525861092,56.29787055775248,6.3143486976623535,0.0007683356690940356,0.00027662745750695245,0.0011120719136670232,0.29565578047534746,0.005147491116076708,0,0,0,
900,muon,97,0.3,128,4,512,1.872624153520519e-07,1.0,60.08608627319336,0.008957036770880222,86.71339353314954,50.94015475077924,6.159058094024658,2.3678539170675037e-06,8.047526520266692e-07,3.928716978407465e-06,0.2939161433655925,0.005750707816332579,0,0,0,
1000,muon,97,0.3,128,4,512,2.3824945571959688e-08,1.0,50.800411224365234,0.011234248988330364,93.19976646245487,46.09031852121253,6.006985187530518,5.200449333711338e-07,5.550854492400594e-07,5.47932700101228e-07,0.2954539163979698,0.005296388175338507,0,0,0,
1100,muon,97,0.3,128,4,512,4.912841689019842e-08,1.0,21.63787269592285,0.015940489247441292,84.6477731584424,41.70221090866043,5.858664512634277,3.564372049421197e-07,3.404267077699885e-07,1.4491076854028506e-06,0.2833632032846541,0.004465800244361162,0,0,0,
1200,muon,97,0.3,128,4,512,2.5768125411218534e-08,1.0,17.636259078979492,0.02246849797666073,87.3330886706426,37.731880137494,5.71400785446167,3.899818623223359e-07,1.0754125171489026e-07,4.271711986802984e-06,0.2897115318728166,0.004925459157675505,0,0,0,
1300,muon,97,0.3,128,4,512,1.9093759462407434e-08,1.0,19.14781951904297,0.02504933997988701,95.8509531587416,34.1395584284583,5.572929859161377,7.17507196401343e-07,3.2459204378846784e-07,9.794810466701165e-06,0.26646995530833983,0.004287802614271641,0,0,0,
1400,muon,97,0.3,128,4,512,2.141711696879156e-08,1.0,23.284040451049805,0.020039470866322517,105.41946854285925,30.889264527176962,5.435345649719238,1.2155148172149013e-06,7.04775051510446e-07,1.887693360913545e-05,0.26166406084891214,0.004604704678058624,0,0,0,
1500,muon,97,0.3,128,4,512,2.2388698894815207e-08,1.0,28.50765037536621,0.01897677220404148,114.68198145525766,27.948440058670293,5.301173210144043,1.6742335866932002e-06,1.181912401277596e-06,2.8426746212062426e-05,0.2605781498851632,0.004966638050973415,0,0,0,
1600,muon,97,0.3,128,4,512,2.0994688654241145e-08,1.0,32.7979736328125,0.01654774509370327,122.68524487899232,25.28762106355426,5.170331001281738,2.0591470466500856e-06,1.7915712701697555e-06,3.660086804302409e-05,0.25692710670465285,0.004855222534388304,0,0,0,
1700,muon,97,0.3,128,4,512,2.0065344941144758e-08,1.0,36.19704055786133,0.014574160799384117,129.80709611808732,22.880144489982328,5.0427374839782715,2.451293097465859e-06,2.120482884208747e-06,4.431591514730826e-05,0.25135381201105145,0.0047021834179759026,0,0,0,
1800,muon,97,0.3,128,4,512,1.951618955331469e-08,1.0,37.76979064941406,0.013663276098668575,135.23178727322804,20.701903126938667,4.91831111907959,2.8454635404801953e-06,2.650948453969557e-06,4.977348726242781e-05,0.2478929780058934,0.004448986146599054,0,0,0,
1900,muon,97,0.3,128,4,512,1.0276974439620972,0.9539333581924438,22.48435401916504,0.03628358989953995,134.24466776681385,19.690299407873262,4.821983814239502,1.6028094760697347,1.2401574319709667,9.855062484741211,0.28198653242290067,0.005145303905010223,0,0,0,
2000,muon,97,0.3,128,4,512,0.0002711304696276784,1.0,24.411476135253906,0.02201305516064167,126.25285619077442,18.14721317113815,4.706589698791504,0.001755167205682328,0.0017594783737806636,0.006814002990722656,0.29520088645376125,0.00519468542188406,0,0,0,
2100,muon,97,0.3,128,4,512,8.733272807148751e-07,1.0,33.06314468383789,0.017762258648872375,127.19280172843928,16.422182721467173,4.59043025970459,6.333171053181441e-06,7.220462829268714e-06,1.94347339856904e-05,0.30064391696648585,0.005001611076295376,0,0,0,
2200,muon,97,0.3,128,4,512,1.985413167204797e-09,1.0,36.759742736816406,0.023683011531829834,132.54013962427496,14.858693831254865,4.477086544036865,1.2917050902552526e-07,1.5848066361380557e-07,5.234193736214365e-07,0.29285640470365465,0.0047589195892214775,0,0,0,
2300,muon,97,0.3,128,4,512,4.828356026109759e-08,1.0,16.440332412719727,0.0593593455851078,125.40036145561658,13.444046952248124,4.366540908813477,3.669949782168999e-07,2.5348486500546583e-07,2.220116584794596e-06,0.28288149704848015,0.004609306808561087,0,0,0,
