step,local_step,branch,train_loss,train_accuracy,test_loss,test_accuracy,hidden_gradient_norm,auxiliary_gradient_norm,hidden_delta_norm,auxiliary_delta_norm,token_embedding_delta_norm,position_embedding_delta_norm,muon_applied_update_norm,muon_max_abs_applied_update,collapse_detected
44000,0,hidden_plus_unembedding_only,1.8678194635413092e-07,1.0,3.3246786188101396e-05,1.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0
44010,10,hidden_plus_unembedding_only,1.8812032465120865e-07,1.0,3.3379619708284736e-05,1.0,2.2470537592075375e-07,1.689776217972394e-05,0.42389187055835925,0.002031901618465781,0.0,0.0,0.15015531229984852,0.00669156014919281,0
44020,20,hidden_plus_unembedding_only,1.8699981296776969e-07,1.0,3.3471325878053904e-05,1.0,2.2499417233381785e-07,1.698029700492043e-05,0.8427468333607776,0.004094264004379511,0.0,0.0,0.14978878394254935,0.006535320542752743,0
44030,30,hidden_plus_unembedding_only,1.8575481419702555e-07,1.0,3.311581167508848e-05,1.0,2.2476898908078082e-07,1.7352878785459325e-05,1.2594544115321655,0.00620920117944479,0.0,0.0,0.149352723154513,0.006372051779180765,0
44040,40,hidden_plus_unembedding_only,1.84572058969934e-07,1.0,3.297875446151011e-05,1.0,2.270917978065748e-07,1.7483307601651177e-05,1.6728954442958877,0.008363529108464718,0.0,0.0,0.14918914488079085,0.006532748229801655,0
44050,50,hidden_plus_unembedding_only,1.8289129855020292e-07,1.0,3.289775850134902e-05,1.0,2.2663160387187727e-07,1.76212106453022e-05,2.0863305455521974,0.01052542682737112,0.0,0.0,0.1488537426357067,0.0065939538180828094,0
44060,60,hidden_plus_unembedding_only,1.8348266905832133e-07,1.0,3.2730127713875845e-05,1.0,2.2822169272658831e-07,1.766248169587925e-05,2.4974705007198663,0.012746322900056839,0.0,0.0,0.1488658119766499,0.00633624754846096,0
44070,70,hidden_plus_unembedding_only,1.8248667288389697e-07,1.0,3.2730738894315436e-05,1.0,2.280555253270919e-07,1.7831323930295184e-05,2.9075173261709675,0.014981778338551521,0.0,0.0,0.14873967218055942,0.006224401295185089,0
44080,80,hidden_plus_unembedding_only,1.8117941635864554e-07,1.0,3.2764841307653114e-05,1.0,2.2860248536370283e-07,1.784642881830223e-05,3.3179931718687574,0.017226936295628548,0.0,0.0,0.14946023199382624,0.006367006804794073,0
44090,90,hidden_plus_unembedding_only,1.8130391765680542e-07,1.0,3.2513446058146656e-05,1.0,2.2900187077497438e-07,1.813880771805998e-05,3.7293619534366047,0.019491612911224365,0.0,0.0,0.15009346196127074,0.006277114152908325,0
44100,100,hidden_plus_unembedding_only,1.8114829458681925e-07,1.0,3.220339203835465e-05,1.0,2.2916745008170487e-07,1.815776886360254e-05,4.1373843904385526,0.021791605278849602,0.0,0.0,0.15010807681596997,0.006458505988121033,0
44110,110,hidden_plus_unembedding_only,1.791562738162611e-07,1.0,3.1854498956818134e-05,1.0,2.295747297837811e-07,1.7950409528566524e-05,4.546104471225921,0.02409815788269043,0.0,0.0,0.15044456064978218,0.006484147161245346,0
44120,120,hidden_plus_unembedding_only,1.7968540078072692e-07,1.0,3.164773806929588e-05,1.0,2.3166099410062328e-07,1.8234084564028308e-05,4.954390863050016,0.026428529992699623,0.0,0.0,0.15099836923065743,0.0065069906413555145,0
44130,130,hidden_plus_unembedding_only,1.790940302726085e-07,1.0,3.159600237268023e-05,1.0,2.3296878232930518e-07,1.835030889196787e-05,5.362396567240208,0.028779612854123116,0.0,0.0,0.15118593638754876,0.006553442217409611,0
44140,140,hidden_plus_unembedding_only,1.7856490330814268e-07,1.0,3.1780047720531e-05,1.0,2.3540900052531505e-07,1.845973929448519e-05,5.770557052645803,0.03116145171225071,0.0,0.0,0.15122262121013444,0.006684374064207077,0
