step,train_loss,train_accuracy,test_loss,test_accuracy,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,collapse_detected,generalization_collapse_detected,auxiliary_learning_rate,unembedding_learning_rate,auxiliary_frozen
0,5.186100959777832,0.007571801543235779,5.174230575561523,0.008390200324356556,19.585105107656336,123.10922682798059,6.175757884979248,nan,nan,nan,nan,nan,0,0,0.001,0.00025,0
100,2.839495897293091,0.2783289849758148,7.479971885681152,0.0,30.028292201358187,115.88134922541973,6.660705089569092,0.5747494010674188,0.06809758176506311,0.19018565118312836,0.296388147323014,0.005215492099523544,0,0,0.001,0.00025,0
200,0.019302574917674065,1.0,22.949140548706055,0.00022373867977876216,47.48297827525668,110.71630580012578,7.9920196533203125,0.1902116611319845,0.031066890725310107,0.02541758492588997,0.2976314415633591,0.004525323864072561,0,0,0.001,0.00025,0
300,2.4230899953181506e-07,1.0,59.99545669555664,0.0008949547191150486,68.03127638701486,100.4377370148137,7.860896587371826,4.3472323918431975e-06,6.764327736270776e-07,4.843584974878468e-06,0.2979573365305983,0.005053284112364054,0,0,0.001,0.00025,0
400,5.2912735304389e-10,1.0,120.46642303466797,0.0008949547191150486,88.23229140666422,90.87541882354788,7.666808605194092,1.13519128021706e-07,2.2356197510459792e-08,1.744693634009309e-07,0.2859222430528906,0.004480213858187199,0,0,0.001,0.00025,0
500,0.0006345623405650258,1.0,99.35094451904297,0.0012305626878514886,86.6661324546837,82.28222759631328,7.493192672729492,0.3514927868636006,0.15796664583229592,0.2585081160068512,0.2975419889556711,0.005193925462663174,0,0,0.001,0.00025,0
600,1.1747569260478485e-05,1.0,77.96465301513672,0.002013648161664605,84.58572886738466,74.4562881865028,7.310835361480713,0.00019341590508939913,5.1931599920673056e-05,0.000279398140264675,0.3028244457076154,0.004733693320304155,0,0,0.001,0.00025,0
700,2.757687056487157e-08,1.0,85.77162170410156,0.0014543014112859964,91.20365956588618,67.36765064971362,7.130390644073486,5.699268387002501e-07,1.8915301640952995e-07,8.823260486678919e-07,0.30044149646615514,0.004648579750210047,0,0,0.001,0.00025,0
800,9.435231186216697e-05,1.0,70.57300567626953,0.0019017787417396903,90.01615002983625,60.95981931034138,6.956555366516113,0.005033868908426621,0.00152694935908425,0.006837244611233473,0.3008559229266599,0.00516512431204319,0,0,0.001,0.00025,0
900,3.9973983234631305e-07,1.0,66.30933380126953,0.002461125375702977,91.76319100658989,55.157367834685225,6.785384654998779,4.767499173090556e-06,1.64080259841399e-06,8.146156687871553e-06,0.30191301881266536,0.005394664127379656,0,0,0.001,0.00025,0
1000,2.8946376406935315e-09,1.0,66.20703887939453,0.0027967335190624,99.24436017516436,49.906018259236625,6.617847442626953,1.4723947870501054e-07,7.127311156636256e-08,4.528751276211551e-07,0.2969990199090557,0.004849937744438648,0,0,0.001,0.00025,0
1100,1.4286437810540065e-08,1.0,47.577301025390625,0.002013648161664605,94.45179247493435,45.154651655599324,6.454446792602539,2.2108237584209673e-07,1.2602301678860953e-07,6.513546395581216e-07,0.2870267539537346,0.005112333223223686,0,0,0.001,0.00025,0
1200,3.075163590438024e-08,1.0,24.58196258544922,0.004922250751405954,89.77355013841192,40.855628877538216,6.295077800750732,3.233620192520437e-07,2.6993425803832376e-07,2.5053404897334985e-06,0.292288777427319,0.00499733304604888,0,0,0.001,0.00025,0
1300,2.1787593951216877e-08,1.0,23.07195281982422,0.006264682859182358,95.11107796158842,36.96589862069668,6.139646530151367,3.4926654273497187e-07,1.319840106516385e-07,6.018894509907113e-06,0.2984465975473312,0.004695370327681303,0,0,0.001,0.00025,0
1400,1.8021452774519275e-08,1.0,27.884889602661133,0.006152813322842121,104.55001126494541,33.446496362019246,5.9880571365356445,5.993137946727384e-07,3.2945181615335616e-07,1.2151769624324515e-05,0.282167400678979,0.004501929972320795,0,0,0.001,0.00025,0
1500,1.718107434101057e-08,1.0,35.66624069213867,0.005817205645143986,114.46932022901193,30.262169133841937,5.840218544006348,9.327750112169014e-07,6.077403642693884e-07,2.145087819371838e-05,0.27828603812230224,0.004373305477201939,0,0,0.001,0.00025,0
1600,1.4846690099545867e-08,1.0,44.64263916015625,0.003356080036610365,124.00435193571245,27.381014014800282,5.696040630340576,1.442972884809683e-06,1.32559043572174e-06,3.0638671887572855e-05,0.27392476920861286,0.004025233909487724,0,0,0.001,0.00025,0
1700,1.6496322530201724e-08,1.0,52.13823699951172,0.00402729632332921,132.511829663114,24.77416721232862,5.555431365966797,1.2948689381760813e-06,1.2771901449186236e-06,3.54240728484001e-05,0.2709933175094801,0.004068360663950443,0,0,0.001,0.00025,0
1800,1.590494491665595e-08,1.0,58.60353469848633,0.00402729632332921,140.09107440983993,22.415516719432546,5.418301582336426,1.4337005355330574e-06,1.5036794012010336e-06,3.915539855370298e-05,0.2703097460478637,0.004520008806139231,0,0,0.001,0.00025,0
1900,1.4784440338644345e-08,1.0,63.068912506103516,0.002908602822571993,146.8838560328521,20.28143085841096,5.284566879272461,1.5530926613551052e-06,1.881881965933083e-06,4.3381260184105486e-05,0.2655125214050644,0.0042872182093560696,0,0,0.001,0.00025,0
2000,1.6278445258421925e-08,1.0,65.72891235351562,0.002908602822571993,151.39809108465877,18.350542250281972,5.154140949249268,1.7421431197978682e-06,2.183075821401631e-06,4.825181531487033e-05,0.27514449102919725,0.004455883521586657,0,0,0.001,0.00025,0
2100,1.8924081857107922e-08,1.0,66.5089111328125,0.002461125375702977,156.64976351479334,16.603489904610246,5.026947975158691,1.7619634678780023e-06,2.9365990534676065e-06,5.484585199155845e-05,0.2598134976699518,0.004531967453658581,0,0,0.001,0.00025,0
2200,0.8944311141967773,0.8180156946182251,9.814871788024902,0.12607674300670624,146.61895286605667,16.562009887851342,4.971638202667236,0.6833824463334557,0.8260304603187774,2.355048894882202,0.3008896112045626,0.004699675366282463,1,0,0.001,0.00025,0
2300,0.0027908985503017902,1.0,12.566973686218262,0.1541559398174286,141.1235355406037,15.314768199627387,4.856574058532715,0.0038899623893765213,0.011829798376109915,0.011141321621835232,0.29994174473486107,0.0051364414393901825,0,0,0.001,0.00025,0
2400,7.954103239171673e-06,1.0,17.17270851135254,0.12126635760068893,145.0360417259835,13.864269846148401,4.736837863922119,1.6245721751105887e-05,6.184038901937408e-05,5.060137846157886e-05,0.30027832753934686,0.005360346753150225,0,0,0.001,0.00025,0
2500,8.46603676052382e-09,1.0,22.422531127929688,0.08524443209171295,151.95597618060663,12.544339282275336,4.619879245758057,1.742732606039421e-07,4.7824337974907e-07,6.500444555967988e-07,0.29665810219596744,0.005070328712463379,0,0,0.001,0.00025,0
2600,3.4486653532894707e-08,1.0,15.434114456176758,0.15538650751113892,151.4775149702018,11.350034624053484,4.505808353424072,2.58337533598905e-07,2.401567156357763e-07,1.7992110770137515e-06,0.2891159211201454,0.004683976992964745,0,0,0.001,0.00025,0
2700,3.7599161117896074e-08,1.0,12.703843116760254,0.1742924302816391,152.84114621993024,10.269435664055733,4.3945536613464355,3.537561076125555e-07,8.163120460693883e-07,3.7963802697049687e-06,0.2858927151056026,0.004622566979378462,0,0,0.001,0.00025,0
2800,3.5171407120060394e-08,1.0,12.91663646697998,0.17496363818645477,158.6748303556834,9.291716392143144,4.286046028137207,4.2399587211776203e-07,1.4503499798524934e-06,6.011435743857874e-06,0.27670050157938686,0.004604952409863472,0,0,0.001,0.00025,0
