step,train_loss,train_accuracy,test_loss,test_accuracy,total_parameter_norm,hidden_parameter_norm,auxiliary_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,muon_pre_ns_update_norm,muon_post_ns_update_norm,muon_applied_update_norm,muon_max_abs_applied_update,collapse_detected
0,5.186100959777832,0.007571801543235779,5.174230575561523,0.008390200324356556,124.81024820788959,19.585105107656336,123.26403253032517,nan,nan,nan,nan,nan,nan,0
100,2.2015538215637207,0.43968668580055237,9.00729751586914,0.00022373867977876216,120.090317762571,30.42043663663096,116.17349721495002,0.2599002843765954,0.14105530676488529,0.15310315300439978,19.983885134340813,0.3018128067108749,0.005379949696362019,0
200,0.0005744757363572717,1.0,34.63624954223633,0.0013424319913610816,119.3862424632041,48.05697196331638,109.28678939011786,0.00245944814061945,0.0014207725365590403,0.019279850168581733,19.91708061985237,0.29957546437124,0.0052999937906861305,0
300,9.913352982948709e-08,1.0,86.10327911376953,0.002461125375702977,120.61465461552558,69.02819028450315,98.90906861389884,2.7680819206903783e-06,2.42367996898893e-06,0.00011704469248630862,19.77835833243536,0.29727632559264283,0.005069626495242119,0
400,0.0227061677724123,0.9937337040901184,145.11422729492188,0.003356080036610365,124.30785296729485,86.26664142198082,89.5014462850181,2.361699797503005,1.4048365429620295,0.2307208608634171,19.199162447071004,0.28945173195010643,0.004456147085875273,0
500,0.0007638767128810287,1.0,93.84131622314453,0.005034120287746191,114.10257292666013,80.31243560106991,81.05127905411359,0.1564949908682856,0.10931414454898665,0.030581148521903793,19.87758564957135,0.2990778513750259,0.004682832397520542,0
600,6.2038475334702525e-06,1.0,72.65775299072266,0.00402729632332921,108.65636616998142,80.17109289282318,73.34031479094838,9.519466572671956e-05,0.00011543817213380264,0.0002440312366707921,20.136409193185848,0.30340432798441347,0.004750533495098352,0
700,1.0800421890166945e-08,1.0,81.09426879882812,0.004698512144386768,110.99992879206997,88.98097554947223,66.357894647953,2.632719815107242e-07,4.424533887075764e-07,1.4024239038016194e-06,19.942862364826006,0.3001266879901619,0.004823700524866581,0
800,4.9991933337878436e-05,1.0,63.027435302734375,0.006264682859182358,108.42803016310292,90.28449565011249,60.044546548838035,0.0007506668282910903,0.0010808667050995196,0.0026369430783150915,19.86549125380565,0.29955206683115304,0.005229359958320856,0
900,2.105926313333839e-07,1.0,61.16632080078125,0.005817205645143986,106.96883073949279,92.14512426378349,54.328692457909916,1.9050300806540765e-06,3.53133799306286e-06,1.3459989929443762e-05,20.178457603862107,0.3028554869325174,0.0051580569706857204,0
1000,1.761682533185649e-08,1.0,45.948036193847656,0.008390200324356556,108.62306696611428,96.86400171672621,49.15623916195185,2.594269118311638e-07,6.876028075494231e-07,1.0774534172992102e-07,19.74622135902247,0.2970417637080193,0.005205988883972168,0
1100,3.8626293275001444e-08,1.0,20.994434356689453,0.01443114411085844,101.12552002238718,90.8197950226958,44.47623670943564,2.91776490491772e-07,1.7135771475901418e-06,9.138655782882185e-08,19.205208076834843,0.29020967189833957,0.004850612487643957,0
1200,2.3468352594591124e-08,1.0,17.072858810424805,0.020024610683321953,103.56730690645045,95.42947412930681,40.24180074572785,2.282108167547299e-07,3.6855482367605087e-06,1.1132199192569912e-07,20.03674053420342,0.30243026446435506,0.004496235866099596,0
1300,1.7741326630016374e-08,1.0,16.30390739440918,0.022597605362534523,109.87534740358454,103.66709450574272,36.41051336902295,2.2996079161740408e-07,6.750785489054017e-06,1.612793409382366e-07,19.62266556856234,0.2940225221190251,0.00506366603076458,0
1400,1.7834702603636288e-08,1.0,16.888595581054688,0.022150129079818726,117.56491261608804,112.85478254943281,32.94399390099282,3.2622762538564673e-07,1.2499681103291361e-05,2.317722098886383e-07,19.02655503498148,0.28653052113163346,0.00503867631778121,0
1500,1.911083202799091e-08,1.0,18.0721492767334,0.01991274207830429,125.78989741651053,122.2072447565981,29.807509474244377,4.4726435164414156e-07,2.2182169545344153e-05,3.4531823381687113e-07,18.360249487390888,0.2777204694077652,0.004564669448882341,0
1600,1.9702209641536683e-08,1.0,19.297821044921875,0.016892269253730774,134.09027073534702,131.35006256530997,26.969645343753097,5.855055521853793e-07,3.418857795686539e-05,4.585185593533228e-07,18.317618007618858,0.2773953763490872,0.004564553964883089,0
1700,2.2721348358345494e-08,1.0,20.389205932617188,0.014990490861237049,142.2712342526661,140.1629337727599,24.401969018706318,8.074599441128614e-07,4.825480974814097e-05,5.866889416689867e-07,18.12702720994942,0.27513152036381683,0.004586270544677973,0
1800,2.458885717260273e-08,1.0,21.245433807373047,0.013648059219121933,150.26954471203547,148.638703521097,22.078765443970276,9.453582170568066e-07,6.430031273073206e-05,7.403363217613638e-07,18.15497650956786,0.2760634795979852,0.004556277766823769,0
1900,3.15920125615321e-08,1.0,21.213468551635742,0.010739455930888653,157.79770470815208,156.5280948898057,19.976764536059218,1.069722701290879e-06,7.817858982858652e-05,9.16518906287557e-07,17.829594649647763,0.272047665773939,0.004655291326344013,0
2000,3.1716513859691986e-08,1.0,20.24578094482422,0.010403848253190517,164.59184818342055,163.59637566877075,18.07490958418875,1.1897444396649513e-06,8.347558685579762e-05,1.0640405943063754e-06,17.61601067315593,0.26974344982718346,0.004764376673847437,0
