step,train_loss,train_accuracy,test_loss,test_accuracy,total_parameter_norm,hidden_parameter_norm,auxiliary_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,muon_pre_ns_update_norm,muon_post_ns_update_norm,muon_applied_update_norm,muon_max_abs_applied_update,collapse_detected
0,5.186100959777832,0.007571801543235779,5.174230575561523,0.008390200324356556,124.81024820788959,19.585105107656336,123.26403253032517,nan,nan,nan,nan,nan,nan,0
100,0.006340858526527882,1.0,27.80377197265625,0.0004474773595575243,125.5971204478471,49.88317170836774,115.26623896486132,0.022406641354410662,0.019696792826891876,0.07751804680730781,20.197487248020558,0.6081846753172366,0.009945745579898357,0
200,0.011510268785059452,0.9979112148284912,94.51258850097656,0.0006712159956805408,130.6349373567179,78.38844056315833,104.5023408554555,1.1565341325257994,0.6646627059946799,0.18940646559906463,20.085963569248285,0.5986461301417597,0.012613264843821526,0
300,0.0024092202074825764,0.9997389316558838,75.79631042480469,0.0013424319913610816,123.90368607886163,80.0542309081534,94.56978131323528,0.23524955022693358,0.1567762955848462,0.04984150421943748,19.732363105271542,0.5952479608346972,0.010434227995574474,0
400,0.0007536536431871355,1.0,65.82540893554688,0.002237386768683791,119.06540877212319,82.78625714717553,85.57457095209136,0.1227666920467459,0.11737922644669697,0.019631375581904205,19.72266459395914,0.5946525729924904,0.010126822628080845,0
500,0.0005758258630521595,1.0,64.6921615600586,0.0012305626878514886,116.76726728506374,87.39833427873084,77.4346555136958,0.04443386063487638,0.06018409218113562,0.018024431142689038,19.708475012484335,0.593858526132346,0.01054539903998375,0
600,6.442336598411202e-05,1.0,63.613624572753906,0.002349256072193384,116.55179454000296,93.13815482186057,70.06857303295249,0.0008404638901188953,0.0015118462341402123,0.0021144565787790726,19.972244329044898,0.5999572889757365,0.01293555274605751,0
700,0.00010021408525062725,1.0,63.64208221435547,0.0013424319913610816,116.57711763051726,97.82955366682323,63.400337415424005,0.016756102797950125,0.01685754885288228,0.007572718493847932,19.019004781405812,0.5647019846994014,0.007808807771652937,0
800,5.833603790961206e-05,1.0,63.05774688720703,0.00257299467921257,116.88064493205425,101.8343810547683,57.36587831564322,0.005255098036027734,0.0120720683612793,0.005788600992353589,18.343611609443723,0.5412535773331804,0.008864521980285645,0
900,0.00029220961732789874,1.0,54.800445556640625,0.0019017787417396903,115.7873796922402,103.49709368979451,51.91405295063076,0.2064192371740045,0.23631664417936732,0.019963503929626533,18.758402823434245,0.5550785104544277,0.008584714494645596,0
1000,3.6708954098685354e-07,1.0,73.94441223144531,0.002684863982722163,127.94766797286172,119.01250388087968,46.974776845635674,4.349193506033464e-06,1.5966745984156838e-05,4.994197590563055e-05,20.106349014782477,0.6033609183308232,0.010111247189342976,0
1100,0.0014793507289141417,1.0,92.9203872680664,0.002349256072193384,138.1258340559441,131.4007328181086,42.57456339781119,0.045873066284242016,0.15454636251888115,0.03526644664317132,20.327363830235143,0.6074790737557028,0.009585786610841751,0
1200,0.0001374956191284582,1.0,74.65340423583984,0.00413916539400816,135.0718751786113,129.45344534879132,38.55148442788999,0.02267678961041329,0.08418297248320525,0.007632336997184185,19.47483188384511,0.5803720584580442,0.008712566457688808,0
1300,2.9665341116924537e-07,1.0,82.23681640625,0.00402729632332921,143.7651519844227,139.4690643277437,34.88264641118626,4.231704703235027e-06,1.8972622946329863e-05,3.469980267189493e-05,20.110887654335524,0.6062578107739591,0.009740311652421951,0
1400,4.23301882435112e-09,1.0,88.78258514404297,0.004474773537367582,164.54322356555664,161.48788960216305,31.561589522461563,1.458895093235556e-07,1.0225661286958637e-06,2.0334837156857086e-07,19.64060264158068,0.5940623908666083,0.009938107803463936,0
1500,0.0008608868229202926,0.9997389316558838,71.91307067871094,0.0036916881799697876,155.18749568128032,152.525172805279,28.62220251041457,0.11523052281317296,0.35084520771358535,0.013708730883156533,19.596907210692954,0.5823404910686331,0.00837491825222969,0
1600,1.0420041007819236e-06,1.0,67.44568634033203,0.00257299467921257,157.21735162331532,155.06850801682097,25.90469982235456,1.0423750027906398e-05,6.402914794862973e-05,5.919080502257925e-05,20.387392732178782,0.610209051263201,0.009917860850691795,0
1700,2.6767617011813627e-09,1.0,77.1242904663086,0.004698512144386768,174.6337259566358,173.05368648893955,23.438426442173853,8.322117905654337e-08,8.041892729940337e-07,3.3560338497386333e-07,20.050469088365695,0.6039567752702956,0.009306295774877071,0
1800,4.301493561342795e-08,1.0,24.353803634643555,0.004810381680727005,163.42681192864168,162.04502138862037,21.206930478529554,1.658145075978936e-07,2.057361788691887e-06,4.566357736553343e-08,19.22205861155187,0.5799041897529611,0.009736891835927963,0
1900,2.110284214040803e-08,1.0,16.67409324645996,0.007607114966958761,157.48962702889222,156.31637000818247,19.187889127378423,1.135725690150191e-07,4.862281881672528e-06,5.273182986518426e-08,18.98311462124861,0.5662428695194242,0.008317112922668457,0
2000,1.6247321710238793e-08,1.0,17.878116607666016,0.008502069860696793,168.26334542125704,167.36530859545326,17.36107401925246,2.1743488828651255e-07,2.052415804388161e-05,1.5810420511466147e-07,17.985297265201375,0.5333624938623095,0.010131295770406723,0
2100,1.71499490164706e-08,1.0,21.75954246520996,0.00805459264665842,184.37956090998495,183.70921409106566,15.708187018298942,4.356929222476112e-07,5.259287468916172e-05,3.3232034014449214e-07,16.421377260629416,0.49425241647972296,0.008262093178927898,0
2200,1.9951212237856453e-08,1.0,26.47063446044922,0.006488421466201544,201.85294978011834,201.35196354813027,14.21267428204121,7.682542384444645e-07,0.00010543432672593047,5.230433974606697e-07,16.103937642768354,0.4867221849133196,0.009660018607974052,0
2300,1.4597689279582937e-08,1.0,31.16724395751953,0.005257858894765377,218.00541195858648,217.6258060629304,12.859555929067144,1.5575070232276967e-06,0.00017675350228636835,7.789847003489061e-07,15.183225420615237,0.46010007044445933,0.00881942268460989,0
2400,2.3499477919131095e-08,1.0,30.922950744628906,0.0066002910025417805,229.78322193179181,229.4884509639262,11.635289232878216,1.542357427739725e-06,0.0002348783987918532,1.1832586014540254e-06,14.18092534921181,0.42968478173180347,0.008919886313378811,0
2500,3.009800764175452e-08,1.0,28.110198974609375,0.004810381680727005,239.55073522310184,239.31929337073396,10.52760972211628,1.919267372652883e-06,0.0002762423161214,1.5807535264588692e-06,13.637728614296659,0.4167754209853028,0.009232169948518276,0
2600,3.654090718896441e-08,1.0,24.92110824584961,0.00402729632332921,248.9134889622356,248.73116238356954,9.525431574020221,2.2943777884268143e-06,0.00031180263421919926,2.0068427768543066e-06,13.366414174984765,0.4105072344525297,0.00981261394917965,0
2700,4.827508703897365e-08,1.0,22.116315841674805,0.0035798188764601946,257.9703436817878,257.8263287720546,8.618724454590138,2.7303795257792134e-06,0.00034173448636110916,2.4125283927327456e-06,13.131545209978166,0.4032313627480119,0.010468287393450737,0
2800,5.5278242427903024e-08,1.0,19.93351173400879,0.0035798188764601946,266.3688931891388,266.2547125483292,7.798416801724813,2.950567535933788e-06,0.0003490376373265688,2.748842598167119e-06,13.003824603630296,0.39787920570093077,0.010438801720738411,0
2900,6.732366131245726e-08,1.0,18.702600479125977,0.00257299467921257,274.22293381513646,274.13213250937326,7.056299033071484,3.204242340970781e-06,0.0003598978828823911,3.005091469943296e-06,12.98155482109705,0.39482447152346645,0.010111608542501926,0
3000,7.426456960502037e-08,1.0,18.377050399780273,0.002908602822571993,281.60146120118145,281.52906690118004,6.384938558152418,3.2929779241304914e-06,0.0003504421113415161,3.1385275372152776e-06,12.962959855340277,0.3927629373729007,0.009635872207581997,0
3100,8.294848186096715e-08,1.0,18.534563064575195,0.0019017787417396903,288.5319247912066,288.4740730920361,5.777610008394949,3.209796895588143e-06,0.0003325550807224235,3.1532499510729314e-06,12.980738094079442,0.3919269017365797,0.00935601070523262,0
3200,9.241053078312689e-08,1.0,18.806007385253906,0.002013648161664605,295.2257546492968,295.1794570156881,5.228227631837191,3.1283770295412676e-06,0.0003171804128352852,3.0819559440423726e-06,13.036597717851897,0.39334617004764233,0.008968759328126907,0
3300,9.92580595493564e-08,1.0,19.114959716796875,0.002013648161664605,301.8825774611323,301.845499541961,4.731276872112183,2.8707308397556407e-06,0.0002778681710638539,2.916602320205997e-06,13.083070925429645,0.3958754442491476,0.00857356283813715,0
3400,1.0965385399686056e-07,1.0,19.331501007080078,0.0016780400183051825,308.53532552585216,308.50561343341616,4.281772695410097,2.7755405797527686e-06,0.00026634172805828257,2.7604266996784673e-06,13.277910574147542,0.4008859404513022,0.008091757073998451,0
3500,1.3056994419002876e-07,1.0,19.38034439086914,0.0015661707147955894,315.1622310923778,315.13840497041,3.875257389028107,2.6911592907743098e-06,0.00025519574842937164,2.6708861123569233e-06,13.62465136942254,0.40873081595715616,0.007920961827039719,0
3600,1.5061452529607777e-07,1.0,19.37859535217285,0.002013648161664605,321.77216045356136,321.75304065861576,3.50771576493598,2.572005029413151e-06,0.00024269293437777968,2.597357583779144e-06,14.025512644196153,0.4174285476911825,0.008199463598430157,0
3700,1.7501663762686803e-07,1.0,19.31080436706543,0.0017899094382300973,328.5371159260883,328.5217698227747,3.1754202153115854,2.331427138729302e-06,0.00022663469436049412,2.370298525545695e-06,14.784527634909892,0.43421610946761113,0.008606357499957085,0
3800,1.9661747785448824e-07,1.0,19.195228576660156,0.002013648161664605,336.077579825014,336.06528264476765,2.8749716400538303,2.004884626057629e-06,0.00020514997110835607,2.037888711067765e-06,15.842164116991277,0.46094722912365366,0.009310601279139519,0
3900,2.1971233366002707e-07,1.0,18.924837112426758,0.0019017787417396903,344.9976275138738,344.9878049765355,2.6033454771744404,1.646050885045972e-06,0.00018326438871140574,1.7258871461381352e-06,16.927303567130295,0.49230370511886257,0.00941795576363802,0
4000,2.7334093033459794e-07,1.0,18.57200813293457,0.002237386768683791,355.7847118378486,355.7768995899436,2.357731050849087,3.3714904330999976e-07,0.00013183932573070548,9.621432484586415e-07,18.365699032764574,0.5345025844219554,0.00960614439100027,0
4100,6.413644086933346e-07,1.0,17.598169326782227,0.002125517465174198,361.9891477779727,361.9828519430914,2.1349492192830386,6.749579125422418e-07,9.390032525161147e-05,6.062608664168926e-07,18.36208017784146,0.5448022945159958,0.00940763857215643,0
4200,1.400256905981223e-06,1.0,16.4713134765625,0.002461125375702977,369.8464043249043,369.8413352760426,1.9363660021861329,6.715021637507752e-07,0.00014795393222360244,6.228473501057733e-07,18.75432002658819,0.5554882313185748,0.009725818410515785,0
4300,1.9575516034819884e-06,1.0,15.559553146362305,0.002461125375702977,378.85587966587383,378.8517793667759,1.7626196500821558,8.511692806849355e-07,0.00020150477461306336,8.349890418630391e-07,18.653521400326472,0.5495942926335873,0.009976018220186234,0
4400,2.0617892459995346e-06,1.0,14.98603343963623,0.003132341429591179,388.2623129463274,388.2589770369699,1.6094734038053427,8.60088887895158e-07,0.00021183927600330378,8.57614810197756e-07,18.649461215555693,0.5476018651629229,0.009230958297848701,0
4500,2.089428335239063e-06,1.0,14.497637748718262,0.00413916539400816,397.68661198939037,397.683881188418,1.473770170741927,8.35750059055851e-07,0.00021378199706219243,8.379246952307654e-07,18.662344736544732,0.5477210366300839,0.009949964471161366,0
4600,2.085133019136265e-06,1.0,14.028697967529297,0.005369727965444326,406.89726569701645,406.8950136611631,1.353768588154419,8.015766682478691e-07,0.00021252396815553973,8.046915067263147e-07,18.708810004737323,0.5495864573462922,0.00963663775473833,0
4700,2.0548170596157433e-06,1.0,13.580096244812012,0.0070477682165801525,415.78966822482187,415.78779530622256,1.2479891418552436,7.53933485356722e-07,0.0002075120742810059,7.596722227060706e-07,18.764432507603203,0.5519904650467421,0.009810500778257847,0
4800,1.9987298855994595e-06,1.0,13.14649772644043,0.007942723110318184,424.3898830887627,424.3883112968655,1.155033630866056,6.945471365570268e-07,0.00019928658229307638,7.035818710142592e-07,18.850843466299892,0.5554464223463896,0.009743868373334408,0
4900,1.8970442852150882e-06,1.0,12.800352096557617,0.009844501502811909,432.63205597845405,432.6307248371795,1.0732133995131108,6.149502238094631e-07,0.00018641354112944027,6.243773273020782e-07,18.92127521741503,0.5584976496035561,0.010171853937208652,0
5000,1.8409257336315932e-06,1.0,12.463735580444336,0.011410672217607498,440.53610919685434,440.5349706240854,1.001580520478638,5.725450293541402e-07,0.00018006889196809387,5.765339007995848e-07,19.010163844378674,0.5613994438455246,0.01021421980112791,0
5100,1.7896627468871884e-06,1.0,12.094560623168945,0.012976842932403088,448.13331500867014,448.13232955702995,0.9398012818973708,5.413432883992342e-07,0.00017459107653027922,5.446954668290328e-07,19.063999227047074,0.5631968354904818,0.010112687945365906,0
5200,1.7266967233808828e-06,1.0,11.707444190979004,0.015661707147955894,455.3281712711875,455.3273076108048,0.8868466944345991,5.123000211744114e-07,0.00016851177707167414,5.14548643525375e-07,19.06423587439625,0.5631163693647412,0.010087798349559307,0
5300,1.6509383158336277e-06,1.0,11.317981719970703,0.017451616004109383,462.0831981748705,462.0824314501432,0.8417723209763603,4.819574329677357e-07,0.0001612558764205263,4.847774307153664e-07,19.110893316816178,0.5650920869639919,0.010243142955005169,0
5400,1.5691416592744645e-06,1.0,10.93111801147461,0.019353395327925682,468.4877964967443,468.48710753782484,0.8034533075460036,4.510025472572123e-07,0.00015331870546818777,4.54553288415398e-07,19.16147410513794,0.5668889137076211,0.01045328937470913,0
5500,1.4946591591069591e-06,1.0,10.537252426147461,0.0223738681524992,474.49200493333103,474.49137848784886,0.7710294113622637,4.266709042811419e-07,0.00014677704203924568,4.289302318905875e-07,19.156088432211202,0.5664111185796714,0.010377789847552776,0
5600,1.4303857369668549e-06,1.0,10.119768142700195,0.026624901220202446,479.8509641714671,479.8503872421518,0.7440966627907776,4.08176999877646e-07,0.00014147274419607837,4.0912710053062906e-07,19.136272158923315,0.5644506285145009,0.010157590731978416,0
5700,1.3612259408546379e-06,1.0,9.668651580810547,0.0314352847635746,484.6450671776424,484.6445293034514,0.722049761114931,3.9066967124846734e-07,0.00013560807252743895,3.9175995036178973e-07,19.125197807279374,0.5637769949368513,0.009802134707570076,0
5800,1.2951161352248164e-06,1.0,9.1918363571167,0.03960174694657326,489.0559587968899,489.05545198781584,0.7040708333955972,3.734290523011138e-07,0.0001298296193058327,3.751242028409771e-07,19.09691148020983,0.5636645468435936,0.00980530958622694,0
5900,1.2221590850458597e-06,1.0,8.698287963867188,0.048998769372701645,493.05390939648294,493.0534272215459,0.6895478539919593,3.572155966084295e-07,0.00012390798118940067,3.589767469973426e-07,19.082354786488608,0.5632184662160462,0.00976285059005022,0
6000,1.1472096730358317e-06,1.0,8.176399230957031,0.06309430301189423,496.6565337931114,496.65607146802915,0.6776675674525359,3.3995767882564036e-07,0.00011690677326406975,3.4226042639780183e-07,19.064782047643153,0.5633416933210242,0.00963599607348442,0
6100,1.0669068615243305e-06,1.0,7.629513263702393,0.08311891555786133,500.0146180836938,500.0141722303687,0.6677321030161698,3.217484049175277e-07,0.00010974715484115898,3.245393535686892e-07,19.08630381704174,0.564800241766397,0.009733231738209724,0
6200,9.942299357135198e-07,1.0,7.058193683624268,0.10694708675146103,503.2088812539261,503.2084496611073,0.6590618277288002,3.0610833179440633e-07,0.00010321812158850997,3.0738347691848923e-07,19.109717738868017,0.5656167939734512,0.009894859977066517,0
6300,9.314193789577985e-07,1.0,6.488929271697998,0.1362568587064743,506.0560245886999,506.05560491639443,0.6517324765510586,2.913183168257285e-07,9.724850202656439e-05,2.928353941651013e-07,19.09269059326839,0.5650494118101319,0.00987608078867197,0
6400,8.64562650804146e-07,1.0,5.921356201171875,0.16981765627861023,508.6394974657553,508.6390881328232,0.6452949916417545,2.7269559388386173e-07,9.02832595963156e-05,2.753581384505873e-07,19.12515488091444,0.5663268556706832,0.009601159952580929,0
6500,8.058295293267292e-07,1.0,5.3563971519470215,0.2104262262582779,511.05533335768035,511.0549335587704,0.6392484419830123,2.5904369720281403e-07,8.466760257428766e-05,2.6002711989162347e-07,19.11362668958978,0.5664736933927013,0.009981582872569561,0
