step,train_loss,train_accuracy,test_loss,test_accuracy
0,5.186100959777832,0.007571801543235779,5.174230575561523,0.008390200324356556
100,0.005661876872181892,1.0,28.10426902770996,0.0004474773595575243
200,0.03308982029557228,0.987467348575592,151.73513793945312,0.0008949547191150486
300,0.0167569350451231,0.997389018535614,113.31358337402344,0.0010068240808323026
400,0.0023851857986301184,0.9992167353630066,87.37090301513672,0.0016780400183051825
500,0.0005405795527622104,1.0,74.36913299560547,0.0019017787417396903
600,0.00025414550327695906,1.0,65.95945739746094,0.002349256072193384
700,0.0001351530954707414,1.0,57.19856643676758,0.0017899094382300973
800,1.1612958587647881e-05,1.0,69.93948364257812,0.002237386768683791
900,4.278977485228097e-06,1.0,68.66325378417969,0.002013648161664605
1000,3.2681393147271365e-09,1.0,117.4493408203125,0.002349256072193384
1100,0.0008382326341234148,0.9994778037071228,97.12755584716797,0.002908602822571993
1200,4.3010619265260175e-05,1.0,79.71737670898438,0.003244210733100772
1300,5.445123861136381e-06,1.0,66.46929168701172,0.003356080036610365
1400,1.341493405249139e-08,1.0,74.43846130371094,0.003356080036610365
1500,2.2223346718419634e-08,1.0,28.631460189819336,0.004474773537367582
1600,1.515794245676716e-08,1.0,27.357742309570312,0.005369727965444326
1700,1.7741326630016374e-08,1.0,19.949033737182617,0.006935898680239916
1800,1.615394573661888e-08,1.0,24.771989822387695,0.007830853573977947
1900,1.3757309957895814e-08,1.0,32.28719711303711,0.005817205645143986
2000,1.9826691399771335e-08,1.0,40.748294830322266,0.005369727965444326
2100,4.582442283630371,0.04543080925941467,5.373378753662109,0.009173285216093063
2200,2.5285017490386963,0.4268929362297058,6.2868194580078125,0.024834992364048958
2300,0.12222826480865479,1.0,9.76590347290039,0.08725808560848236
2400,0.00010775013652164489,1.0,18.507827758789062,0.06354178488254547
2500,1.0990285659318033e-07,1.0,30.40761375427246,0.049558114260435104
2600,5.569598670263076e-06,1.0,29.127300262451172,0.04564268887042999
2700,7.843534177709444e-08,1.0,28.240398406982422,0.049669984728097916
2800,3.859516795046147e-08,1.0,24.235288619995117,0.055375322699546814
2900,2.3001474502848396e-08,1.0,22.370555877685547,0.06007383391261101
3000,5.543386905060288e-08,1.0,23.14933967590332,0.058507662266492844
3100,1.6623934584458766e-07,1.0,24.404953002929688,0.06007383391261101
3200,2.564711287789123e-08,1.0,20.769681930541992,0.07014207541942596
3300,3.7599161117896074e-08,1.0,22.76602554321289,0.06510795652866364
3400,1.504277804542653e-07,1.0,25.285987854003906,0.06264682859182358
3500,1.1257960608190842e-07,1.0,22.09735870361328,0.061863742768764496
3600,1.7364713755796402e-07,1.0,21.91188621520996,0.06779281795024872
3700,9.673692602518713e-08,1.0,21.291776657104492,0.06365365535020828
3800,1.1108561182027188e-07,1.0,19.069337844848633,0.06734534353017807
3900,1.6866711405327806e-07,1.0,17.60976791381836,0.07025394588708878
4000,2.7866332175108255e-07,1.0,15.343300819396973,0.07249133288860321
4100,5.58914052817272e-07,1.0,12.880120277404785,0.08244770020246506
4200,2.008129740715958e-06,1.0,10.813948631286621,0.10325539857149124
4300,7.784612535033375e-06,1.0,9.42189884185791,0.11533728241920471
4400,3.151050623273477e-05,1.0,8.201994895935059,0.1370399445295334
4500,0.00011864386760862544,1.0,7.122200965881348,0.16221053898334503
4600,0.0002781226939987391,1.0,6.270620346069336,0.19554759562015533
4700,0.00037028826773166656,1.0,5.629454612731934,0.23179326951503754
4800,0.0003948307712562382,1.0,5.0764007568359375,0.2717306315898895
4900,0.0003960610192734748,1.0,4.554544448852539,0.306633859872818
5000,0.00038797283195890486,1.0,4.063398361206055,0.33963531255722046
5100,0.0003721135144587606,1.0,3.5979809761047363,0.37017562985420227
5200,0.00034972140565514565,1.0,3.1586828231811523,0.4039601683616638
5300,0.0003291450266260654,1.0,2.7427878379821777,0.4446806013584137
5400,0.00030853168573230505,1.0,2.3462018966674805,0.48976394534111023
5500,0.00028570526046678424,1.0,1.9777603149414062,0.5392102003097534
5600,0.00026180496206507087,1.0,1.6483298540115356,0.5950329899787903
5700,0.00024092414241749793,1.0,1.3616209030151367,0.6545475125312805
5800,0.00022382847964763641,1.0,1.114509105682373,0.7137263417243958
5900,0.00020676908025052398,1.0,0.9053642749786377,0.7651862502098083
6000,0.00018887135956902057,1.0,0.7319391965866089,0.8095983862876892
6100,0.00017195787222590297,1.0,0.5894250869750977,0.847633957862854
6200,0.00015758085646666586,1.0,0.4775010347366333,0.8798523545265198
6300,0.00014621212903875858,1.0,0.3887081742286682,0.9044635891914368
6400,0.0001380745234200731,1.0,0.31873151659965515,0.9235932230949402
6500,0.00012835858797188848,1.0,0.2618943750858307,0.9394786953926086
6600,0.0001203911961056292,1.0,0.2162916362285614,0.9534623622894287
6700,0.00011229440133320168,1.0,0.17952647805213928,0.9649848937988281
6800,0.00010495843889657408,1.0,0.1503826528787613,0.973598837852478
6900,9.794387733563781e-05,1.0,0.1271740198135376,0.9789685606956482
7000,9.1611931566149e-05,1.0,0.10837459564208984,0.982995867729187
7100,8.578412234783173e-05,1.0,0.0930275097489357,0.9860163331031799
7200,8.034074562601745e-05,1.0,0.08052867650985718,0.9882537126541138
7300,7.517429912695661e-05,1.0,0.0701141208410263,0.9908267259597778
7400,7.025434024399146e-05,1.0,0.06109059974551201,0.9932878613471985
7500,6.57865748507902e-05,1.0,0.05342848226428032,0.9953014850616455
7600,6.172908615553752e-05,1.0,0.046945471316576004,0.9964202046394348
7700,5.7949739129981026e-05,1.0,0.04141794145107269,0.9970914125442505
7800,5.44234826520551e-05,1.0,0.03663414344191551,0.9976507425308228
7900,5.118477565702051e-05,1.0,0.032393526285886765,0.997986376285553
8000,4.813956547877751e-05,1.0,0.028728658333420753,0.9984338283538818
8100,4.534308027359657e-05,1.0,0.02561047300696373,0.9985457062721252
8200,4.268862176104449e-05,1.0,0.022888490930199623,0.9989931583404541
8300,4.0250430174637586e-05,1.0,0.020615411922335625,0.9992169141769409
8400,3.8006026443326846e-05,1.0,0.018661119043827057,0.9992169141769409
8500,3.59000259777531e-05,1.0,0.01688866876065731,0.9994406700134277
8600,3.392788130440749e-05,1.0,0.015367637388408184,0.9995525479316711
8700,3.2071817258838564e-05,1.0,0.01404581218957901,0.9995525479316711
8800,3.035175905097276e-05,1.0,0.01291563082486391,0.9996643662452698
8900,2.8741658752551302e-05,1.0,0.01191222108900547,0.9996643662452698
9000,2.7182222765986808e-05,1.0,0.011004206724464893,0.9996643662452698
9100,2.5699819161673076e-05,1.0,0.010245195589959621,0.9995525479316711
9200,2.4284823666675948e-05,1.0,0.009550468996167183,0.9995525479316711
9300,2.2905991500010714e-05,1.0,0.008894560858607292,0.9995525479316711
9400,2.1512341845664196e-05,1.0,0.008304748684167862,0.9997762441635132
9500,2.0253206457709894e-05,1.0,0.0077544571831822395,0.9997762441635132
9600,1.9108891137875617e-05,1.0,0.007256864104419947,0.9997762441635132
9700,1.7864444089354947e-05,1.0,0.006766851991415024,0.9997762441635132
9800,1.6841227989061736e-05,1.0,0.0063077653758227825,0.9998881220817566
9900,1.602281008672435e-05,1.0,0.005914679728448391,0.9998881220817566
10000,1.5258080566127319e-05,1.0,0.005577840376645327,0.9998881220817566
10100,1.4529766303894576e-05,1.0,0.005245974753051996,0.9998881220817566
10200,1.38222112582298e-05,1.0,0.0049591222777962685,0.9998881220817566
10300,1.3167412362236064e-05,1.0,0.004685044288635254,0.9998881220817566
10400,1.2537511793198064e-05,1.0,0.0044345613569021225,1.0
10500,1.1924107639060821e-05,1.0,0.0041938666254282,1.0
10600,1.1295636795694008e-05,1.0,0.003963866271078587,1.0
10700,1.0738755008787848e-05,1.0,0.0037731153424829245,1.0
10800,1.0235498848487623e-05,1.0,0.00359944230876863,1.0
10900,9.753998710948508e-06,1.0,0.003432162804529071,1.0
11000,9.292356480727904e-06,1.0,0.003275274997577071,1.0
11100,8.753803740546573e-06,1.0,0.003106984542682767,1.0
11200,8.208279723476153e-06,1.0,0.0029050081502646208,1.0
11300,7.8304865382961e-06,1.0,0.0027553897816687822,1.0
11400,7.246024324558675e-06,1.0,0.0025900681503117085,1.0
11500,6.92777257427224e-06,1.0,0.0024697878398001194,1.0
11600,6.628039500355953e-06,1.0,0.0023734632413834333,1.0
11700,6.338515959214419e-06,1.0,0.0022851857356727123,1.0
11800,6.056773599993903e-06,1.0,0.002210774226114154,1.0
11900,5.7409492910664994e-06,1.0,0.0021202180068939924,1.0
12000,5.359824626793852e-06,1.0,0.002031195443123579,1.0
12100,5.1331417125766166e-06,1.0,0.001956349005922675,1.0
12200,4.906396043224959e-06,1.0,0.0018850932829082012,1.0
12300,4.691758476838004e-06,1.0,0.0018147554947063327,1.0
12400,4.485649242269574e-06,1.0,0.0017518369713798165,1.0
12500,4.266996256774291e-06,1.0,0.0016919014742597938,1.0
12600,4.054724286106648e-06,1.0,0.0016240664990618825,1.0
12700,3.8691878216923214e-06,1.0,0.0015717728529125452,1.0
12800,3.660308266262291e-06,1.0,0.0015082716709002852,1.0
12900,3.4520817280281335e-06,1.0,0.001438936567865312,1.0
13000,3.2321834169124486e-06,1.0,0.0013440153561532497,1.0
13100,3.0571054594474845e-06,1.0,0.0012729365844279528,1.0
13200,2.907176167354919e-06,1.0,0.0012264738325029612,1.0
13300,2.738478315222892e-06,1.0,0.0011729059042409062,1.0
13400,2.567321644164622e-06,1.0,0.0011017638025805354,1.0
13500,2.4297492018376943e-06,1.0,0.0010483708465471864,1.0
13600,2.2961605736782076e-06,1.0,0.001003958168439567,1.0
13700,2.1530474896280793e-06,1.0,0.0009658078197389841,0.9998881220817566
13800,2.0381337435537716e-06,1.0,0.0009528676746413112,0.9998881220817566
13900,1.9232822978665354e-06,1.0,0.0009451787336729467,0.9998881220817566
14000,1.7972256500797812e-06,1.0,0.000928002642467618,0.9998881220817566
14100,1.6857668470038334e-06,1.0,0.0009225029498338699,0.9998881220817566
14200,1.593480988049123e-06,1.0,0.000893519027158618,0.9998881220817566
14300,1.5076691397553077e-06,1.0,0.0008523210999555886,0.9998881220817566
14400,1.4242540373743395e-06,1.0,0.0008050568285398185,0.9998881220817566
14500,1.3421771427601925e-06,1.0,0.0007759722066111863,0.9998881220817566
14600,1.255524921361939e-06,1.0,0.0007420698530040681,0.9998881220817566
14700,1.1708957572409417e-06,1.0,0.0006971858674660325,0.9998881220817566
14800,1.095666448236443e-06,1.0,0.0006623803055845201,0.9998881220817566
14900,1.026319637276174e-06,1.0,0.0006277320208027959,0.9998881220817566
15000,9.585291991243139e-07,1.0,0.0005932193016633391,0.9998881220817566
15100,8.976796834758716e-07,1.0,0.0005687634111382067,0.9998881220817566
15200,8.527350132681022e-07,1.0,0.000554880069103092,0.9998881220817566
15300,8.089419907264528e-07,1.0,0.0005479324026964605,0.9998881220817566
15400,7.568696673843078e-07,1.0,0.0005323625518940389,0.9998881220817566
15500,7.024007118161535e-07,1.0,0.0005124766612425447,0.9998881220817566
15600,6.63369860376406e-07,1.0,0.0004957684432156384,0.9998881220817566
15700,6.262064857764926e-07,1.0,0.0004987430293112993,0.9998881220817566
15800,5.874556450180535e-07,1.0,0.0004952208837494254,0.9998881220817566
15900,5.475844773172867e-07,1.0,0.00046578465844504535,0.9998881220817566
16000,5.270730412121338e-07,1.0,0.0004343886103015393,0.9998881220817566
16100,5.008033667763812e-07,1.0,0.00041853133006952703,0.9998881220817566
16200,4.768370445162873e-07,1.0,0.0003956508298870176,0.9998881220817566
16300,4.532130617462826e-07,1.0,0.0003766923618968576,0.9998881220817566
16400,4.3267047544759407e-07,1.0,0.00036183305201120675,1.0
16500,4.116610057280923e-07,1.0,0.0003404358576517552,1.0
16600,3.915542095001001e-07,1.0,0.00032555911457166076,1.0
16700,3.6799247027374804e-07,1.0,0.000294754485366866,1.0
16800,3.541106536886218e-07,1.0,0.00028590922011062503,1.0
16900,3.3437731872254517e-07,1.0,0.0002721262280829251,1.0
17000,3.179743828241044e-07,1.0,0.00024264471721835434,1.0
17100,3.025051853455807e-07,1.0,0.00020900863455608487,1.0
17200,2.9117563826730475e-07,1.0,0.00018059625290334225,1.0
17300,2.7925469225920097e-07,1.0,0.0001621499686734751,1.0
17400,2.728740469137847e-07,1.0,0.00014403635577764362,1.0
17500,2.6250938844896154e-07,1.0,0.00013322340964805335,1.0
17600,2.5447909024478577e-07,1.0,0.000128835832583718,1.0
17700,2.4573296286689583e-07,1.0,0.00012784707359969616,1.0
17800,2.3636428636564233e-07,1.0,0.0001263774756807834,1.0
17900,2.2559498802365852e-07,1.0,0.00012319839152041823,1.0
18000,2.1691107576771174e-07,1.0,0.00011787159746745601,1.0
18100,2.0527026833860873e-07,1.0,0.00011218961299164221,1.0
18200,1.953724790837441e-07,1.0,0.00010995104094035923,1.0
18300,1.8640844245965127e-07,1.0,0.00011308812827337533,1.0
18400,1.791251520444348e-07,1.0,0.00011085828737122938,1.0
18500,1.7087698722662026e-07,1.0,0.00011232226097490638,1.0
18600,1.6312682760144526e-07,1.0,0.00011757824540836737,1.0
18700,1.550965436081242e-07,1.0,0.00012843281729146838,1.0
18800,1.5232640748763515e-07,1.0,0.00016422185581177473,1.0
18900,1.481245135437348e-07,1.0,0.0002823381219059229,1.0
19000,1.543806718018459e-07,1.0,0.0007692587096244097,0.9997762441635132
19100,1.6499434707384353e-07,1.0,0.0024976313579827547,0.9995525479316711
19200,1.6950748715771624e-07,1.0,0.006750932894647121,0.9984338283538818
19300,6.250100135803223,0.07806788384914398,9.34093952178955,0.026065556332468987
19400,2.0299792289733887,0.498694509267807,5.918689727783203,0.1419621855020523
19500,0.33814680576324463,0.9485639929771423,5.108211040496826,0.3540664613246918
19600,0.009691711515188217,1.0,4.475665092468262,0.44412127137184143
19700,0.0008020641398616135,1.0,4.101796627044678,0.489316463470459
19800,0.00012307909491937608,1.0,3.7692973613739014,0.516277015209198
19900,3.4294953366043046e-05,1.0,3.5365278720855713,0.5413357019424438
20000,2.0810504793189466e-05,1.0,3.291384696960449,0.5451392531394958
20100,1.2333477570791729e-05,1.0,3.0801901817321777,0.5602416396141052
20200,1.3112779015500564e-05,1.0,2.9060606956481934,0.5737778544425964
20300,1.8245425962959416e-05,1.0,2.6778676509857178,0.5754558444023132
20400,3.016162008862011e-05,1.0,2.460155725479126,0.5772457718849182
20500,5.953457366558723e-05,1.0,2.262511968612671,0.5835104584693909
20600,0.00011439307127147913,1.0,2.0621321201324463,0.5898870229721069
20700,0.00020044785924255848,1.0,1.8746145963668823,0.6034231781959534
20800,0.0003217057092115283,1.0,1.6855581998825073,0.6195324063301086
20900,0.0004413045826368034,1.0,1.50187349319458,0.6381027102470398
21000,0.0005441441317088902,1.0,1.3223930597305298,0.6648394465446472
21100,0.0005922012496739626,1.0,1.1457526683807373,0.6937017440795898
21200,0.0005796371260657907,1.0,0.9815223217010498,0.7269269227981567
21300,0.0005562350270338356,1.0,0.8326584100723267,0.7648506760597229
21400,0.0005246984073892236,1.0,0.7007990479469299,0.7970690131187439
21500,0.0004929711576551199,1.0,0.5878841876983643,0.8285043239593506
21600,0.0004600663378369063,1.0,0.4912271201610565,0.8526681065559387
21700,0.0004259147390257567,1.0,0.40564000606536865,0.8739232420921326
21800,0.0003894129768013954,1.0,0.33248522877693176,0.899429440498352
21900,0.00035348234814591706,1.0,0.2713314890861511,0.917999804019928
22000,0.0003196811012458056,1.0,0.21975183486938477,0.9357870221138
22100,0.0002919820253737271,1.0,0.1763439029455185,0.9496588110923767
22200,0.00026602839352563024,1.0,0.14063948392868042,0.9615169763565063
22300,0.00024388539895880967,1.0,0.11191710829734802,0.9712495803833008
22400,0.00022326676116790622,1.0,0.08965222537517548,0.9795278906822205
22500,0.00020363157091196626,1.0,0.0722854882478714,0.9852332472801208
22600,0.00018538630683906376,1.0,0.05864065885543823,0.9904910922050476
