step,regime,modulus,train_fraction,d_model,num_heads,d_mlp,train_loss,train_accuracy,test_loss,test_accuracy,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step
0,muon,113,0.3,128,4,512,5.186100959777832,0.007571801543235779,5.174230575561523,0.008390200324356556,19.585105107656336,123.10922682798059,6.175757884979248,nan,nan,nan,nan,nan,0,0,0,
100,muon,113,0.3,128,4,512,0.011254585348069668,1.0,20.392738342285156,0.0003356079978402704,51.072335953676784,115.29077676441761,6.8333845138549805,0.03295764552172801,0.0043848972275002335,0.02579643577337265,0.9094495857717391,0.015412936918437481,0,0,0,
200,muon,113,0.3,128,4,512,4.7490695465057797e-07,1.0,58.88435363769531,0.0012305626878514886,78.95343022802929,104.50009478593105,6.716731071472168,6.002783677037512e-06,8.629275385688656e-07,1.003811939881416e-05,0.9007303897140722,0.015341763384640217,0,0,0,
300,muon,113,0.3,128,4,512,0.02397458627820015,0.9963446259498596,46.64598083496094,0.0010068240808323026,78.01608462219694,94.56686482016161,6.542224884033203,0.6015683423318474,0.11731916779941905,0.8887473344802856,0.896918063021298,0.014194626361131668,0,0,0,
400,muon,113,0.3,128,4,512,0.0016904080985113978,1.0,19.71367835998535,0.0008949547191150486,61.77247250825376,85.66503223195946,6.409791946411133,0.005547597824633758,0.0010374370098922487,0.006046420894563198,0.8995641930000295,0.014346708543598652,0,0,0,
500,muon,113,0.3,128,4,512,0.0001456131285522133,1.0,21.10186767578125,0.0008949547191150486,64.25066317383765,77.55180302675684,6.2654242515563965,0.0003235857653447849,5.721502977841562e-05,0.0004856207815464586,0.9028018230957358,0.015212150290608406,0,0,0,
600,muon,113,0.3,128,4,512,4.525594832216484e-08,1.0,38.30747985839844,0.0011186933843418956,82.47383547639572,70.17077511586774,6.111527919769287,3.2613735492513544e-07,6.659117736238568e-08,1.1642219988061697e-06,0.8840581566262118,0.015436842106282711,0,0,0,
700,muon,113,0.3,128,4,512,0.001385421841405332,1.0,17.369487762451172,0.0016780400183051825,67.3093133892356,63.57266726704954,5.976215839385986,0.0022896471746499895,0.0005150629372481505,0.003701611887663603,0.9159331411247064,0.01582041196525097,0,0,0,
800,muon,113,0.3,128,4,512,9.313569648838893e-07,1.0,28.0347843170166,0.0015661707147955894,81.65415757023527,57.53936793565304,5.834397315979004,2.4862645219808194e-06,7.371267059801415e-07,4.843234364670934e-06,0.8960362960742765,0.01585598662495613,0,0,0,
900,muon,113,0.3,128,4,512,0.0018393503269180655,0.9992167353630066,25.70821762084961,0.0019017787417396903,87.89487754449927,52.06125709770143,5.6903462409973145,1.0919113598301466e-06,1.0201094420353816e-06,9.414407031727023e-07,0.9000928155055259,0.014742842875421047,0,0,0,
1000,muon,113,0.3,128,4,512,2.2343718228512444e-05,1.0,19.51054573059082,0.0012305626878514886,76.2503498506515,47.20377827858184,5.572505474090576,3.6615564797590926e-05,1.2067531941813223e-05,7.673285290366039e-05,0.9031293090223698,0.015741730108857155,0,0,0,
1100,muon,113,0.3,128,4,512,1.2132578319778986e-07,1.0,24.44744873046875,0.002125517465174198,86.99482595521049,42.7106880173005,5.435172080993652,2.6625957933959405e-07,9.733387949303001e-08,1.2003804386040429e-06,0.8394851396635832,0.013713053427636623,0,0,0,
1200,muon,113,0.3,128,4,512,5.144984882576864e-08,1.0,16.270709991455078,0.006488421466201544,85.92609114152357,38.64434423287922,5.300971031188965,2.6193680449263794e-07,1.388695566507519e-07,1.7938032215170097e-06,0.8781293561214705,0.014563514851033688,0,0,0,
1300,muon,113,0.3,128,4,512,5.418886317443139e-08,1.0,14.767624855041504,0.007942723110318184,87.80997521634066,34.965144182591175,5.1700849533081055,3.3475398780658465e-07,1.1910293957274851e-07,2.422204943286488e-06,0.8901766910666044,0.014607037417590618,0,0,0,
1400,muon,113,0.3,128,4,512,5.820400517109192e-08,1.0,14.281330108642578,0.008166461251676083,91.21771797452207,31.636231510064587,5.042431831359863,4.426981665911848e-07,1.334918363395406e-07,2.6465518203622196e-06,0.9014381970240914,0.016721682623028755,0,0,0,
1500,muon,113,0.3,128,4,512,6.24992750886122e-08,1.0,13.940958023071289,0.008613938465714455,93.93833197259241,28.624249536536876,4.9179301261901855,4.5727469346114527e-07,1.8326106007673525e-07,2.8516867587313754e-06,0.9148809739098515,0.016425788402557373,0,0,0,
1600,muon,113,0.3,128,4,512,7.264606693979658e-08,1.0,13.685300827026367,0.00827833078801632,95.89345705702328,25.899033983975063,4.796504020690918,4.817140803291192e-07,2.1014613573068473e-07,2.7144594696437707e-06,0.9176410749160597,0.015632547438144684,0,0,0,
1700,muon,113,0.3,128,4,512,8.764838099750705e-08,1.0,13.500213623046875,0.008837677538394928,97.39235811874966,23.433283929792022,4.678077220916748,5.878211011296489e-07,2.422615518379231e-07,2.801995833578985e-06,0.9250527311596067,0.016216857358813286,0,0,0,
1800,muon,113,0.3,128,4,512,1.195516574625799e-07,1.0,13.396382331848145,0.008502069860696793,99.28278684645827,21.202312390465153,4.562575817108154,5.568034410420232e-07,2.7926213855674015e-07,2.9969687602715567e-06,0.9382535042936654,0.015032876282930374,0,0,0,
1900,muon,113,0.3,128,4,512,1.954658586100777e-07,1.0,13.320904731750488,0.007383376359939575,101.1352982677929,19.1837991491284,4.449932098388672,9.042137629150945e-07,5.012430116119938e-07,4.664344942284515e-06,0.9501883344192558,0.01578507386147976,0,0,0,
2000,muon,113,0.3,128,4,512,2.9485420327546308e-06,1.0,12.458412170410156,0.004586642608046532,101.55475819402717,17.357825137475533,4.3401079177856445,6.253080724757569e-06,7.653595983090119e-06,1.7615453543839976e-05,0.957320312451825,0.01496095024049282,0,0,0,
2100,muon,113,0.3,128,4,512,2.7006364689441398e-05,1.0,11.084365844726562,0.003244210733100772,102.95977771449455,15.712297318770023,4.233677387237549,3.204143713746137e-05,5.774094821283046e-05,9.621698700357229e-05,0.9516040224140425,0.014836286194622517,0,0,0,
2200,muon,113,0.3,128,4,512,0.0002883888082578778,1.0,9.50806713104248,0.002908602822571993,102.50725180314974,14.291578850111444,4.136382579803467,0.00026138526105442617,0.0006182711813788159,0.000872857344802469,0.9352201754907399,0.015189406462013721,0,0,0,
2300,muon,113,0.3,128,4,512,0.0008837691857479513,1.0,8.705035209655762,0.002013648161664605,102.30387779361375,13.32929486472521,4.0709967613220215,0.00065964142423259,0.0017428155707795363,0.002461085096001625,0.9320030777959752,0.015309959650039673,0,0,0,
2400,muon,113,0.3,128,4,512,0.001163834473118186,1.0,8.259805679321289,0.003467949340119958,102.26416038020868,12.886369067041034,4.045374393463135,0.0008256322742831722,0.0022082977622153266,0.003190412186086178,0.9381506264742148,0.015028215013444424,0,0,0,
2500,muon,113,0.3,128,4,512,0.0010880193440243602,1.0,7.888647079467773,0.005034120287746191,102.56744042402951,12.608664414506828,4.030706882476807,0.000744445855019533,0.0020315393059059644,0.0029935187194496393,0.9369927584520041,0.015165910124778748,0,0,0,
2600,muon,113,0.3,128,4,512,0.0010521388612687588,1.0,7.487441062927246,0.005257858894765377,102.49059719100043,12.403349229903473,4.019245147705078,0.0007059479941936459,0.0019584993104883714,0.0029091474134474993,0.937953277001642,0.015549477189779282,0,0,0,
2700,muon,113,0.3,128,4,512,0.0010320310248062015,1.0,7.084394931793213,0.0092851547524333,102.36313717927376,12.241869982776082,4.008832931518555,0.0006845472502837039,0.0019644327102615144,0.0028549686539918184,0.9307717216563715,0.015263429842889309,0,0,0,
2800,muon,113,0.3,128,4,512,0.0009686222183518112,1.0,6.7281975746154785,0.015437968075275421,102.20187177385154,12.16375702312472,4.003187656402588,0.0006460367605035124,0.0018972164658206136,0.0026937825605273247,0.9334845722709403,0.01482680905610323,0,0,0,
2900,muon,113,0.3,128,4,512,0.0007699010893702507,1.0,6.375579357147217,0.02505873143672943,102.68050493612094,12.02575467303123,3.9905903339385986,0.0005212762306944578,0.0016115620803194182,0.002186413388699293,0.9386210490183402,0.014585532248020172,0,0,0,
3000,muon,113,0.3,128,4,512,0.0007873161812312901,1.0,5.959272861480713,0.03456762433052063,102.53302062599715,11.864315834491553,3.973289728164673,0.0005361520476665638,0.0017523383041300072,0.002235753694549203,0.9309873530205063,0.015011867508292198,0,0,0,
3100,muon,113,0.3,128,4,512,0.0007686899043619633,1.0,5.585137844085693,0.04676138237118721,102.19365046388553,11.825684937327907,3.9637703895568848,0.0005288326329191428,0.0017609631112213652,0.0021926972549408674,0.9291137818408485,0.015555894933640957,0,0,0,
3200,muon,113,0.3,128,4,512,0.0006945542991161346,1.0,5.2175798416137695,0.06398925930261612,102.09422497393416,11.797704421240919,3.9542436599731445,0.0004828839995649942,0.0016190280735106429,0.0020029994193464518,0.9276152040352554,0.014806006103754044,0,0,0,
3300,muon,113,0.3,128,4,512,0.000635273871012032,1.0,4.871983051300049,0.08681060373783112,102.08956292756315,11.748692047517949,3.94218373298645,0.0004453557062604231,0.0015001445127369095,0.0018517664866521955,0.928943440912882,0.015494495630264282,0,0,0,
3400,muon,113,0.3,128,4,512,0.000584675814025104,1.0,4.561928749084473,0.11130999028682709,102.2080908319221,11.698555221126659,3.9290449619293213,0.00041287896451427,0.0013912535196747423,0.0017218745779246092,0.9310424863372859,0.01644558273255825,0,0,0,
3500,muon,113,0.3,128,4,512,0.0005436684004962444,1.0,4.265669345855713,0.13278889656066895,102.26047930319947,11.650548405974643,3.9150805473327637,0.00038618992045857107,0.0013030210813383244,0.0016169649315997958,0.9293028609570672,0.01607426069676876,0,0,0,
3600,muon,113,0.3,128,4,512,0.0005132806836627424,1.0,3.9899649620056152,0.16142745316028595,102.16168983634797,11.613533424548002,3.9011447429656982,0.0003666428817300497,0.0012366147431675104,0.0015397804090753198,0.9272355132818354,0.01568681374192238,0,0,0,
3700,muon,113,0.3,128,4,512,0.0004807935038115829,1.0,3.729678153991699,0.18973039090633392,102.07075328985535,11.602088823303701,3.8887503147125244,0.0003455913181106009,0.0011557734826711922,0.0014561626594513655,0.9284497240394436,0.015249988995492458,0,0,0,
3800,muon,113,0.3,128,4,512,0.00043385312892496586,1.0,3.4945785999298096,0.22508110105991364,102.19791937816616,11.56791344731295,3.874499797821045,0.0003150161334959396,0.0010595779542086363,0.001329832011833787,0.9291570158587291,0.014733458869159222,0,0,0,
3900,muon,113,0.3,128,4,512,0.00041022562072612345,1.0,3.257920980453491,0.25942498445510864,102.14972881341242,11.523702419506714,3.859201431274414,0.0002996267342710433,0.0010078101382788997,0.001267791143618524,0.9264577679247405,0.014699012041091919,0,0,0,
4000,muon,113,0.3,128,4,512,0.0003867020132020116,1.0,3.03073787689209,0.29578253626823425,102.02681694765239,11.503060573254542,3.845294237136841,0.00028409568057454474,0.0009515846611625375,0.0012058719294145703,0.9264781325639313,0.01519808080047369,0,0,0,
4100,muon,113,0.3,128,4,512,0.00035015662433579564,1.0,2.817138910293579,0.3268822133541107,102.13494216934087,11.471007597085487,3.830528736114502,0.00025969121559187177,0.0008712623589125954,0.0011050553293898702,0.9284076476222201,0.015281551517546177,0,0,0,
4200,muon,113,0.3,128,4,512,0.0003274645423516631,1.0,2.6207802295684814,0.3592124283313751,102.23213688890432,11.423881135016199,3.8145360946655273,0.0002447153754371198,0.0008262778129420077,0.0010434490395709872,0.9286093527268348,0.015725241973996162,0,0,0,
4300,muon,113,0.3,128,4,512,0.000308297632727772,1.0,2.4524731636047363,0.3934444487094879,102.25472929374472,11.384709485755238,3.799036741256714,0.0002314735997714704,0.0007785010012490059,0.0009906142950057983,0.9281547418261791,0.01578802801668644,0,0,0,
4400,muon,113,0.3,128,4,512,0.00029147943132556975,1.0,2.275254487991333,0.42443227767944336,102.179827747097,11.356805847412959,3.7844254970550537,0.0002198525943345591,0.0007365591202671957,0.0009444357128813863,0.9266338552278244,0.016215495765209198,0,0,0,
4500,muon,113,0.3,128,4,512,0.0002683127240743488,1.0,2.1088664531707764,0.46694260835647583,102.23541391921006,11.324379467792935,3.769803047180176,0.00020387370125242205,0.0006830219252592093,0.000878686725627631,0.9288253978887043,0.01590663008391857,0,0,0,
4600,muon,113,0.3,128,4,512,0.00023058724764268845,1.0,1.919166922569275,0.5096766948699951,102.52078332490467,11.243793015189784,3.7518258094787598,0.00017734999055974215,0.0006004678319149014,0.0007685822201892734,0.9320766060568121,0.015908781439065933,0,0,0,
4700,muon,113,0.3,128,4,512,0.00022873995476402342,1.0,1.7715147733688354,0.5444680452346802,102.50647288802877,11.15459874428387,3.732724666595459,0.00017636047776178776,0.0006001883770323335,0.0007667068275623024,0.9292141354925418,0.015563265420496464,0,0,0,
4800,muon,113,0.3,128,4,512,0.0002207242214353755,1.0,1.6380175352096558,0.5792593955993652,102.41716626894501,11.119137640030283,3.7173309326171875,0.00017084357610923118,0.0005763291062471545,0.000744903925806284,0.9274860959005843,0.015674252063035965,0,0,0,
4900,muon,113,0.3,128,4,512,0.00020924517593812197,1.0,1.500975489616394,0.6120371222496033,102.2799193826357,11.106788560531891,3.703875780105591,0.00016289098745708152,0.0005464687712475008,0.0007115349289961159,0.9267359469272036,0.015361594036221504,0,0,0,
5000,muon,113,0.3,128,4,512,0.0001957845379365608,1.0,1.377532958984375,0.6406756639480591,102.25681318964453,11.090838209129283,3.6905951499938965,0.00015346467697902348,0.0005143765573905915,0.0006712521426379681,0.9266040531812593,0.014562520198523998,0,0,0,
5100,muon,113,0.3,128,4,512,0.00018145285139326006,1.0,1.2664469480514526,0.6665174961090088,102.32461633698594,11.068328026154083,3.6772520542144775,0.00014327724134237724,0.00048012432065930435,0.00062753219390288,0.9274493856123854,0.014469832181930542,0,0,0,
5200,muon,113,0.3,128,4,512,0.00017175932589452714,1.0,1.1689192056655884,0.6926949620246887,102.33226684685137,11.040402114427021,3.6638660430908203,0.00013635182068463507,0.0004570191210042221,0.0005983124719932675,0.9266712797369412,0.015035957098007202,0,0,0,
5300,muon,113,0.3,128,4,512,0.0001685374736553058,1.0,1.0821044445037842,0.7161874771118164,102.16260006136203,11.032621111134228,3.6522305011749268,0.0001341438096445546,0.0004467022827548294,0.0005894972709938884,0.9218778141375091,0.01486173365265131,0,0,0,
5400,muon,113,0.3,128,4,512,0.0001589564053574577,1.0,0.9992573261260986,0.7403512597084045,102.03456956332892,11.054528902911107,3.6434192657470703,0.0001273383439425478,0.00041985559586171496,0.000559902866370976,0.9244094125028509,0.014803119003772736,0,0,0,
5500,muon,113,0.3,128,4,512,0.00015062224701978266,1.0,0.9213731288909912,0.7664168477058411,102.00419227516595,11.065735907217212,3.6345770359039307,0.00012131091256621273,0.00039789757789152817,0.0005337119800969958,0.9229535695283991,0.015245149843394756,0,0,0,
5600,muon,113,0.3,128,4,512,0.00014102541899774224,1.0,0.8517749309539795,0.7849871516227722,101.9708042713111,11.074039031296612,3.626051187515259,0.00011429443462907682,0.0003736792427977095,0.0005032655317336321,0.9224836031973477,0.0155857615172863,0,0,0,
5700,muon,113,0.3,128,4,512,0.00013257391401566565,1.0,0.7830772995948792,0.8041167855262756,101.95462174035198,11.076483542422514,3.6175456047058105,0.00010804506143116869,0.0003536315964859281,0.00047649003681726754,0.9232840300967539,0.015328064560890198,0,0,0,
5800,muon,113,0.3,128,4,512,0.00012465543113648891,1.0,0.7214552760124207,0.8225752115249634,101.9394414020316,11.075093218928991,3.609224557876587,0.00010224712707287631,0.0003343900820578875,0.0004510527942329645,0.9226424495478522,0.015245173126459122,0,0,0,
5900,muon,113,0.3,128,4,512,0.00011802832887042314,1.0,0.6668726205825806,0.8385725617408752,101.89863240650284,11.06692327538666,3.600959300994873,9.737867299467747e-05,0.0003195012756260279,0.0004294369136914611,0.9211956585247917,0.014641327783465385,0,0,0,
6000,muon,113,0.3,128,4,512,0.00011341763456584886,1.0,0.6162877678871155,0.8536748886108398,101.79518146343325,11.068672766873457,3.594087600708008,9.404430648756392e-05,0.0003080311405381727,0.00041447163675911725,0.9200024119099854,0.014746119268238544,0,0,0,
6100,muon,113,0.3,128,4,512,0.00010886851669056341,1.0,0.5684605836868286,0.8660923838615417,101.6527896932456,11.083680927759273,3.588955879211426,9.078522425791422e-05,0.000296232056946948,0.00039948997437022626,0.9182132166143432,0.014871875755488873,0,0,0,
6200,muon,113,0.3,128,4,512,0.0001028417973429896,1.0,0.5215362906455994,0.8809710144996643,101.55303121454871,11.101733506074412,3.584967613220215,8.628762983567317e-05,0.0002795650259111481,0.0003791624039877206,0.9177789052211502,0.014899354428052902,0,0,0,
6300,muon,113,0.3,128,4,512,9.712296014185995e-05,1.0,0.4789222478866577,0.8907036781311035,101.4616506046746,11.113061443074066,3.5812721252441406,8.199640773594038e-05,0.00026432921587558157,0.0003598797193262726,0.9173368674484753,0.014527111314237118,0,0,0,
6400,muon,113,0.3,128,4,512,9.23767511267215e-05,1.0,0.43942755460739136,0.9045754671096802,101.37029985405964,11.118535218465672,3.5777933597564697,7.847771638545188e-05,0.0002523443753135921,0.0003439639403950423,0.9151247929465446,0.015343510545790195,0,0,0,
6500,muon,113,0.3,128,4,512,8.765816892264411e-05,1.0,0.40438222885131836,0.9134131073951721,101.26434037602847,11.128104204877255,3.575174331665039,7.484309905265399e-05,0.00024004594852705696,0.0003281189710833132,0.9146716927241284,0.015866465866565704,0,0,0,
6600,muon,113,0.3,128,4,512,8.345738024218008e-05,1.0,0.37118807435035706,0.9226982593536377,101.15438586161096,11.135687575854018,3.573016881942749,7.161990479261566e-05,0.00022889538131563538,0.00031389089417643845,0.9134256532962823,0.01572396792471409,0,0,0,
6700,muon,113,0.3,128,4,512,7.912561704870313e-05,1.0,0.34239277243614197,0.9292985796928406,101.03339217150555,11.146264811581027,3.5715854167938232,6.83013731051722e-05,0.0002173443143984111,0.00029901962261646986,0.9121081743257079,0.015512560494244099,0,0,0,
6800,muon,113,0.3,128,4,512,7.520926010329276e-05,1.0,0.3168531656265259,0.9355632662773132,100.91558776366391,11.158255756194905,3.570734977722168,6.526802267111887e-05,0.00020686899349382039,0.00028537982143461704,0.9111853338364218,0.015654949471354485,0,0,0,
