step,train_loss,train_accuracy,test_loss,test_accuracy,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,collapse_detected,unembedding_learning_rate
0,5.186100959777832,0.007571801543235779,5.174230575561523,0.008390200324356556,19.585105107656336,123.10922682798059,6.175757884979248,nan,nan,nan,nan,nan,0,0.00025
100,2.820915699005127,0.2817232310771942,7.530631065368652,0.0,30.002760600677284,115.8597316954858,6.80971622467041,0.19491908908635724,0.018429009339977778,0.1861925572156906,0.300019494466011,0.005155404098331928,0,0.00025
200,0.01652226224541664,1.0,23.450469970703125,0.00022373867977876216,47.43070146625198,110.60956231301581,8.284711837768555,0.14147099945753724,0.023432666637790252,0.02092558704316616,0.29971148388257446,0.00489899143576622,0,0.00025
300,2.2914302633125772e-07,1.0,63.00152587890625,0.0007830853573977947,67.98878317560228,100.31578856348092,8.344463348388672,5.028172355171505e-06,6.730262264264786e-07,5.540151960303774e-06,0.2977779891977232,0.004974743817001581,0,0.00025
400,4.046267765289713e-10,1.0,129.86351013183594,0.0016780400183051825,88.17780402614727,90.76507679722212,8.344470977783203,1.1791338151539783e-07,2.514482784085594e-08,1.6155628657088528e-07,0.2857815131259765,0.004859681241214275,0,0.00025
500,0.005596109665930271,0.9986945390701294,108.33822631835938,0.0015661707147955894,86.28573037388297,82.17163973783875,8.358452796936035,0.46731715941220653,0.20626574383208943,0.2825046479701996,0.29953982898119935,0.005267235916107893,0,0.00025
600,5.639980736305006e-05,1.0,81.17961883544922,0.0011186933843418956,82.65849680264067,74.36233882563394,8.363027572631836,0.019467932852757892,0.009475672723985404,0.010087171569466591,0.2971521189633635,0.004591494798660278,0,0.00025
700,1.6244204914528382e-07,1.0,84.30414581298828,0.0019017787417396903,86.85498754149764,67.2829895649928,8.363285064697266,2.869923162883865e-06,8.309601159816777e-07,3.780974338951637e-06,0.30553959640372774,0.005192300770431757,0,0.00025
800,0.0006389035261236131,1.0,84.2761459350586,0.0016780400183051825,90.64320088760577,60.88092299477151,8.363829612731934,0.028702580270388866,0.014633990130711526,0.02873316965997219,0.3001195891360535,0.005141451954841614,0,0.00025
900,6.573998234671308e-06,1.0,70.34555053710938,0.002237386768683791,88.1187383826297,55.09237996405066,8.366401672363281,0.00012092697187274999,6.202522074863499e-05,0.00012733905168715864,0.3018316551290906,0.004789493978023529,0,0.00025
1000,1.593606846483908e-08,1.0,79.05567932128906,0.002349256072193384,94.50314488618284,49.84732102700856,8.366450309753418,3.6730994720178214e-07,1.686158632106819e-07,5.448453634926409e-07,0.3004932221443065,0.00544330757111311,0,0.00025
1100,9.56786507799734e-08,1.0,62.03635787963867,0.00257299467921257,95.05845865575704,45.10153913949875,8.366454124450684,1.996045649695261e-06,9.957393528560666e-07,2.443957328068791e-06,0.25854359481225436,0.0038681584410369396,0,0.00025
1200,3.504690582190051e-08,1.0,35.59611892700195,0.003244210733100772,89.3019092041397,40.807571257705675,8.366455078125,3.535006166893409e-07,2.184020595664988e-07,1.0902120948230731e-06,0.29652966005796,0.0054272254928946495,0,0.00025
1300,2.0791590671365157e-08,1.0,23.487831115722656,0.005369727965444326,87.35051288543704,36.92241968566293,8.366456031799316,2.9377814015280326e-07,1.6667098142322696e-07,2.7270989448879845e-06,0.29694895977231034,0.004539585206657648,0,0.00025
1400,1.9982335786039584e-08,1.0,28.211397171020508,0.005257858894765377,95.26420056183025,33.40715572190737,8.366458892822266,5.173199550964215e-07,2.3382692688769923e-07,7.027346327959094e-06,0.29423712496132337,0.004756319802254438,0,0.00025
1500,1.515794068041032e-08,1.0,38.16242980957031,0.004362904001027346,105.23389529617884,30.226571454554378,8.366467475891113,7.782648096913007e-07,4.828816651621912e-07,1.2395592420944013e-05,0.28096964360629056,0.0041306596249341965,0,0.00025
1600,1.4473188869601472e-08,1.0,52.93840026855469,0.003467949340119958,115.2283567769593,27.34880321774951,8.36648178100586,1.1993335608466783e-06,8.605572771705577e-07,1.8990640455740504e-05,0.27767471558836626,0.004222674760967493,0,0.00025
1700,0.0034752569627016783,1.0,56.458255767822266,0.004922250751405954,114.37822392603026,26.99045680421095,8.404333114624023,0.11745316421288222,0.03644728079442571,0.4225391149520874,0.3027655331875162,0.005202638916671276,0,0.00025
1800,1.3403454431681894e-05,1.0,60.660282135009766,0.005929074715822935,113.99134936889105,24.45007988373716,8.405488014221191,0.00021985552584752368,0.00014960478228587344,0.00044877835898660123,0.302972369562146,0.005079137161374092,0,0.00025
1900,3.9653421879393136e-08,1.0,72.03099822998047,0.006152813322842121,119.74981066168279,22.122409780145702,8.405489921569824,7.557226340603018e-07,6.121899098457304e-07,1.3450581946017337e-06,0.30128231618337653,0.004981819540262222,0,0.00025
2000,1.86750814812342e-09,1.0,61.26856231689453,0.007159637752920389,123.73543543938548,20.016209963731804,8.405489921569824,9.434774271462555e-08,1.1189275745941484e-07,4.3086683376714063e-07,0.2997577996806196,0.005075679160654545,0,0.00025
2100,3.6914411083444065e-08,1.0,21.676084518432617,0.01342432014644146,109.23127182302547,18.110531648421762,8.405489921569824,1.7736374555263352e-07,2.9173250152288927e-07,1.7501301954325754e-06,0.2891735629479577,0.005475872196257114,0,0.00025
2200,1.718107434101057e-08,1.0,17.509756088256836,0.01991274207830429,108.834088737377,16.38628960348587,8.405489921569824,1.3844290062332842e-07,1.9532832555028806e-07,2.745368874457199e-06,0.30268737988926075,0.004987846128642559,0,0.00025
2300,1.3103682583448517e-08,1.0,18.830724716186523,0.019689003005623817,115.24362090049699,14.826204530862883,8.405489921569824,1.4157009104587115e-07,1.2680748588763694e-07,4.060774699610192e-06,0.29557364679569975,0.004869565367698669,0,0.00025
2400,1.0302419362062665e-08,1.0,21.767864227294922,0.019017787650227547,123.29406388938844,13.414650503663566,8.405489921569824,1.665346789166723e-07,2.497961598621889e-07,5.4888942031539045e-06,0.2862801860057091,0.004430471453815699,0,0.00025
2500,9.555416902173874e-09,1.0,25.25070571899414,0.019465263932943344,131.79775525472732,12.137486346257816,8.405489921569824,2.072690258437432e-07,3.995166530049285e-07,7.272873517649714e-06,0.2830276748453368,0.004352721385657787,0,0.00025
2600,9.462040928553961e-09,1.0,27.906700134277344,0.01789909414947033,139.9575475742897,10.981917310222354,8.405489921569824,2.5209985441026013e-07,5.802626303518698e-07,8.548473488190211e-06,0.27999987286761185,0.004717635922133923,0,0.00025
2700,9.897792807578298e-09,1.0,29.495559692382812,0.019017787650227547,147.55188017368485,9.936366700150932,8.405488967895508,2.386592760986296e-07,7.616267871454749e-07,9.320391654910054e-06,0.27728179767865374,0.004421513993293047,0,0.00025
2800,1.0582546394743986e-08,1.0,30.982572555541992,0.0185703095048666,154.7444745971392,8.990360668772976,8.405488967895508,2.7403530169904013e-07,9.459361653541869e-07,1.0187539373873733e-05,0.2780953071447424,0.00423954613506794,0,0.00025
2900,1.0613670831105537e-08,1.0,31.91122055053711,0.020136481150984764,161.5813628629302,8.13442184965824,8.405488967895508,2.880268919366614e-07,1.1085712547179432e-06,1.0877519343921449e-05,0.2785957081664542,0.004480837378650904,0,0.00025
3000,1.1298424418271225e-08,1.0,31.805326461791992,0.022821344435214996,168.0507103158647,7.359977840263042,8.405488967895508,3.2076288679798445e-07,1.4871646017614987e-06,1.165474623121554e-05,0.278490096907585,0.004717584233731031,0,0.00025
3100,1.2201053500859871e-08,1.0,30.87635612487793,0.027967333793640137,174.157234685006,6.659269988878923,8.405488967895508,2.8556512685614245e-07,1.7370423388391324e-06,1.1750226803997066e-05,0.2794482425009037,0.004412725102156401,0,0.00025
3200,1.2201053500859871e-08,1.0,29.55832862854004,0.03501510247588158,179.9081519661562,6.02528036364417,8.405489921569824,2.8971913153199985e-07,1.921362875441608e-06,1.1819734936580062e-05,0.2817100640027886,0.004603258334100246,0,0.00025
3300,1.4006311666037163e-08,1.0,28.030263900756836,0.046537645161151886,185.351180951568,5.451656122528571,8.405488967895508,2.81399958172415e-07,2.128592503129551e-06,1.1898912816832308e-05,0.2815517032341481,0.005059415474534035,0,0.00025
3400,1.6060571539355806e-08,1.0,26.319543838500977,0.06063317880034447,190.40980256400698,4.932650042621855,8.405488967895508,2.8793486181721576e-07,2.300437507347845e-06,1.1788560186687391e-05,0.28231324836916827,0.004472749307751656,0,0.00025
3500,1.6558573179281666e-08,1.0,24.381479263305664,0.08837677538394928,195.07234602569366,4.463062468735243,8.405488967895508,2.6306925336895816e-07,2.4953021509825036e-06,1.131124281528173e-05,0.2821237425798717,0.00445136334747076,0,0.00025
3600,1.6278447034778765e-08,1.0,22.58081817626953,0.11925271153450012,199.35560478633175,4.03818667887275,8.405489921569824,2.468232513959799e-07,2.5473241829678995e-06,1.0957000085909385e-05,0.2825974162787324,0.004554476123303175,0,0.00025
3700,2.0200213057819383e-08,1.0,20.686138153076172,0.15180668234825134,203.27777373867048,3.6537663150335837,8.405489921569824,2.3031533446257126e-07,2.6410960662448174e-06,1.062284081854159e-05,0.28249131398863475,0.004452537279576063,0,0.00025
3800,1.9826712716053407e-08,1.0,18.72553253173828,0.20539210736751556,206.89244460902114,3.305950291862367,8.405489921569824,2.125960305325031e-07,2.766662234845331e-06,9.942799806594849e-06,0.28471762971296116,0.004734945949167013,0,0.00025
3900,2.03558379041624e-08,1.0,17.16969108581543,0.25271284580230713,210.2142529567105,2.991254628283214,8.405489921569824,1.8320412585470122e-07,2.575695554017313e-06,9.762586159922648e-06,0.284639905416534,0.0045222626067698,0,0.00025
4000,2.2285597367499577e-08,1.0,15.888339042663574,0.27944961190223694,213.14417957752036,2.7065281783909834,8.405489921569824,1.997759896872819e-07,2.6129769965280744e-06,9.69855591392843e-06,0.2835717779326884,0.004565071314573288,0,0.00025
4100,2.135184296037096e-08,1.0,14.660160064697266,0.2964537441730499,215.65095048240346,2.4489189897445147,8.405488967895508,1.8254269437069314e-07,2.5360080003458424e-06,9.543371561449021e-06,0.28263898714427066,0.00466646533459425,0,0.00025
4200,2.437098167717977e-08,1.0,13.462156295776367,0.312339186668396,217.82089836579354,2.215846036235828,8.405489921569824,1.6813518572392536e-07,2.801736523051481e-06,9.521453648630995e-06,0.2802915957863847,0.004775342531502247,0,0.00025
4300,2.5460360930651404e-08,1.0,12.256925582885742,0.32923147082328796,219.75645775148234,2.0049737452847265,8.405488967895508,1.5264525252848634e-07,2.9546039688778087e-06,9.383511496707797e-06,0.2787073386842154,0.004490140359848738,0,0.00025
4400,2.437098167717977e-08,1.0,11.108699798583984,0.3486967086791992,221.50206724696292,1.8141890698083023,8.405488967895508,1.346542954856842e-07,3.0412898472250326e-06,9.010365829453804e-06,0.27907002106905693,0.004319272469729185,0,0.00025
4500,2.5740487075154306e-08,1.0,10.075148582458496,0.369728147983551,223.24473697165536,1.641581401436537,8.405488967895508,1.2973715430926522e-07,3.0860723998863454e-06,8.649964911455754e-06,0.2799020978341318,0.004546411335468292,0,0.00025
4600,2.732786974490864e-08,1.0,9.186380386352539,0.39366820454597473,225.12805898186863,1.4854277850199447,8.405488967895508,1.2997432627307904e-07,3.296296491196661e-06,8.40382017486263e-06,0.281938631375932,0.0046261996030807495,0,0.00025
4700,2.9724505523631706e-08,1.0,8.327679634094238,0.4201812148094177,226.98870943820341,1.344167107645282,8.405488967895508,1.1805469380640496e-07,3.1155769912552766e-06,8.183023055607919e-06,0.28138885154112325,0.004427062347531319,0,0.00025
4800,3.233901679777773e-08,1.0,7.489242076873779,0.44624677300453186,228.71102041419874,1.2163818131717405,8.405488967895508,1.2282391784281322e-07,3.783523934189029e-06,7.851818736526184e-06,0.28020573868235865,0.004831288475543261,0,0.00025
4900,3.2899265534069855e-08,1.0,6.708015441894531,0.4749971926212311,230.37565883906467,1.1007940703930077,8.405488967895508,1.0604043263313763e-07,2.9869016611056323e-06,7.381233899650397e-06,0.2816196068176943,0.004872569814324379,0,0.00025
5000,3.750578869698984e-08,1.0,5.963716983795166,0.5046426057815552,232.0340275476043,0.9962516351170972,8.405488967895508,8.997192995784835e-08,3.2818884113781336e-06,6.778640909033129e-06,0.2815354428403259,0.004768292885273695,0,0.00025
5100,4.301493561342795e-08,1.0,5.2690911293029785,0.5321624279022217,233.81650904574943,0.9017170021153113,8.405488967895508,8.892039526227528e-08,3.0515236361946512e-06,5.771729320258601e-06,0.28658899216101613,0.005070995539426804,0,0.00025
5200,5.0018094555071e-08,1.0,4.65786075592041,0.5537531971931458,235.92740606648542,0.8162805576243681,8.405488967895508,1.3946229261528945e-07,4.266200764024047e-06,4.9857985686685424e-06,0.2869615260336481,0.005091475788503885,0,0.00025
5300,6.352640724571756e-08,1.0,4.043907642364502,0.5785881876945496,237.66697333917878,0.7391098551302963,8.405488967895508,1.629019443183946e-07,5.438827738616707e-06,3.943552201235434e-06,0.2865242756065636,0.0048510232008993626,0,0.00025
5400,7.986709960050575e-08,1.0,3.496905565261841,0.5934668183326721,239.1343962921642,0.6695018567386609,8.405489921569824,1.606994890507281e-07,7.0847505712787525e-06,3.1683791803516215e-06,0.2824832763767778,0.004920969717204571,0,0.00025
5500,1.0566984087745368e-07,1.0,2.9872376918792725,0.6143863797187805,240.06695303065385,0.606860482712585,8.405489921569824,1.2568559018860946e-07,6.57518339416357e-06,2.6668240025173873e-06,0.27750245413419317,0.004585597664117813,0,0.00025
