step,regime,num_layers,modulus,train_fraction,d_model,num_heads,d_mlp,parameter_count,hidden_matrix_count,initialization_scheme,train_loss,train_accuracy,test_loss,test_accuracy,elapsed_seconds,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step,hidden_applied_update_norm,hidden_gradient_component_norm,hidden_decay_component_norm,hidden_applied_update_rms,hidden_parameter_norm,auxiliary_applied_update_norm,auxiliary_gradient_component_norm,auxiliary_decay_component_norm,auxiliary_applied_update_rms,auxiliary_parameter_norm,readout_applied_update_norm,readout_gradient_component_norm,readout_decay_component_norm,readout_applied_update_rms,readout_parameter_norm
0,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,5.1861012511754465,0.007571801543235779,5.174230371714676,0.008390200324356556,0.33171383396256715,nan,nan,6.175756931304932,nan,nan,nan,nan,nan,0,0,0,,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan
100,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,4.658373394711147,0.027415143325924873,4.775941915934771,0.003020472126081586,17.02479479194153,14.64307717444602,112.79482715018973,6.07748556137085,0.04804873745241235,0.0018594599778671748,0.02712356485426426,0.01951121185428637,0.0005588706699199975,0,0,0,,0.044980632680643756,0.019511226004823655,0.04405120209781337,0.00010144367338472404,14.64307717444602,0.1310089995216844,0.11772498769589454,0.11286584404709585,0.0010705407772713727,112.79482715018973,0.008850284299012624,0.009158537228616601,0.0015191029131230783,7.358901930305148e-05,6.077485606022636
200,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,4.545310196272066,0.0355091392993927,4.866889969509527,0.0014543014112859964,33.50283887493424,11.43125698619335,107.9471239199903,6.439289093017578,0.07113438895929636,0.002877429492720237,0.03908072039484978,0.02762458676057052,0.0007955277105793357,0,0,0,,0.03499223088095294,0.027624588836859334,0.03436537003098484,7.891708561978015e-05,11.43125698619335,0.14362517499570987,0.1596425278480555,0.10797852912201128,0.0011736339261959985,107.9471239199903,0.014711062983773608,0.015446364892997489,0.0016082962021401162,0.0001223206691791922,6.439288468996576
300,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,4.325241803318751,0.052219320088624954,5.151703291006114,0.0008949547191150486,50.314227083930746,9.854365736220268,106.04341019769721,7.286881446838379,0.08739322210790541,0.0042622598108510755,0.04725344106554985,0.034893994461290934,0.0012266742996871471,0,0,0,,0.029407946955578333,0.034894004506930164,0.02958947874262487,6.63229925434273e-05,9.854365736220268,0.15599443444342978,0.18008577285936322,0.10605815490713938,0.0012747093994213443,106.04341019769721,0.018071703130542273,0.019145619872837024,0.0018191976111241578,0.00015026397634038246,7.286881436175912
400,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,4.076686546259938,0.0738903358578682,5.5548931468395955,0.0006712159956805408,66.77798449993134,9.381781114373842,104.51948988014496,8.335397720336914,0.09053133452909926,0.005033028134614699,0.04703140631318092,0.03615098773568833,0.0011862097308039665,0,0,0,,0.024257262851708424,0.03615099269636676,0.028149187341686262,5.470678608295847e-05,9.381781114373842,0.14722893837419737,0.1730480436455182,0.10453209929544989,0.0012030820989352275,104.51948988014496,0.01819051463461529,0.019514115287995907,0.0020811091126690822,0.00015125187930160476,8.33539876351577
500,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,3.8357598985559043,0.09190600365400314,5.959796752869196,0.0005593466921709478,83.26272229198366,9.49944000443195,103.58737128734525,9.472272872924805,0.09428472273556608,0.005579483426629305,0.04675479605793953,0.03772868042273643,0.0011863603722304106,0,0,0,,0.02095313964860274,0.03772868468683888,0.02848915459083289,4.7255081314408644e-05,9.49944000443195,0.1350801309756746,0.16605310084869304,0.10359406345465226,0.001103808050871208,103.58737128734525,0.01837115583688157,0.019957202950729065,0.002365148127778809,0.00015275388855592702,9.472271891653316
600,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,3.6067468684941772,0.11436031013727188,6.380021654578974,0.00022373867977876216,99.76351704192348,9.894285394087671,103.06414323156834,10.65052318572998,0.0969414028494177,0.005958069632365695,0.04539864510297775,0.03869928293413612,0.0010225384030491114,0,0,0,,0.018591556344438133,0.03869928458052208,0.029669068661650734,4.1929062734825985e-05,9.894285394087671,0.12718611122157727,0.1613917214405354,0.10306771277322874,0.0010393020240012896,103.06414323156834,0.018200582210525507,0.02003691137067344,0.002659660514617875,0.00015133558995009485,10.65052146287476
700,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,3.379527757142301,0.15091383457183838,6.801414039711671,0.00022373867977876216,116.67813666700386,10.420680471761958,102.93927392263853,11.85400676727295,0.10817743685120135,0.008778395710838537,0.04527894780039787,0.04070157213866385,0.00103098270483315,0,0,0,,0.01780528675420264,0.04070158630454179,0.03124455591532771,4.0155808986474114e-05,10.420680471761958,0.12171412540146434,0.15976935015365648,0.10293864069538525,0.0009945876610608108,102.93927392263853,0.01854976830597444,0.02060934676720841,0.0029604640758842033,0.00015423902914483525,11.854005757430828
800,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,3.1540559210104977,0.17049607634544373,7.272234450992793,0.00022373867977876216,132.94770516699646,11.024809700634446,103.12043955883921,13.072332382202148,0.1693930917435241,0.024658694597597158,0.04414573311805725,0.042406787051483194,0.001010713167488575,0,0,0,,0.01751723634926127,0.042406793416789476,0.033056297546479936,3.950617625665739e-05,11.024809700634446,0.11141859801515318,0.15329770780422483,0.10311818422270268,0.0009104577010519493,103.12043955883921,0.018413780970276343,0.020713087650760163,0.0032650457226525847,0.00015310831126803503,13.072334634290224
900,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,2.9446891510569966,0.20861618220806122,7.7752228742489775,0.00022373867977876216,149.7569876249181,11.617829801753068,103.19517601046326,14.281220436096191,0.37960392475293087,0.07193810942830182,0.04402998834848404,0.04557784201803341,0.0014545845333486795,0,0,0,,0.021321218125690225,0.04557785222010742,0.034835814839733185,4.808519931374211e-05,11.617829801753068,0.09612632301593947,0.14056770153501214,0.10319576284078011,0.0007854967897887797,103.19517601046326,0.018135309469242862,0.020675908713714643,0.0035672936249099216,0.00015079285517955788,14.281217821382121
