step,regime,num_layers,modulus,train_fraction,d_model,num_heads,d_mlp,parameter_count,hidden_matrix_count,initialization_scheme,train_loss,train_accuracy,test_loss,test_accuracy,elapsed_seconds,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step,hidden_applied_update_norm,hidden_gradient_component_norm,hidden_decay_component_norm,hidden_applied_update_rms,hidden_parameter_norm,auxiliary_applied_update_norm,auxiliary_gradient_component_norm,auxiliary_decay_component_norm,auxiliary_applied_update_rms,auxiliary_parameter_norm,readout_applied_update_norm,readout_gradient_component_norm,readout_decay_component_norm,readout_applied_update_rms,readout_parameter_norm
0,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,5.186100959777832,0.007571801543235779,5.174230575561523,0.008390200324356556,1.4414505410240963,nan,nan,6.175757884979248,nan,nan,nan,nan,nan,0,0,0,,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan
100,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,4.658374786376953,0.027415143325924873,4.775938034057617,0.003020472126081586,8.718936625053175,14.643038262765666,112.79492808092591,6.0774922370910645,0.048065280874988243,0.0018601039033130046,0.027121005579829216,0.01951278195187554,0.0005586404004134238,0,0,0,,0.044981922180216405,0.019512730158971186,0.04405108857928204,0.00010144658156021384,14.643038262765666,0.13100878693671755,0.11772486763328652,0.11286594973399217,0.001070539040132119,112.79492808092591,0.008849962825405781,0.009158241267774671,0.001519104702350199,7.35863462897719e-05,6.077492335325278
200,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,4.545324802398682,0.0355091392993927,4.866880893707275,0.0014543014112859964,14.023984499974176,11.431180865546436,107.94682557110657,6.439253807067871,0.0711252774075152,0.002875738312775259,0.03907317668199539,0.027622174700553476,0.0007946511614136398,0,0,0,,0.034991240833444355,0.027622084033813502,0.03436514573656268,7.891485279089111e-05,11.431180865546436,0.1436079447107682,0.159622858738673,0.10797824103424081,0.0011734931288255783,107.94682557110657,0.014709918818691775,0.015445216956081876,0.0016082878300133444,0.0001223111555880523,6.439254077337667
300,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,4.325255393981934,0.052219320088624954,5.151649475097656,0.0008949547191150486,18.649344166042283,9.854229147930068,106.04334603549306,7.286837577819824,0.0874029067786547,0.004262838773780503,0.0472557358443737,0.034897463569056604,0.001226578839123249,0,0,0,,0.029411746367039467,0.034897342718237925,0.029589068131935552,6.633156125916889e-05,9.854229147930068,0.15597958951751564,0.18007719482816603,0.10605808846674125,0.0012745880940256487,106.04334603549306,0.018072643524313935,0.019146561067072104,0.0018191865660875807,0.00015027179559828167,7.286837419124562
400,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,4.076680660247803,0.0738903358578682,5.554903507232666,0.0006712159956805408,23.30965395795647,9.381756649275918,104.51980154982894,8.335359573364258,0.09053914676989983,0.005034699666214494,0.047035470604896545,0.03615260927806096,0.0011859985534101725,0,0,0,,0.02425779593666981,0.03615246682034045,0.02814910960415346,5.470798833587237e-05,9.381756649275918,0.14722496152117182,0.17304896656379143,0.10453240948198918,0.0012030496020583364,104.51980154982894,0.018192492432140918,0.01951602625601383,0.0020810993877204685,0.00015126832444340742,8.335359962713536
500,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,3.8357019424438477,0.09216710180044174,5.959952354431152,0.0005593466921709478,28.006528500001878,9.499655943211744,103.58863234731363,9.472302436828613,0.09428948656089113,0.005576952922348837,0.046755753457546234,0.037730508662899544,0.001185741974040866,0,0,0,,0.0209533392462613,0.03773034641266906,0.028489798755080748,4.725553146191607e-05,9.499655943211744,0.13507194131791123,0.1660482263285332,0.10359532937405981,0.0011037411290366807,103.58863234731363,0.018371236677504014,0.0199573440685907,0.002365155854131852,0.0001527545607357039,9.472303070091252
600,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,3.6067233085632324,0.11383812129497528,6.380178451538086,0.00022373867977876216,32.81383345799986,9.894248768614066,103.06463757779856,10.650501251220703,0.09694211021016896,0.005958418499899296,0.04539818689227104,0.03869568942643716,0.0010211145272478461,0,0,0,,0.018590715635487486,0.03869550004502177,0.029668973212914732,4.192716670537689e-05,9.894248768614066,0.12725128639338337,0.16143799486142238,0.10306822315501889,0.0010398346032846888,103.06463757779856,0.01820093086939468,0.020037234724448266,0.0026596555880474986,0.0001513384890054683,10.650501479399706
700,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,3.3795933723449707,0.14986945688724518,6.801730155944824,0.00022373867977876216,37.47950466605835,10.420221829588321,102.93944080332082,11.853936195373535,0.10643124712972589,0.008187229696439513,0.04527781531214714,0.040687199873163306,0.0010312576778233051,0,0,0,,0.017784137983569388,0.040686998000398954,0.03124319542388739,4.010811270359076e-05,10.420221829588321,0.12170921561727202,0.15976319395360328,0.1029388139322141,0.0009945475407316373,102.93944080332082,0.018550091883330667,0.02060940533137602,0.002960447173689649,0.00015424171965053074,11.853936397056835
800,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,3.1542251110076904,0.17075717449188232,7.272639751434326,0.00022373867977876216,42.134512040996924,11.02372861352073,103.12089117939117,13.072274208068848,0.1521158650533493,0.020700512844757452,0.04408576712012291,0.04230418538957808,0.0010102996602654457,0,0,0,,0.0172799078703804,0.04230397406367356,0.03305306451385273,3.897093539271898e-05,11.02372861352073,0.11169727554778414,0.15357930704017025,0.10311852181584734,0.0009127349160790088,103.12089117939117,0.018411241066938717,0.02071129658989225,0.003265030175835064,0.00015308719228592941,13.072274817203178
900,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,2.944628953933716,0.20913837850093842,7.7760515213012695,0.00022373867977876216,46.78585879097227,11.616625979410193,103.21647036810077,14.28150749206543,0.37932196023627285,0.07149809896273489,0.04409042373299599,0.045575469194798386,0.0014605919132009149,0,0,0,,0.02132104217958204,0.045575253170934235,0.03483220001019984,4.808480250697288e-05,11.616625979410193,0.09651323724573284,0.14103322306282284,0.10321681018833555,0.0007886584615961565,103.21647036810077,0.018156997270520715,0.020695781417501016,0.0035673650921403148,0.00015097318656473775,14.281507493917724
1000,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,2.743730068206787,0.2477806806564331,8.315032005310059,0.0,51.42404808301944,12.217053093117825,102.9858267208216,15.482669830322266,0.48182961095405435,0.10094735242281988,0.04386259615421295,0.04881262219866359,0.0019428584491834044,0,0,0,,0.024285626535853637,0.04881240204151874,0.036632628611061195,5.477075397622585e-05,12.217053093117825,0.08632275197301892,0.13217670248289914,0.10298864695956622,0.0007053868538100216,102.9858267208216,0.017693732166879236,0.02050887187424087,0.0038676741322756,0.00014712119452668467,15.482670602620784
1100,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,2.5350594520568848,0.2919059991836548,8.929964065551758,0.0,56.128971291007474,12.875176956293991,102.58818652161635,16.68148422241211,0.4447526172467573,0.09972198708630126,0.04284406825900078,0.05118420180967399,0.0018056586850434542,0,0,0,,0.024125862935103024,0.05118396180400561,0.03860419710257663,5.4410443203178695e-05,12.875176956293991,0.08012613664072477,0.12738508488570235,0.10259166454665039,0.0006547511767305406,102.58818652161635,0.017486387521456915,0.02057889415672836,0.004167360349168793,0.0001453971494453227,16.68148500999452
1200,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,2.282047986984253,0.3647519648075104,9.640928268432617,0.0,60.9085325000342,13.682820116672398,102.2886286287627,17.900341033935547,0.44966644691971785,0.10452495129685208,0.045107871294021606,0.05736283693805152,0.001854347763583064,0,0,0,,0.02838927127610828,0.05736258467183779,0.04101905664708387,6.402559927093135e-05,13.682820116672398,0.09261397406150822,0.13751051318274227,0.10228923455892355,0.000756795610530459,102.2886286287627,0.018631086107064716,0.021879853860665262,0.004471964454989587,0.00015491517660314703,17.900341077570545
1300,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,1.8530619144439697,0.493733674287796,10.453670501708984,0.0003356079978402704,65.5403036660282,14.890834298519241,102.16597162189713,19.172027587890625,1.7349446791351133,0.34363245724135666,0.1868518739938736,0.0920863846760649,0.003817993914708495,0,0,0,,0.07213362191333951,0.09208618739071067,0.04462881517348815,0.00016268111730191116,14.890834298519241,0.10895908561246397,0.14324579544665397,0.10217469444743572,0.000890359781604456,102.16597162189713,0.02309240656385581,0.025877083183348706,0.004790045119567565,0.00019201050440504884,19.172027811126945
1400,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.876500129699707,0.8289816975593567,10.268181800842285,0.003244210733100772,70.24369295802899,16.803763803574146,100.78033234880793,20.37143325805664,0.9331504472769139,0.19732514342105043,0.09995974600315094,0.088821035755833,0.00342293712310493,0,0,0,,0.05840346039067228,0.0888207584180836,0.05035314877101847,0.00013171583428968863,16.803763803574146,0.12248394006125309,0.14166306204077195,0.10080554191115858,0.0010008782058879143,100.78033234880793,0.0285843755254123,0.030836744249352708,0.005090203943973771,0.00023767554704880083,20.37143343736441
1500,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.3597973585128784,0.987728476524353,9.030369758605957,0.011746279895305634,74.86545866599772,17.892491458998983,96.90392606987783,21.153484344482422,0.1484365076552863,0.014352452680999257,0.04781559109687805,0.06329990272934312,0.0020653263200074434,0,0,0,,0.02880367177907083,0.06329957331034831,0.05366911126535284,6.496018615350067e-05,17.892491458998983,0.0788825106090158,0.07644490772792027,0.09695434202591045,0.0006445888796098741,96.90392606987783,0.015489518943234365,0.018136133171678944,0.005286926825390757,0.0001287934341991503,21.15348385373886
1600,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.2419767528772354,0.9994778037071228,7.320908546447754,0.026736771687865257,79.43092737498228,17.589390053553725,91.89881843579394,21.621232986450195,0.12224477006930862,0.011862435724685991,0.03648063912987709,0.05091689990917247,0.0015126430662348866,0,0,0,,0.020968272956777133,0.050916556826024334,0.05278614161284559,4.7289211078268864e-05,17.589390053553725,0.06711855752327042,0.06350962479603753,0.09194734602104725,0.0005484596707297367,91.89881843579394,0.0111754191625216,0.014040778254364913,0.005404312393274247,9.292222810991989e-05,21.621233132454975
1700,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.2070113569498062,0.9997389316558838,5.56817626953125,0.054032888263463974,84.1639135000296,16.91813414023146,87.26985095659514,21.979116439819336,0.11375104284418804,0.011497891125241985,0.03214260935783386,0.04711994724213769,0.0015393842477351427,0,0,0,,0.019265277002691827,0.047119620548037686,0.050775914530878284,4.344848774811263e-05,16.91813414023146,0.06300107350756233,0.06242298690105522,0.08731391729723201,0.0005148136269108233,87.26985095659514,0.010168248548809015,0.01299960173686859,0.0054939731359696905,8.454772902832198e-05,21.979116064317736
1800,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.1977447271347046,0.9997389316558838,4.2961931228637695,0.09397023916244507,88.81740012497175,16.211557311193197,83.12993167789496,22.281002044677734,0.10871719683031932,0.011736717274164596,0.029006730765104294,0.04475344403567433,0.0014833045424893498,0,0,0,,0.016775115719560894,0.04475312503562544,0.04865456191966921,3.783249053271721e-05,16.211557311193197,0.05667369138168285,0.06097279496547921,0.08316847016176213,0.0004631093882412437,83.12993167789496,0.009261164234532123,0.012208080246675907,0.005569526593556787,7.700543514740513e-05,22.281002091450436
