step,regime,num_layers,modulus,train_fraction,d_model,num_heads,d_mlp,parameter_count,hidden_matrix_count,initialization_scheme,train_loss,train_accuracy,test_loss,test_accuracy,elapsed_seconds,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step,hidden_applied_update_norm,hidden_gradient_component_norm,hidden_decay_component_norm,hidden_applied_update_rms,hidden_parameter_norm,auxiliary_applied_update_norm,auxiliary_gradient_component_norm,auxiliary_decay_component_norm,auxiliary_applied_update_rms,auxiliary_parameter_norm,readout_applied_update_norm,readout_gradient_component_norm,readout_decay_component_norm,readout_applied_update_rms,readout_parameter_norm
0,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,5.1861012511754465,0.007571801543235779,5.174230371714676,0.008390200324356556,0.3517673750175163,nan,nan,6.175756931304932,nan,nan,nan,nan,nan,0,0,0,,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan
100,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,4.365905673135889,0.051436033099889755,5.058666833115354,0.0007830853573977947,17.025443541933782,15.946149976551517,114.56735105753116,6.294575214385986,0.08090337846335852,0.004784911808340973,0.07341039925813675,0.09614084842044221,0.0028429972007870674,0,0,0,,0.08713575755679376,0.09614089664917388,0.047857797368099864,0.0001965150510994408,15.946149976551517,0.1550304876395161,0.1628959095237086,0.11461365345456831,0.001266832502685413,114.56735105753116,0.017895467014504774,0.018538921344245753,0.001571970827519208,0.00014879859483321153,6.294576066703441
200,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,3.522396682460768,0.12402088940143585,6.501085922647683,0.0007830853573977947,33.53720079199411,17.283269160234926,109.10061916292472,7.164595603942871,0.4069353076497798,0.06711188781449669,0.09466329962015152,0.12536782541553937,0.007839446887373924,0,0,0,,0.10223961748144586,0.12536786712677309,0.05177410205970238,0.00023057840107327008,17.283269160234926,0.14105880266778875,0.1350435659657084,0.10916273415308375,0.0011526628002677705,109.10061916292472,0.021359805879616726,0.02226426148689779,0.001788608738454655,0.00017760414401149917,7.164595131214321
300,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,2.6343644885318516,0.26657962799072266,8.706991011959285,0.0003356079978402704,50.33271808398422,20.870320010841105,103.06625394907267,8.25710391998291,1.3648008906439868,0.2893730060894236,0.311516672372818,0.22095068055457817,0.018742797896265984,0,0,0,,0.19663077519361502,0.22095085661165223,0.06245815036508039,0.0004434563710507751,20.870320010841105,0.10805109890745641,0.10193360434902779,0.10312400384247497,0.0008829401631318337,103.06625394907267,0.020641087071524598,0.021931253992444937,0.002061198624636132,0.00017162808601660985,8.257104209308025
400,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,1.1155668190233488,0.7258485555648804,13.283961438068017,0.00022373867977876216,66.81124562502373,27.996229832063868,97.51677604451461,9.182655334472656,2.5052542073367383,0.4512421394243409,0.9747818112373352,0.34467108532512286,0.018238436430692673,0,0,0,,0.3132577981827797,0.34467115361952033,0.08373918002957396,0.0007064823207288178,27.996229832063868,0.09640302116401198,0.08608346978475942,0.09757518338032782,0.0007877578302637744,97.51677604451461,0.017640088351955685,0.018498723221060963,0.0022942562464137177,0.00014667515284050528,9.182655633755003
500,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.12457765059879707,1.0,18.162330299700574,0.0005593466921709478,83.3465541669866,32.128068537122964,91.03783887499242,9.707993507385254,0.06898518520327848,0.017651067910752587,0.0544666051864624,0.09085340084428872,0.0016306317411363125,0,0,0,,0.03528943140111159,0.09085342566833018,0.09641974477161415,7.958735437101801e-05,32.128068537122964,0.07280850510975839,0.028924065917732257,0.09110789170378425,0.0005949551094714392,91.03783887499242,0.004746627966759283,0.006529492467230005,0.0024262659674573177,3.946762445916255e-05,9.707994404667854
600,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.27305068908762126,0.9882506728172302,15.422848951853684,0.0006712159956805408,99.9271945420187,31.164196962535932,84.73469573671768,10.025056838989258,0.9501335793012372,0.42751434590195614,0.2330530732870102,0.2974432710375167,0.0363546721637249,0,0,0,,0.2844172991984602,0.29744366464660965,0.09350737295959659,0.0006414390791188178,31.164196962535932,0.1282538526160064,0.11922960127237235,0.08479018186308522,0.0010480270788180601,84.73469573671768,0.015786453733371276,0.016113925644787933,0.0025060532056054917,0.00013126241025289927,10.025056439915572
700,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.12382169712203552,1.0,15.495797476573115,0.0004474773595575243,116.87994795897976,31.332367528607648,79.12780360225393,10.40477466583252,0.066249261179415,0.009001900928034386,0.05206150934100151,0.08947815359120624,0.001797030447050929,0,0,0,,0.02620067497406262,0.08947816645767023,0.09402132494372396,5.908971386415994e-05,31.332367528607648,0.05764962120176186,0.03184608714407887,0.07918197440116298,0.0004710842042612437,79.12780360225393,0.004772298934977116,0.006919572258439071,0.002600311847449058,3.9681075384792235e-05,10.404775159715083
800,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.12511815919013106,1.0,15.135848034088752,0.0005593466921709478,133.30624216701835,30.865706952291585,74.23770398797396,10.787282943725586,0.07613523263938754,0.019442515798244134,0.05069154500961304,0.09191545546687299,0.001709977863356471,0,0,0,,0.019818174525444248,0.09191548060605595,0.09260552640151687,4.4695423426219615e-05,30.865706952291585,0.049081861733152696,0.03636909668303462,0.0742821542550788,0.00040107270952052657,74.23770398797396,0.005073147288835487,0.007374606301010935,0.0026958293295471928,4.218259223683787e-05,10.787283259338277
900,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.12191112403640522,1.0,14.92375727026912,0.0005593466921709478,150.17924462491646,30.634434295200194,70.18846614419178,11.190610885620117,0.08050705686960953,0.02577566979370127,0.04793446138501167,0.09148335977353468,0.0019064313964918256,0,0,0,,0.016536443124613383,0.09148340031556913,0.09190902649852377,3.7294218318103415e-05,30.634434295200194,0.04239516982223233,0.03956394760693406,0.07022522772770018,0.000346432368919299,70.18846614419178,0.0051175056284902785,0.007544935881153197,0.002796628737622486,4.2551426344627144e-05,11.190612457394225
