step,regime,num_layers,modulus,train_fraction,d_model,num_heads,d_mlp,parameter_count,hidden_matrix_count,initialization_scheme,train_loss,train_accuracy,test_loss,test_accuracy,elapsed_seconds,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step,hidden_applied_update_norm,hidden_gradient_component_norm,hidden_decay_component_norm,hidden_applied_update_rms,hidden_parameter_norm,auxiliary_applied_update_norm,auxiliary_gradient_component_norm,auxiliary_decay_component_norm,auxiliary_applied_update_rms,auxiliary_parameter_norm,readout_applied_update_norm,readout_gradient_component_norm,readout_decay_component_norm,readout_applied_update_rms,readout_parameter_norm
0,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,5.186100959777832,0.007571801543235779,5.174230575561523,0.008390200324356556,1.4349202089942992,nan,nan,6.175757884979248,nan,nan,nan,nan,nan,0,0,0,,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan
100,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,4.3659515380859375,0.051436033099889755,5.058523178100586,0.0007830853573977947,8.702814458985813,15.946155546368672,114.56759913574395,6.294594764709473,0.08090457253536043,0.004785606062457448,0.07340352982282639,0.09613831990826995,0.0028425627388060093,0,0,0,,0.0871321511669136,0.09613818288276758,0.04785781252074418,0.00019650691770034661,15.946155546368672,0.15505808230736898,0.16292402230398242,0.11461389997625764,0.0012670579926691516,114.56759913574395,0.017888559050099555,0.018532408652843526,0.0015719751818302947,0.00014874115596359046,6.294594931685748
200,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,3.521009922027588,0.12506526708602905,6.515418529510498,0.0007830853573977947,14.011753124999814,17.285018316893158,109.10181844089206,7.165491580963135,0.45908980206585887,0.07676455860254587,0.09641490876674652,0.12765003008169998,0.008079723455011845,0,0,0,,0.10506125435684296,0.12764981920597782,0.05177954282824873,0.00023694196673563684,17.285018316893158,0.1409918305148098,0.13614218404055106,0.10916248858992006,0.0011521155369425989,109.10181844089206,0.02136702485388758,0.022271765575341513,0.0017888314497175738,0.00017766416888968589,7.165491525277811
300,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,2.690277576446533,0.2527415156364441,8.709735870361328,0.0003356079978402704,18.68675437499769,20.885251754401395,103.0599947521372,8.258326530456543,2.232389107796158,0.6628786739868577,0.40190085768699646,0.3070076779412064,0.02652020938694477,0,0,0,,0.2905614448216603,0.3070075298627591,0.06250778025019128,0.0006552958139996569,20.885251754401395,0.11770678357654278,0.11387872980941771,0.10311580927388515,0.0009618416447740934,103.0599947521372,0.020268357838148277,0.021445885366812068,0.0020618571052514784,0.00016852888854192513,8.25832709637152
400,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,1.1438477039337158,0.7389034032821655,13.536593437194824,0.0007830853573977947,23.437701749964617,28.11914313474584,97.52774623357391,9.201032638549805,2.8852163065113117,1.324867640256199,0.7181898355484009,0.41110766065239984,0.042746372520923615,0,0,0,,0.3837860531361363,0.41110741815496016,0.08408870426862032,0.0008655428948803606,28.11914313474584,0.09973859688390456,0.09392778037478565,0.09758226706577036,0.0008150145060406952,97.52774623357391,0.01670574533347024,0.01778438703742782,0.0022985191207547336,0.00013890620620557426,9.20103236501379
500,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.12515020370483398,1.0,18.18326759338379,0.0006712159956805408,28.080122750019655,32.0901725580385,91.0450674950903,9.71034049987793,0.06908703227524635,0.017075281722480816,0.054694656282663345,0.09066633232245229,0.0018270248547196388,0,0,0,,0.03517214708307609,0.0906657113102424,0.09630615934224497,7.93228460405902e-05,32.0901725580385,0.07283934604308444,0.02892116376072524,0.09111515593095051,0.0005952071263317707,91.0450674950903,0.004725407062201506,0.006499020591164875,0.0024268629860346148,3.9291175262462204e-05,9.710340387917343
600,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.1347390115261078,1.0,16.597782135009766,0.0004474773595575243,32.89113058405928,31.19741523012789,84.73269764771554,10.054211616516113,0.08231744663369783,0.021631099443386426,0.05648082122206688,0.09278456487323405,0.0019370911177247763,0,0,0,,0.02473026481521869,0.09278393736198363,0.09360446847362015,5.577353534452047e-05,31.19741523012789,0.0612446148487275,0.03558053741931436,0.08478974765998816,0.0005004607150899614,84.73269764771554,0.005347914252462405,0.007361793742913833,0.0025125935813656228,4.4467245554973415e-05,10.054211348112766
700,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.12140799313783646,1.0,16.019351959228516,0.0004474773595575243,37.5569073749939,32.996963130046744,79.36110545219081,10.463232040405273,0.06492099826340944,0.008149625125169199,0.05199425667524338,0.10158953348033814,0.001860212069004774,0,0,0,,0.04025391802010811,0.10158889283148716,0.09900752265091277,9.078363439393182e-05,32.996963130046744,0.05883661071881052,0.034093009065378765,0.07941529472902815,0.00048078369578345714,79.36110545219081,0.005389174999746466,0.0073931672324189755,0.0026149104574356495,4.481032356532432e-05,10.46323242540688
800,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.128197580575943,1.0,15.071910858154297,0.00022373867977876216,42.19959433400072,31.815906514645043,74.3523321405507,10.82002067565918,0.07510750319882507,0.020821152482114625,0.05200228840112686,0.09215346456030073,0.001646648277528584,0,0,0,,0.028531706373581465,0.09215284063222173,0.09547025218911834,6.434682951260399e-05,31.815906514645043,0.04964332226026459,0.03690638577556894,0.07439693877878752,0.00040566068737926957,74.3523321405507,0.005220349095055034,0.00747629669941706,0.0027040190357793597,4.3406557048967443e-05,10.820020584961211
900,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.12326668202877045,1.0,14.779304504394531,0.00022373867977876216,46.750907209003344,31.249560055496932,70.285357906909,11.221095085144043,0.08127885606840435,0.028785704128085374,0.04877796769142151,0.09184535288692773,0.0016544231912121177,0,0,0,,0.022435960523265196,0.0918447180872108,0.0937624062584577,5.059924940482413e-05,31.249560055496932,0.0429216761686209,0.03988981574415741,0.07032230443571649,0.00035073471849344286,70.285357906909,0.005184716356956855,0.007584278703471637,0.0028042585300478034,4.311027523889949e-05,11.221095273010409
1000,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.11984379589557648,1.0,14.564366340637207,0.00011186933988938108,51.29543737496715,30.87407259764491,66.94291333161941,11.632344245910645,0.08311742095056335,0.032935942050297276,0.04608753323554993,0.09133394207491057,0.0016583186807110906,0,0,0,,0.018529778218570558,0.09133332154812292,0.09263163131478926,4.178973610357725e-05,30.87407259764491,0.03727438240933915,0.04289905816443457,0.06697303171231979,0.0003045878257409294,66.94291333161941,0.005183391954221541,0.007710993234429111,0.0029070480495574304,4.3099262993963475e-05,11.632344212787276
1100,muon_no_ns,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.11634816974401474,1.0,14.404029846191406,0.00022373867977876216,55.98847300000489,30.58663966906331,64.23272211522746,12.050117492675781,0.07115840487294195,0.019634294043377208,0.04356829822063446,0.09033547376118102,0.0016111803706735373,0,0,0,,0.01527174158505525,0.09033484196800692,0.09176798756568877,3.444196919971113e-05,30.58663966906331,0.03259419621619643,0.045517531186701675,0.06425699519102152,0.00026634365791066935,64.23272211522746,0.005161224782154967,0.007809970118268043,0.0030114797106778127,4.2914945699966135e-05,12.050117105888432
