run,depth,regime,role,step,checkpoint,baseline_full_accuracy,family,intervention,retained_pair_count,intervention_accuracy
no_ns_depth1_lr_0p3,1,muon_no_ns,first_generalized,3000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_003000.pt,0.9613125324249268,addition,sufficiency,56,1.0
no_ns_depth1_lr_0p3,1,muon_no_ns,first_generalized,3000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_003000.pt,0.9613125324249268,addition,ablation,6328,0.010494165122509003
no_ns_depth1_lr_0p3,1,muon_no_ns,first_generalized,3000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_003000.pt,0.9613125324249268,subtraction,sufficiency,56,0.008849557489156723
no_ns_depth1_lr_0p3,1,muon_no_ns,first_generalized,3000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_003000.pt,0.9613125324249268,subtraction,ablation,6328,0.8776724934577942
no_ns_depth1_lr_0p3,1,muon_no_ns,first_generalized,3000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_003000.pt,0.9613125324249268,a_only,sufficiency,56,0.008849557489156723
no_ns_depth1_lr_0p3,1,muon_no_ns,first_generalized,3000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_003000.pt,0.9613125324249268,a_only,ablation,6328,0.8905944228172302
no_ns_depth1_lr_0p3,1,muon_no_ns,first_generalized,3000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_003000.pt,0.9613125324249268,b_only,sufficiency,56,0.008849557489156723
no_ns_depth1_lr_0p3,1,muon_no_ns,first_generalized,3000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_003000.pt,0.9613125324249268,b_only,ablation,6328,0.896233081817627
no_ns_depth1_lr_0p3,1,muon_no_ns,first_generalized,3000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_003000.pt,0.9613125324249268,generic_interaction,sufficiency,6160,0.012138773687183857
no_ns_depth1_lr_0p3,1,muon_no_ns,first_generalized,3000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_003000.pt,0.9613125324249268,generic_interaction,ablation,224,0.9245046377182007
no_ns_depth1_lr_0p3,1,muon_no_ns,first_generalized,3000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_003000.pt,0.9613125324249268,all_non_addition,sufficiency,6328,0.010494165122509003
no_ns_depth1_lr_0p3,1,muon_no_ns,first_generalized,3000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_003000.pt,0.9613125324249268,dc_only,sufficiency,0,0.008849557489156723
no_ns_depth1_lr_0p3,1,muon_no_ns,maximum_accuracy_reference,10000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_010000.pt,1.0,addition,sufficiency,56,1.0
no_ns_depth1_lr_0p3,1,muon_no_ns,maximum_accuracy_reference,10000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_010000.pt,1.0,addition,ablation,6328,0.007674837484955788
no_ns_depth1_lr_0p3,1,muon_no_ns,maximum_accuracy_reference,10000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_010000.pt,1.0,subtraction,sufficiency,56,0.008849557489156723
no_ns_depth1_lr_0p3,1,muon_no_ns,maximum_accuracy_reference,10000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_010000.pt,1.0,subtraction,ablation,6328,0.9638969302177429
no_ns_depth1_lr_0p3,1,muon_no_ns,maximum_accuracy_reference,10000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_010000.pt,1.0,a_only,sufficiency,56,0.008849557489156723
no_ns_depth1_lr_0p3,1,muon_no_ns,maximum_accuracy_reference,10000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_010000.pt,1.0,a_only,ablation,6328,0.9554389715194702
no_ns_depth1_lr_0p3,1,muon_no_ns,maximum_accuracy_reference,10000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_010000.pt,1.0,b_only,sufficiency,56,0.008849557489156723
no_ns_depth1_lr_0p3,1,muon_no_ns,maximum_accuracy_reference,10000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_010000.pt,1.0,b_only,ablation,6328,0.9554389715194702
no_ns_depth1_lr_0p3,1,muon_no_ns,maximum_accuracy_reference,10000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_010000.pt,1.0,generic_interaction,sufficiency,6160,0.008614613674581051
no_ns_depth1_lr_0p3,1,muon_no_ns,maximum_accuracy_reference,10000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_010000.pt,1.0,generic_interaction,ablation,224,0.9607643485069275
no_ns_depth1_lr_0p3,1,muon_no_ns,maximum_accuracy_reference,10000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_010000.pt,1.0,all_non_addition,sufficiency,6328,0.007674837484955788
no_ns_depth1_lr_0p3,1,muon_no_ns,maximum_accuracy_reference,10000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_010000.pt,1.0,dc_only,sufficiency,0,0.008849557489156723
no_ns_depth1_lr_0p3,1,muon_no_ns,final,23000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_023000.pt,0.9996083974838257,addition,sufficiency,56,1.0
