run,depth,regime,event,target_step,selected_checkpoint_step,checkpoint
no_ns_depth1_lr_0p3,1,muon_no_ns,regular_stride,0,0,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_000000.pt
no_ns_depth1_lr_0p3,1,muon_no_ns,regular_stride,5000,5000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_005000.pt
no_ns_depth1_lr_0p3,1,muon_no_ns,regular_stride,10000,10000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_010000.pt
no_ns_depth1_lr_0p3,1,muon_no_ns,regular_stride,15000,15000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_015000.pt
no_ns_depth1_lr_0p3,1,muon_no_ns,regular_stride,20000,20000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_020000.pt
no_ns_depth1_lr_0p3,1,muon_no_ns,initial,0,0,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_000000.pt
no_ns_depth1_lr_0p3,1,muon_no_ns,final,23000,23000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_023000.pt
no_ns_depth1_lr_0p3,1,muon_no_ns,maximum_test_accuracy,4200,4000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_004000.pt
no_ns_depth1_lr_0p3,1,muon_no_ns,grokking_before,3100,3000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_003000.pt
no_ns_depth1_lr_0p3,1,muon_no_ns,grokking_after,3100,4000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_004000.pt
no_ns_depth1_lr_0p3,1,muon_no_ns,minimum_post_grokking_accuracy,3100,3000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_003000.pt
no_ns_depth1_lr_0p3,1,muon_no_ns,first_99_before,3300,3000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_003000.pt
no_ns_depth1_lr_0p3,1,muon_no_ns,first_99_after,3300,4000,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_004000.pt
no_ns_depth1_lr_1,1,muon_no_ns,regular_stride,0,0,checkpoints/no_ns_depth_1_lr_1_seed_0/step_000000.pt
no_ns_depth1_lr_1,1,muon_no_ns,regular_stride,5000,5000,checkpoints/no_ns_depth_1_lr_1_seed_0/step_005000.pt
no_ns_depth1_lr_1,1,muon_no_ns,regular_stride,10000,10000,checkpoints/no_ns_depth_1_lr_1_seed_0/step_010000.pt
no_ns_depth1_lr_1,1,muon_no_ns,regular_stride,15000,15000,checkpoints/no_ns_depth_1_lr_1_seed_0/step_015000.pt
no_ns_depth1_lr_1,1,muon_no_ns,regular_stride,20000,20000,checkpoints/no_ns_depth_1_lr_1_seed_0/step_020000.pt
no_ns_depth1_lr_1,1,muon_no_ns,initial,0,0,checkpoints/no_ns_depth_1_lr_1_seed_0/step_000000.pt
no_ns_depth1_lr_1,1,muon_no_ns,final,23000,23000,checkpoints/no_ns_depth_1_lr_1_seed_0/step_023000.pt
no_ns_depth1_lr_1,1,muon_no_ns,maximum_test_accuracy,7600,8000,checkpoints/no_ns_depth_1_lr_1_seed_0/step_008000.pt
no_ns_depth1_lr_1,1,muon_no_ns,grokking_before,6800,6000,checkpoints/no_ns_depth_1_lr_1_seed_0/step_006000.pt
no_ns_depth1_lr_1,1,muon_no_ns,grokking_after,6800,7000,checkpoints/no_ns_depth_1_lr_1_seed_0/step_007000.pt
no_ns_depth1_lr_1,1,muon_no_ns,minimum_post_grokking_accuracy,6800,7000,checkpoints/no_ns_depth_1_lr_1_seed_0/step_007000.pt
no_ns_depth1_lr_1,1,muon_no_ns,first_99_before,7000,7000,checkpoints/no_ns_depth_1_lr_1_seed_0/step_007000.pt
no_ns_depth1_lr_1,1,muon_no_ns,first_99_after,7000,7000,checkpoints/no_ns_depth_1_lr_1_seed_0/step_007000.pt
