step,regime,num_layers,modulus,train_fraction,d_model,num_heads,d_mlp,parameter_count,hidden_matrix_count,initialization_scheme,train_loss,train_accuracy,test_loss,test_accuracy,elapsed_seconds,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step,hidden_applied_update_norm,hidden_gradient_component_norm,hidden_decay_component_norm,hidden_applied_update_rms,hidden_parameter_norm,auxiliary_applied_update_norm,auxiliary_gradient_component_norm,auxiliary_decay_component_norm,auxiliary_applied_update_rms,auxiliary_parameter_norm,readout_applied_update_norm,readout_gradient_component_norm,readout_decay_component_norm,readout_applied_update_rms,readout_parameter_norm
0,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,5.095478057861328,0.007310704793781042,5.103884220123291,0.008949547074735165,0.6122001250041649,nan,nan,6.151246070861816,nan,nan,nan,nan,nan,0,0,0,,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan
100,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,2.886636734008789,0.26370757818222046,7.1966118812561035,0.0012305626878514886,19.090493667055853,24.353360061174886,93.33250381597531,7.284437656402588,1.0600288330227785,0.20725286796875803,0.14399883151054382,nan,nan,0,0,0,,0.2883201940240817,0.32655308330371186,0.0726797706449207,0.0006502411782523778,24.353360061174886,0.2627081384232593,0.13552713759844892,0.2806889524436503,0.002146721032371528,93.33250381597531,0.06795704091698523,0.08190062374855342,0.021741092233138814,0.0005650543899901845,7.28443765793214
200,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.3697674870491028,0.9785900712013245,14.126839637756348,0.0007830853573977947,37.13654774997849,34.991790503929764,74.0414430893226,11.330301284790039,0.32904055789119485,0.07487955569534929,0.08560282737016678,nan,nan,0,0,0,,0.1591526268514371,0.22240493734902922,0.10478615308845522,0.00035893285919888,34.991790503929764,0.17994602292026968,0.0834274015068849,0.22262946611957288,0.001470429939525432,74.0414430893226,0.03701453842156373,0.06504237223256668,0.03391517069107473,0.00030777130884957903,11.330302142060592
300,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.16205178201198578,0.9939947724342346,13.988776206970215,0.0015661707147955894,55.75873112503905,37.83041004522703,58.93046700299929,12.207427978515625,0.2578465503375917,0.07976531770998117,0.047764167189598083,nan,nan,0,0,0,,0.0956341822387564,0.16363625371523782,0.11342787078181739,0.00021568133148154586,37.83041004522703,0.13522796692424777,0.06585645653371167,0.1771752145526177,0.0011050160931574023,58.93046700299929,0.014565944724989554,0.043401660936292864,0.03660868266614071,0.00012111402880628619,12.207427526761204
400,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.12268494069576263,0.997650146484375,13.429224014282227,0.0013424319913610816,72.82218287501018,39.884028273110424,48.22788408777426,12.597801208496094,0.18128786414038733,0.062234231158710726,0.04022856801748276,nan,nan,0,0,0,,0.08371124689244244,0.16118265025606193,0.11959326552641965,0.00018879183956074558,39.884028273110424,0.09822322439472392,0.07017795915061208,0.14494989612544742,0.0008026316312126604,48.22788408777426,0.01242010477690474,0.04272730334931254,0.037783712144258616,0.00010327163504516266,12.597802080643204
500,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.10238109529018402,0.9986945390701294,13.173979759216309,0.0016780400183051825,89.51485354197212,41.64698906643524,40.84697198263853,12.879308700561523,0.08695056194029181,0.038622943963740275,0.03514311462640762,nan,nan,0,0,0,,0.06574171689862217,0.15416660344425342,0.1248946207046184,0.0001482656169859675,41.64698906643524,0.07234580382195004,0.07351988681871248,0.12272284992827584,0.0005911741432927543,40.84697198263853,0.011242312007860342,0.04250193017819726,0.03863062570406637,9.347843384530151e-05,12.879309322129362
600,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.08619880676269531,0.9994778037071228,13.094913482666016,0.0015661707147955894,106.86823212495074,43.187522907582306,35.785914598369764,13.069746017456055,0.061716877234358675,0.0322718445851679,0.030826488509774208,nan,nan,0,0,0,,0.09677946304991518,0.17331954420741633,0.12951709830794744,0.00021826425407771863,43.187522907582306,0.055749405856946224,0.07477690003401259,0.10748425470860819,0.00045555658387143056,35.785914598369764,0.011090419970257505,0.04193694654307495,0.03920544675982352,9.221547033932895e-05,13.069744925071543
700,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.07513036578893661,0.9997389316558838,13.051427841186523,0.002237386768683791,124.12359970901161,44.442207787090986,32.29660217471511,13.178650856018066,0.04914660751712552,0.025228121568486656,0.02770650014281273,nan,nan,0,0,0,,0.06592721763294192,0.157597383558506,0.13329584056087426,0.00014868397205977367,44.442207787090986,0.04424951653417884,0.0760605776362752,0.09697602000601464,0.0003615851735173469,32.29660217471511,0.010623610050535755,0.04177304934994828,0.03953330808391401,8.833400359400729e-05,13.178649383452534
800,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.06625504046678543,1.0,13.059443473815918,0.002013648161664605,141.08901916700415,45.26046381377734,29.91304153456085,13.254183769226074,0.04486655225446757,0.02657678381874057,0.025117332115769386,nan,nan,0,0,0,,0.06667549276708697,0.157283277536015,0.13576067881651213,0.0001503715378805805,45.26046381377734,0.03649739139176807,0.07634264605615865,0.08979867193035244,0.00029823863926579924,29.91304153456085,0.010114985859581252,0.041570452835407945,0.03976085010464446,8.410485635516372e-05,13.254184727378776
900,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.05921028181910515,1.0,13.080511093139648,0.002349256072193384,158.09740504203364,45.75842032877765,28.25420171980979,13.301060676574707,0.04075184101797465,0.02629774388713654,0.02299606055021286,nan,nan,0,0,0,,0.04710413664209906,0.14825661324326292,0.13726514049462435,0.00010623275769633128,45.75842032877765,0.031020451949158815,0.0762290728569804,0.08480400888778297,0.0002534837977711989,28.25420171980979,0.009592102078381135,0.04145501180078172,0.03990187599557939,7.975714238711856e-05,13.301059212884171
1000,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.05276219919323921,1.0,13.088271141052246,0.002461125375702977,175.11718954204116,46.1383984002836,27.07079110297524,13.328930854797363,0.03980084085001924,0.03139991036869564,0.021040918305516243,nan,nan,0,0,0,,0.06929339579343381,0.1582607406286228,0.13840323244273567,0.00015627562779063398,46.1383984002836,0.027764221104955456,0.07548203988187788,0.08124323955633403,0.00022687548909274438,27.07079110297524,0.009560822229668395,0.04122955640247288,0.039986425865315395,7.949705431390547e-05,13.328931500078752
1100,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.047049108892679214,1.0,12.987724304199219,0.003467949340119958,192.1745695420541,46.424110350054825,26.179263678940043,13.334648132324219,0.03556185642961079,0.02734579853008801,0.0192783921957016,nan,nan,0,0,0,,0.06505527810218027,0.15517339294217772,0.13926733464793112,0.00014671750908007715,46.424110350054825,0.02603162162653013,0.07451709236435552,0.0785625182562895,0.00021271754269894404,26.179263678940043,0.009784826577215737,0.04088345376927735,0.04000485869727873,8.135962275788956e-05,13.334648088509146
1200,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.042937424033880234,1.0,12.717161178588867,0.005034120287746191,209.29501958400942,46.49430977629694,25.466724933364215,13.313020706176758,0.031157545824545545,0.02360299754872627,0.017905641347169876,nan,nan,0,0,0,,0.04620887417549285,0.14677700324890156,0.1394833699852593,0.00010421369509441542,46.49430977629694,0.024115495021110427,0.07400010896989366,0.07641869896197923,0.00019705990335351235,25.466724933364215,0.0095407333162445,0.040914118784266706,0.039939509380678063,7.933001748347356e-05,13.313020168833622
1300,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.03930572047829628,1.0,12.43869686126709,0.005369727965444326,226.3797652090434,46.40279722572211,24.91055406346534,13.294332504272461,0.03205059969463697,0.0294945244056005,0.016645681113004684,nan,nan,0,0,0,,0.04208076044950783,0.14404284297555386,0.1392126726641048,9.490366552041994e-05,46.40279722572211,0.022438825805372622,0.07305744044476596,0.0747467481916408,0.00018335899141619282,24.91055406346534,0.00929258089873712,0.04079119692616017,0.03988347809507771,7.726666082451439e-05,13.294331439104777
