step,regime,num_layers,modulus,train_fraction,d_model,num_heads,d_mlp,parameter_count,hidden_matrix_count,initialization_scheme,train_loss,train_accuracy,test_loss,test_accuracy,elapsed_seconds,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step,hidden_applied_update_norm,hidden_gradient_component_norm,hidden_decay_component_norm,hidden_applied_update_rms,hidden_parameter_norm,auxiliary_applied_update_norm,auxiliary_gradient_component_norm,auxiliary_decay_component_norm,auxiliary_applied_update_rms,auxiliary_parameter_norm,readout_applied_update_norm,readout_gradient_component_norm,readout_decay_component_norm,readout_applied_update_rms,readout_parameter_norm
0,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,5.1471052169799805,0.008093995042145252,5.135010719299316,0.009173285216093063,0.5947633750038221,nan,nan,6.088004112243652,nan,nan,nan,nan,nan,0,0,0,,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan
100,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,4.55474853515625,0.027415143325924873,4.918795108795166,0.002908602822571993,18.722968792077154,13.860620997570832,50.93359943727043,4.5030436515808105,0.04342000923751351,0.0072094295506446885,0.03493250906467438,nan,nan,0,0,0,,0.36733537668245314,0.38989711588825576,0.1386345500969522,0.0008284421039472145,13.860620997570832,0.5149373943673373,0.45893167825812453,0.5124136403806905,0.004207813817560378,50.93359943727043,0.049985726543516976,0.06729899793728257,0.04502731911419274,0.00041562513374833644,4.503044028081264
200,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,3.7212071418762207,0.10313315689563751,6.413970947265625,0.002908602822571993,36.808090417063795,32.33361256881513,33.13342091479754,5.436355113983154,0.4556468006495535,0.45673482700702894,0.3703913390636444,nan,nan,0,0,0,,0.6009150447476597,0.7515475847249823,0.3217265472210407,0.0013552283704888958,32.33361256881513,0.531280584472252,0.5757245692234133,0.3322134750033562,0.004341362287527232,33.13342091479754,0.131713425594925,0.15271341319778403,0.05406628528905451,0.0010951808429088912,5.436355411892903
300,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,1.404863715171814,0.5809399485588074,5.975050449371338,0.019353395327925682,55.34997983300127,45.067096322141985,25.624699582950253,10.00537395477295,0.6711694783442199,0.41982757116775227,0.7927285432815552,nan,nan,0,0,0,,0.6760828037054886,0.8389627078085214,0.45013006382881127,0.0015247522996634404,45.067096322141985,0.3042144300164094,0.3462646023689597,0.2569827661467421,0.002485889927836824,25.624699582950253,0.20995322220808324,0.24421203591906668,0.09975095277341993,0.001745735074694967,10.005373415663376
400,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.2979176640510559,0.9835509061813354,7.8953986167907715,0.02304508350789547,72.58186300005764,47.250755995913885,24.009879916979152,11.101469993591309,0.15809893932691305,0.08139843894104748,0.1881660521030426,nan,nan,0,0,0,,0.36604205860281275,0.6345299406039047,0.47200794053745604,0.0008255253166760106,47.250755995913885,0.13847259805985201,0.29918514164417537,0.23982768437566265,0.001131529614751724,24.009879916979152,0.07124050144114072,0.1320142859430286,0.11101110952191733,0.0005923559581352715,11.10147058740122
500,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.15073496103286743,0.9997389316558838,7.740921974182129,0.026624901220202446,89.41521316708531,46.01045018183215,23.290350383738797,10.592363357543945,0.07521166454848269,0.04799336147591492,0.0694095566868782,nan,nan,0,0,0,,0.23197438925847172,0.49324664801940227,0.4603423956238885,0.0005231659222010847,46.01045018183215,0.07146412484432052,0.22264736815179725,0.2331143649911323,0.0005839694985625341,23.290350383738797,0.04058092751594518,0.09369245299979775,0.10611759865912496,0.00033742539306220803,10.592362635222504
600,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.10201989859342575,0.9997389316558838,8.239023208618164,0.02628929354250431,106.65072766703088,46.548411597489164,22.901931999390285,11.044880867004395,0.08306993284877139,0.05160853526857984,0.09107344597578049,nan,nan,0,0,0,,0.2686894549248443,0.47350019722617914,0.4661774044404791,0.0006059684731612214,46.548411597489164,0.09716617318493177,0.2363293781487683,0.22915038885726358,0.0007939939312998446,22.901931999390285,0.05379632232663708,0.1022356185946946,0.11065949042711587,0.0004473097663732383,11.044880158670047
700,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.10289326310157776,1.0,7.154837608337402,0.02886228822171688,123.78744887502398,47.38569978417296,22.263039434930125,9.903314590454102,0.057417740719011776,0.03394496000428426,0.04734828323125839,nan,nan,0,0,0,,0.1692334605230107,0.529559522656223,0.4735633853752725,0.00038166790620645366,47.38569978417296,0.034444649189761624,0.22093271230429656,0.2226741187957663,0.00028146464480360964,22.263039434930125,0.01947797939911322,0.09703818821024182,0.0990722436488022,0.00016195698957893303,9.903314843554272
800,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,3.875802993774414,0.11827675998210907,5.098620414733887,0.008949547074735165,140.99316079204436,46.15661653202566,16.25940589264136,12.278299331665039,0.26425625575273687,0.21118629055921528,0.1812511831521988,nan,nan,1,0,0,,0.9248993691497738,0.9950136792680706,0.4623301187270777,0.0020859019521560036,46.15661653202566,0.4437085257469689,0.44095644987460103,0.16342757616275694,0.0036257667165565397,16.25940589264136,0.21265925873804992,0.27342212241051844,0.12216805415656873,0.0017682354337467882,12.278298939525598
900,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.09571139514446259,1.0,1.1248809099197388,0.596263587474823,157.8223299580859,37.124057516794025,19.002812000894085,9.480717658996582,0.05390116399630255,0.028185840155705764,0.058878637850284576,nan,nan,0,0,0,,0.19951282064333853,0.3596635305904326,0.3718912342598288,0.0004499561746297384,37.124057516794025,0.07489072348789821,0.1916468875285089,0.19015922738413474,0.0006119699686728758,19.002812000894085,0.047992272160744115,0.06977131065481935,0.09514753414487373,0.00039904980711504505,9.480717706568177
