run,depth,regime,step,checkpoint,stage_name,stage_kind,layer,stage_order,activation_width,sum_explained_variance,direct_readout_train_accuracy,direct_readout_test_accuracy,direct_readout_full_accuracy,total_spectral_power,non_dc_spectral_power,dc_power_fraction_total,dc_power_fraction_non_dc,addition_power_fraction_total,addition_power_fraction_non_dc,subtraction_power_fraction_total,subtraction_power_fraction_non_dc,a_only_power_fraction_total,a_only_power_fraction_non_dc,b_only_power_fraction_total,b_only_power_fraction_non_dc,generic_interaction_power_fraction_total,generic_interaction_power_fraction_non_dc,dominant_non_dc_family,dominant_non_dc_family_fraction,top_1_non_dc_pair_power_fraction,top_5_non_dc_pair_power_fraction,top_10_non_dc_pair_power_fraction,top_20_non_dc_pair_power_fraction,normalized_non_dc_pair_entropy,effective_non_dc_pair_count,top_non_dc_mode_pairs
seed0_muon,1,muon,0,checkpoints/seedstudy_muon_seed_0/step_000000.pt,input_residual,input_residual,0,0,128,-3.240668296813965,0.009921670891344547,0.008390200324356556,0.008849557489156723,3389664.25,0.0,1.0,nan,1.5924176502803556e-29,0.0,1.4136771101933235e-29,0.0,3.341999229446493e-14,0.0,3.339825466021448e-14,0.0,1.1227039394817556e-27,0.0,addition,0.0,0.0,0.0,0.0,0.0,0.5176745759723131,93.28242815962025,"(0,23)/(0,90):b_only|(45,0)/(68,0):a_only|(0,45)/(0,68):b_only|(23,0)/(90,0):a_only|(5,0)/(108,0):a_only|(0,5)/(0,108):b_only|(36,0)/(77,0):a_only|(0,54)/(0,59):b_only|(54,0)/(59,0):a_only|(0,6)/(0,107):b_only|(0,36)/(0,77):b_only|(0,11)/(0,102):b_only|(27,0)/(86,0):a_only|(6,0)/(107,0):a_only|(11,0)/(102,0):a_only|(9,0)/(104,0):a_only|(0,9)/(0,104):b_only|(56,0)/(57,0):a_only|(0,35)/(0,78):b_only|(0,27)/(0,86):b_only"
seed0_muon,1,muon,0,checkpoints/seedstudy_muon_seed_0/step_000000.pt,layer_1_attention_output,attention_output,1,1,128,0.00026047229766845703,nan,nan,nan,163944.8125,56600.296875,0.6547600621703111,nan,8.993314694921217e-05,0.0002604946215509322,5.072327514447447e-05,0.00014692180592819156,0.21062682773967,0.6100882448993339,0.12940597007300855,0.37482908520521785,0.005066365299493884,0.014674910820987302,a_only,0.6100882448993339,0.014631308655555859,0.06905220180561664,0.13291660752973358,0.2512005250324438,0.549800738478546,123.60694548761313,"(51,0)/(62,0):a_only|(47,0)/(66,0):a_only|(18,0)/(95,0):a_only|(41,0)/(72,0):a_only|(12,0)/(101,0):a_only|(26,0)/(87,0):a_only|(55,0)/(58,0):a_only|(14,0)/(99,0):a_only|(7,0)/(106,0):a_only|(13,0)/(100,0):a_only|(48,0)/(65,0):a_only|(6,0)/(107,0):a_only|(23,0)/(90,0):a_only|(35,0)/(78,0):a_only|(27,0)/(86,0):a_only|(43,0)/(70,0):a_only|(25,0)/(88,0):a_only|(34,0)/(79,0):a_only|(1,0)/(112,0):a_only|(10,0)/(103,0):a_only"
seed0_muon,1,muon,0,checkpoints/seedstudy_muon_seed_0/step_000000.pt,layer_1_post_attention_residual,post_attention_residual,1,2,128,0.00026047229766845703,0.009399477392435074,0.00827833078801632,0.008614613674581051,3533681.25,56600.0,0.9839827092497377,nan,4.172440516945938e-06,0.00026049602158078033,2.3533016264403523e-06,0.00014692257655383,0.009772010951751803,0.6100913758833922,0.006003778482602244,0.37483108574425794,0.0002350535462365292,0.01467498779296875,a_only,0.6100913758833922,0.014631384320478136,0.06905256507253478,0.13291731116628477,0.2512018533982995,0.5498007382165384,123.6069452038619,"(51,0)/(62,0):a_only|(47,0)/(66,0):a_only|(18,0)/(95,0):a_only|(41,0)/(72,0):a_only|(12,0)/(101,0):a_only|(26,0)/(87,0):a_only|(55,0)/(58,0):a_only|(14,0)/(99,0):a_only|(7,0)/(106,0):a_only|(13,0)/(100,0):a_only|(48,0)/(65,0):a_only|(6,0)/(107,0):a_only|(23,0)/(90,0):a_only|(35,0)/(78,0):a_only|(27,0)/(86,0):a_only|(43,0)/(70,0):a_only|(25,0)/(88,0):a_only|(34,0)/(79,0):a_only|(1,0)/(112,0):a_only|(10,0)/(103,0):a_only"
seed0_muon,1,muon,0,checkpoints/seedstudy_muon_seed_0/step_000000.pt,layer_1_mlp_activation,mlp_activation,1,3,512,0.0003820061683654785,nan,nan,nan,2517406.25,40719.75,0.9838247203843241,nan,6.176924574393946e-06,0.0003818743614427375,3.9876443513986995e-06,0.0002465270737906859,0.009853325130032151,0.6091594930132184,0.005920308756532641,0.3660096701385691,0.000391629456665777,0.024211603506763456,a_only,0.6091594930132184,0.014873678394889765,0.06942542530133565,0.1345848724419757,0.2529882048656518,0.55829681685938,133.15921978097572,"(47,0)/(66,0):a_only|(51,0)/(62,0):a_only|(18,0)/(95,0):a_only|(1,0)/(112,0):a_only|(7,0)/(106,0):a_only|(48,0)/(65,0):a_only|(41,0)/(72,0):a_only|(14,0)/(99,0):a_only|(12,0)/(101,0):a_only|(34,0)/(79,0):a_only|(6,0)/(107,0):a_only|(5,0)/(108,0):a_only|(29,0)/(84,0):a_only|(23,0)/(90,0):a_only|(55,0)/(58,0):a_only|(13,0)/(100,0):a_only|(26,0)/(87,0):a_only|(31,0)/(82,0):a_only|(10,0)/(103,0):a_only|(11,0)/(102,0):a_only"
seed0_muon,1,muon,0,checkpoints/seedstudy_muon_seed_0/step_000000.pt,layer_1_mlp_output,mlp_output,1,4,128,0.00038242340087890625,nan,nan,nan,172003.421875,3380.171875,0.980348228900606,nan,7.515358559874672e-06,0.0003824265264369184,4.748500845726753e-06,0.00024163220819690804,0.012018843602221213,0.6115908607642918,0.007146031353936545,0.3636329426896746,0.00047472240010225543,0.024156723467886016,a_only,0.6115908607642918,0.015690520301138648,0.07398629439485961,0.13998756828547745,0.2602181627741459,0.5575064948010547,132.24035090950034,"(48,0)/(65,0):a_only|(7,0)/(106,0):a_only|(34,0)/(79,0):a_only|(41,0)/(72,0):a_only|(14,0)/(99,0):a_only|(6,0)/(107,0):a_only|(55,0)/(58,0):a_only|(52,0)/(61,0):a_only|(1,0)/(112,0):a_only|(51,0)/(62,0):a_only|(29,0)/(84,0):a_only|(25,0)/(88,0):a_only|(2,0)/(111,0):a_only|(47,0)/(66,0):a_only|(35,0)/(78,0):a_only|(11,0)/(102,0):a_only|(32,0)/(81,0):a_only|(38,0)/(75,0):a_only|(12,0)/(101,0):a_only|(31,0)/(82,0):a_only"
seed0_muon,1,muon,0,checkpoints/seedstudy_muon_seed_0/step_000000.pt,layer_1_post_block_residual,post_block_residual,1,5,128,0.0002689957618713379,0.007571801543235779,0.008390200324356556,0.008144725114107132,3763864.0,59353.5,0.9842307001528217,nan,4.241491571007859e-06,0.0002689714579665887,2.439559683325413e-06,0.00015470310711112104,0.009616052977737771,0.6097958102723513,0.005906336276862023,0.3745465134217022,0.00024059316078461855,0.015257060434910114,a_only,0.6097958102723513,0.014644362216752698,0.06902862227217013,0.13314018238907036,0.2517029758259175,0.5503597863230488,124.21387303673757,"(51,0)/(62,0):a_only|(47,0)/(66,0):a_only|(18,0)/(95,0):a_only|(14,0)/(99,0):a_only|(55,0)/(58,0):a_only|(41,0)/(72,0):a_only|(7,0)/(106,0):a_only|(12,0)/(101,0):a_only|(6,0)/(107,0):a_only|(26,0)/(87,0):a_only|(23,0)/(90,0):a_only|(25,0)/(88,0):a_only|(48,0)/(65,0):a_only|(27,0)/(86,0):a_only|(1,0)/(112,0):a_only|(35,0)/(78,0):a_only|(32,0)/(81,0):a_only|(13,0)/(100,0):a_only|(11,0)/(102,0):a_only|(10,0)/(103,0):a_only"
seed0_muon,1,muon,5000,checkpoints/seedstudy_muon_seed_0/step_005000.pt,input_residual,input_residual,0,0,128,-4.641143798828125,0.009921670891344547,0.008390200324356556,0.008849557489156723,179.4263916015625,0.0,1.0,nan,1.657629706616122e-29,0.0,1.504375710908284e-29,0.0,3.437701703416905e-14,0.0,3.417205441032326e-14,0.0,1.157535859491348e-27,0.0,addition,0.0,0.0,0.0,0.0,0.0,0.5161406115237525,92.03710829029733,"(0,23)/(0,90):b_only|(23,0)/(90,0):a_only|(0,45)/(0,68):b_only|(45,0)/(68,0):a_only|(54,0)/(59,0):a_only|(0,36)/(0,77):b_only|(36,0)/(77,0):a_only|(5,0)/(108,0):a_only|(6,0)/(107,0):a_only|(0,54)/(0,59):b_only|(0,5)/(0,108):b_only|(0,6)/(0,107):b_only|(27,0)/(86,0):a_only|(0,11)/(0,102):b_only|(0,27)/(0,86):b_only|(39,0)/(74,0):a_only|(17,0)/(96,0):a_only|(0,56)/(0,57):b_only|(9,0)/(104,0):a_only|(0,39)/(0,74):b_only"
seed0_muon,1,muon,5000,checkpoints/seedstudy_muon_seed_0/step_005000.pt,layer_1_attention_output,attention_output,1,1,128,1.1920928955078125e-07,nan,nan,nan,1079080.125,614695.4375,0.4303523684119379,nan,4.4173836003292116e-08,7.754589601319752e-08,2.0715318940677796e-08,3.636514538457342e-08,0.28447383599063136,0.4993856205415548,0.2851707258531891,0.500608990610899,3.1921236524872575e-06,5.603681074892322e-06,b_only,0.500608990610899,0.025098519317544147,0.11172916698228706,0.20259678649802895,0.3444911532090536,0.5247998834194139,99.29155196875186,"(0,1)/(0,112):b_only|(1,0)/(112,0):a_only|(0,42)/(0,71):b_only|(42,0)/(71,0):a_only|(0,52)/(0,61):b_only|(52,0)/(61,0):a_only|(0,6)/(0,107):b_only|(6,0)/(107,0):a_only|(43,0)/(70,0):a_only|(0,43)/(0,70):b_only|(0,20)/(0,93):b_only|(20,0)/(93,0):a_only|(0,26)/(0,87):b_only|(26,0)/(87,0):a_only|(0,55)/(0,58):b_only|(55,0)/(58,0):a_only|(0,47)/(0,66):b_only|(47,0)/(66,0):a_only|(0,24)/(0,89):b_only|(24,0)/(89,0):a_only"
seed0_muon,1,muon,5000,checkpoints/seedstudy_muon_seed_0/step_005000.pt,layer_1_post_attention_residual,post_attention_residual,1,2,128,1.1920928955078125e-07,0.01253263745456934,0.0072715068235993385,0.008849557489156723,1079784.0,614695.375,0.43072373155186594,nan,4.4144902558798817e-08,7.754566148240504e-08,2.0701779093201353e-08,3.63650854480129e-08,0.2842883970312581,0.49938567131727646,0.28498483261467106,0.5006090415110086,3.190043034866219e-06,5.603682032518929e-06,b_only,0.5006090415110086,0.025098521869470713,0.1117291783425042,0.20259680868603006,0.3444911882356667,0.5247998832583352,99.29155182862173,"(0,1)/(0,112):b_only|(1,0)/(112,0):a_only|(0,42)/(0,71):b_only|(42,0)/(71,0):a_only|(0,52)/(0,61):b_only|(52,0)/(61,0):a_only|(0,6)/(0,107):b_only|(6,0)/(107,0):a_only|(43,0)/(70,0):a_only|(0,43)/(0,70):b_only|(0,20)/(0,93):b_only|(20,0)/(93,0):a_only|(0,26)/(0,87):b_only|(26,0)/(87,0):a_only|(0,55)/(0,58):b_only|(55,0)/(58,0):a_only|(0,47)/(0,66):b_only|(47,0)/(66,0):a_only|(0,24)/(0,89):b_only|(24,0)/(89,0):a_only"
seed0_muon,1,muon,5000,checkpoints/seedstudy_muon_seed_0/step_005000.pt,layer_1_mlp_activation,mlp_activation,1,3,512,0.03815662860870361,nan,nan,nan,236381664.0,80916944.0,0.657685191690672,nan,0.013061652912300338,0.03815684450465653,0.012466202750819116,0.03641736333987106,0.14510716025757395,0.423899745892529,0.14552348696555414,0.4251159559362499,0.026156512714962527,0.07641069588589505,b_only,0.4251159559362499,0.020317839734530756,0.09015531407117897,0.16293755792359138,0.27323746850227065,0.6190144079692198,226.67692645868212,"(1,0)/(112,0):a_only|(0,1)/(0,112):b_only|(0,42)/(0,71):b_only|(42,0)/(71,0):a_only|(0,52)/(0,61):b_only|(52,0)/(61,0):a_only|(0,6)/(0,107):b_only|(6,0)/(107,0):a_only|(43,0)/(70,0):a_only|(0,43)/(0,70):b_only|(0,20)/(0,93):b_only|(20,0)/(93,0):a_only|(0,55)/(0,58):b_only|(55,0)/(58,0):a_only|(0,26)/(0,87):b_only|(26,0)/(87,0):a_only|(0,24)/(0,89):b_only|(24,0)/(89,0):a_only|(0,47)/(0,66):b_only|(47,0)/(66,0):a_only"
