run,depth,regime,event,target_step,selected_checkpoint_step,checkpoint
seed0_muon,1,muon,regular_stride,0,0,checkpoints/seedstudy_muon_seed_0/step_000000.pt
seed0_muon,1,muon,regular_stride,25000,25000,checkpoints/seedstudy_muon_seed_0/step_025000.pt
seed0_muon,1,muon,regular_stride,50000,50000,checkpoints/seedstudy_muon_seed_0/step_050000.pt
seed0_muon,1,muon,regular_stride,75000,75000,checkpoints/seedstudy_muon_seed_0/step_075000.pt
seed0_muon,1,muon,regular_stride,100000,100000,checkpoints/seedstudy_muon_seed_0/step_100000.pt
seed0_muon,1,muon,initial,0,0,checkpoints/seedstudy_muon_seed_0/step_000000.pt
seed0_muon,1,muon,final,100000,100000,checkpoints/seedstudy_muon_seed_0/step_100000.pt
seed0_muon,1,muon,maximum_test_accuracy,6500,6000,checkpoints/seedstudy_muon_seed_0/step_006000.pt
seed0_muon,1,muon,grokking_before,5400,5000,checkpoints/seedstudy_muon_seed_0/step_005000.pt
seed0_muon,1,muon,grokking_after,5400,6000,checkpoints/seedstudy_muon_seed_0/step_006000.pt
seed0_muon,1,muon,minimum_post_grokking_accuracy,91100,91000,checkpoints/seedstudy_muon_seed_0/step_091000.pt
seed0_muon,1,muon,first_post_grokking_below_90_before,16200,16000,checkpoints/seedstudy_muon_seed_0/step_016000.pt
seed0_muon,1,muon,first_post_grokking_below_90_after,16200,17000,checkpoints/seedstudy_muon_seed_0/step_017000.pt
seed0_muon,1,muon,first_99_before,5800,5000,checkpoints/seedstudy_muon_seed_0/step_005000.pt
seed0_muon,1,muon,first_99_after,5800,6000,checkpoints/seedstudy_muon_seed_0/step_006000.pt
seed0_stable_muon,1,stable_muon,regular_stride,0,0,checkpoints/seedstudy_stable_muon_seed_0/step_000000.pt
seed0_stable_muon,1,stable_muon,regular_stride,25000,25000,checkpoints/seedstudy_stable_muon_seed_0/step_025000.pt
seed0_stable_muon,1,stable_muon,regular_stride,50000,50000,checkpoints/seedstudy_stable_muon_seed_0/step_050000.pt
seed0_stable_muon,1,stable_muon,regular_stride,75000,75000,checkpoints/seedstudy_stable_muon_seed_0/step_075000.pt
seed0_stable_muon,1,stable_muon,regular_stride,100000,100000,checkpoints/seedstudy_stable_muon_seed_0/step_100000.pt
seed0_stable_muon,1,stable_muon,initial,0,0,checkpoints/seedstudy_stable_muon_seed_0/step_000000.pt
seed0_stable_muon,1,stable_muon,final,100000,100000,checkpoints/seedstudy_stable_muon_seed_0/step_100000.pt
seed0_stable_muon,1,stable_muon,maximum_test_accuracy,6500,6000,checkpoints/seedstudy_stable_muon_seed_0/step_006000.pt
seed0_stable_muon,1,stable_muon,grokking_before,5400,5000,checkpoints/seedstudy_stable_muon_seed_0/step_005000.pt
seed0_stable_muon,1,stable_muon,grokking_after,5400,6000,checkpoints/seedstudy_stable_muon_seed_0/step_006000.pt
seed0_stable_muon,1,stable_muon,minimum_post_grokking_accuracy,5400,5000,checkpoints/seedstudy_stable_muon_seed_0/step_005000.pt
seed0_stable_muon,1,stable_muon,first_99_before,5800,5000,checkpoints/seedstudy_stable_muon_seed_0/step_005000.pt
seed0_stable_muon,1,stable_muon,first_99_after,5800,6000,checkpoints/seedstudy_stable_muon_seed_0/step_006000.pt
seed0_stable_muon,1,stable_muon,freeze_before,7500,7000,checkpoints/seedstudy_stable_muon_seed_0/step_007000.pt
seed0_stable_muon,1,stable_muon,freeze_after,7500,8000,checkpoints/seedstudy_stable_muon_seed_0/step_008000.pt
seed0_adamw_stable,1,adamw,regular_stride,0,0,checkpoints/seedstudy_adamw_stable_seed_0/step_000000.pt
seed0_adamw_stable,1,adamw,regular_stride,25000,25000,checkpoints/seedstudy_adamw_stable_seed_0/step_025000.pt
seed0_adamw_stable,1,adamw,regular_stride,50000,50000,checkpoints/seedstudy_adamw_stable_seed_0/step_050000.pt
seed0_adamw_stable,1,adamw,regular_stride,75000,75000,checkpoints/seedstudy_adamw_stable_seed_0/step_075000.pt
seed0_adamw_stable,1,adamw,regular_stride,100000,100000,checkpoints/seedstudy_adamw_stable_seed_0/step_100000.pt
seed0_adamw_stable,1,adamw,initial,0,0,checkpoints/seedstudy_adamw_stable_seed_0/step_000000.pt
seed0_adamw_stable,1,adamw,final,100000,100000,checkpoints/seedstudy_adamw_stable_seed_0/step_100000.pt
seed0_adamw_stable,1,adamw,maximum_test_accuracy,9500,9000,checkpoints/seedstudy_adamw_stable_seed_0/step_009000.pt
seed0_adamw_stable,1,adamw,grokking_before,8800,8000,checkpoints/seedstudy_adamw_stable_seed_0/step_008000.pt
seed0_adamw_stable,1,adamw,grokking_after,8800,9000,checkpoints/seedstudy_adamw_stable_seed_0/step_009000.pt
seed0_adamw_stable,1,adamw,minimum_post_grokking_accuracy,93700,94000,checkpoints/seedstudy_adamw_stable_seed_0/step_094000.pt
seed0_adamw_stable,1,adamw,first_99_before,9000,9000,checkpoints/seedstudy_adamw_stable_seed_0/step_009000.pt
seed0_adamw_stable,1,adamw,first_99_after,9000,9000,checkpoints/seedstudy_adamw_stable_seed_0/step_009000.pt
seed1_muon,1,muon,regular_stride,0,0,checkpoints/seedstudy_muon_seed_1/step_000000.pt
seed1_muon,1,muon,regular_stride,25000,25000,checkpoints/seedstudy_muon_seed_1/step_025000.pt
seed1_muon,1,muon,regular_stride,50000,50000,checkpoints/seedstudy_muon_seed_1/step_050000.pt
seed1_muon,1,muon,regular_stride,75000,75000,checkpoints/seedstudy_muon_seed_1/step_075000.pt
seed1_muon,1,muon,regular_stride,100000,100000,checkpoints/seedstudy_muon_seed_1/step_100000.pt
seed1_muon,1,muon,initial,0,0,checkpoints/seedstudy_muon_seed_1/step_000000.pt
seed1_muon,1,muon,final,100000,100000,checkpoints/seedstudy_muon_seed_1/step_100000.pt
seed1_muon,1,muon,maximum_test_accuracy,6500,6000,checkpoints/seedstudy_muon_seed_1/step_006000.pt
seed1_muon,1,muon,grokking_before,5300,5000,checkpoints/seedstudy_muon_seed_1/step_005000.pt
seed1_muon,1,muon,grokking_after,5300,6000,checkpoints/seedstudy_muon_seed_1/step_006000.pt
seed1_muon,1,muon,minimum_post_grokking_accuracy,52700,53000,checkpoints/seedstudy_muon_seed_1/step_053000.pt
seed1_muon,1,muon,first_post_grokking_below_90_before,18000,18000,checkpoints/seedstudy_muon_seed_1/step_018000.pt
seed1_muon,1,muon,first_post_grokking_below_90_after,18000,18000,checkpoints/seedstudy_muon_seed_1/step_018000.pt
seed1_muon,1,muon,first_99_before,5600,5000,checkpoints/seedstudy_muon_seed_1/step_005000.pt
seed1_muon,1,muon,first_99_after,5600,6000,checkpoints/seedstudy_muon_seed_1/step_006000.pt
seed1_stable_muon,1,stable_muon,regular_stride,0,0,checkpoints/seedstudy_stable_muon_seed_1/step_000000.pt
seed1_stable_muon,1,stable_muon,regular_stride,25000,25000,checkpoints/seedstudy_stable_muon_seed_1/step_025000.pt
seed1_stable_muon,1,stable_muon,regular_stride,50000,50000,checkpoints/seedstudy_stable_muon_seed_1/step_050000.pt
seed1_stable_muon,1,stable_muon,regular_stride,75000,75000,checkpoints/seedstudy_stable_muon_seed_1/step_075000.pt
seed1_stable_muon,1,stable_muon,regular_stride,100000,100000,checkpoints/seedstudy_stable_muon_seed_1/step_100000.pt
seed1_stable_muon,1,stable_muon,initial,0,0,checkpoints/seedstudy_stable_muon_seed_1/step_000000.pt
seed1_stable_muon,1,stable_muon,final,100000,100000,checkpoints/seedstudy_stable_muon_seed_1/step_100000.pt
seed1_stable_muon,1,stable_muon,maximum_test_accuracy,6500,6000,checkpoints/seedstudy_stable_muon_seed_1/step_006000.pt
seed1_stable_muon,1,stable_muon,grokking_before,5300,5000,checkpoints/seedstudy_stable_muon_seed_1/step_005000.pt
seed1_stable_muon,1,stable_muon,grokking_after,5300,6000,checkpoints/seedstudy_stable_muon_seed_1/step_006000.pt
seed1_stable_muon,1,stable_muon,minimum_post_grokking_accuracy,5300,5000,checkpoints/seedstudy_stable_muon_seed_1/step_005000.pt
seed1_stable_muon,1,stable_muon,first_99_before,5600,5000,checkpoints/seedstudy_stable_muon_seed_1/step_005000.pt
seed1_stable_muon,1,stable_muon,first_99_after,5600,6000,checkpoints/seedstudy_stable_muon_seed_1/step_006000.pt
seed1_stable_muon,1,stable_muon,freeze_before,7400,7000,checkpoints/seedstudy_stable_muon_seed_1/step_007000.pt
seed1_stable_muon,1,stable_muon,freeze_after,7400,8000,checkpoints/seedstudy_stable_muon_seed_1/step_008000.pt
seed1_adamw_stable,1,adamw,regular_stride,0,0,checkpoints/seedstudy_adamw_stable_seed_1/step_000000.pt
seed1_adamw_stable,1,adamw,regular_stride,25000,25000,checkpoints/seedstudy_adamw_stable_seed_1/step_025000.pt
seed1_adamw_stable,1,adamw,regular_stride,50000,50000,checkpoints/seedstudy_adamw_stable_seed_1/step_050000.pt
seed1_adamw_stable,1,adamw,regular_stride,75000,75000,checkpoints/seedstudy_adamw_stable_seed_1/step_075000.pt
seed1_adamw_stable,1,adamw,regular_stride,100000,100000,checkpoints/seedstudy_adamw_stable_seed_1/step_100000.pt
seed1_adamw_stable,1,adamw,initial,0,0,checkpoints/seedstudy_adamw_stable_seed_1/step_000000.pt
seed1_adamw_stable,1,adamw,final,100000,100000,checkpoints/seedstudy_adamw_stable_seed_1/step_100000.pt
seed1_adamw_stable,1,adamw,maximum_test_accuracy,8800,9000,checkpoints/seedstudy_adamw_stable_seed_1/step_009000.pt
seed1_adamw_stable,1,adamw,grokking_before,8300,8000,checkpoints/seedstudy_adamw_stable_seed_1/step_008000.pt
seed1_adamw_stable,1,adamw,grokking_after,8300,9000,checkpoints/seedstudy_adamw_stable_seed_1/step_009000.pt
seed1_adamw_stable,1,adamw,minimum_post_grokking_accuracy,99700,100000,checkpoints/seedstudy_adamw_stable_seed_1/step_100000.pt
seed1_adamw_stable,1,adamw,first_post_grokking_below_90_before,99700,99000,checkpoints/seedstudy_adamw_stable_seed_1/step_099000.pt
seed1_adamw_stable,1,adamw,first_post_grokking_below_90_after,99700,100000,checkpoints/seedstudy_adamw_stable_seed_1/step_100000.pt
seed1_adamw_stable,1,adamw,first_99_before,8400,8000,checkpoints/seedstudy_adamw_stable_seed_1/step_008000.pt
seed1_adamw_stable,1,adamw,first_99_after,8400,9000,checkpoints/seedstudy_adamw_stable_seed_1/step_009000.pt
seed2_muon,1,muon,regular_stride,0,0,checkpoints/seedstudy_muon_seed_2/step_000000.pt
seed2_muon,1,muon,regular_stride,25000,25000,checkpoints/seedstudy_muon_seed_2/step_025000.pt
seed2_muon,1,muon,regular_stride,50000,50000,checkpoints/seedstudy_muon_seed_2/step_050000.pt
seed2_muon,1,muon,regular_stride,75000,75000,checkpoints/seedstudy_muon_seed_2/step_075000.pt
seed2_muon,1,muon,regular_stride,100000,100000,checkpoints/seedstudy_muon_seed_2/step_100000.pt
seed2_muon,1,muon,initial,0,0,checkpoints/seedstudy_muon_seed_2/step_000000.pt
seed2_muon,1,muon,final,100000,100000,checkpoints/seedstudy_muon_seed_2/step_100000.pt
