step,regime,num_layers,modulus,train_fraction,d_model,num_heads,d_mlp,parameter_count,hidden_matrix_count,initialization_scheme,train_loss,train_accuracy,test_loss,test_accuracy,elapsed_seconds,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step,hidden_applied_update_norm,hidden_gradient_component_norm,hidden_decay_component_norm,hidden_applied_update_rms,hidden_parameter_norm,auxiliary_applied_update_norm,auxiliary_gradient_component_norm,auxiliary_decay_component_norm,auxiliary_applied_update_rms,auxiliary_parameter_norm,readout_applied_update_norm,readout_gradient_component_norm,readout_decay_component_norm,readout_applied_update_rms,readout_parameter_norm
0,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,4.980867385864258,0.008616187609732151,4.986128330230713,0.009061416611075401,0.692773999995552,nan,nan,6.107773780822754,nan,nan,nan,nan,nan,0,0,0,,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan
100,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.004758980590850115,0.9989556074142456,45.386924743652344,0.0012305626878514886,19.423632124904543,67.70536697510254,114.09595992807655,6.601910591125488,0.020842280877820973,0.0029582026532391018,0.016427231952548027,0.9070809295948433,0.014862941578030586,0,0,0,,0.7337075307832313,0.907079852786171,0.20129446725199457,0.0016547118765787275,67.70536697510254,0.11208256515452855,0.007252670039274714,0.11420783177363625,0.0009158833122699932,114.09595992807655,0.0014684422455922756,0.0012651574555692512,0.0016507258482517458,1.220991564851335e-05,6.6019097989473
200,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.011124934069812298,0.9979112148284912,47.6324577331543,0.0013424319913610816,77.43682620790787,74.39801304816424,103.34766134795666,6.448035717010498,0.19915103138493304,0.04790127130679878,0.2388163059949875,0.8965562570466716,0.01612565480172634,0,0,0,,0.8779929406188729,0.8965560828819455,0.22329217593721362,0.0019801150805191306,74.39801304816424,0.10738873242315249,0.02930865249697985,0.10345096915694824,0.000877527631675719,103.34766134795666,0.004850242332020416,0.004622700605310154,0.0016123771966427543,4.032916509081498e-05,6.448035833712346
300,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.00173182412981987,1.0,39.59331130981445,0.0014543014112859964,128.5668752079364,75.16200409359415,93.55359107144716,6.303248882293701,0.09684466588569379,0.04518485582518476,0.05373873934149742,0.8950767753211325,0.013531121425330639,0,0,0,,0.840648286187022,0.8950763402087921,0.22518055875083978,0.0018958926340776358,75.16200409359415,0.09433674696754334,0.013448322090581213,0.0936469637587056,0.0007708732590326417,93.55359107144716,0.00211438855505945,0.0015641152008180805,0.0015761695513659935,1.758087931816834e-05,6.30324819223164
400,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.003465617774054408,0.9986945390701294,44.00625228881836,0.002237386768683791,175.10674162500072,80.51029345615953,84.66758978215029,6.157164573669434,0.1841055591742427,0.11018967518696197,0.07960539311170578,0.8795147876851593,0.015291388146579266,0,0,0,,0.8297188005849571,0.8795144003596634,0.24135116438177295,0.0018712436440211657,80.51029345615953,0.08517022956769146,0.011370900663386143,0.08475199748236287,0.000695969010485314,84.66758978215029,0.0017750195860003442,0.0010131066795714277,0.001539655985624503,1.4759068315132718e-05,6.1571643323888985
500,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.00023705999774392694,1.0,42.870323181152344,0.002908602822571993,219.68817829096224,83.56458804154856,76.62102107826477,6.01295804977417,0.005211600577245783,0.00309173143921569,0.0042053465731441975,0.9036793684961676,0.015346230007708073,0,0,0,,0.8357191238008485,0.9036789169686775,0.25034870393177155,0.0018847760198958518,83.56458804154856,0.0766136247880675,0.0032947213425555287,0.07669756391211449,0.0006260486663484488,76.62102107826477,0.001506198958165372,0.00042155725810849094,0.0015036012823440215,1.2523858043637464e-05,6.012958037648087
600,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.0016984959365800023,1.0,52.49435043334961,0.0019017787417396903,269.8697346249828,91.82581867557232,69.34843457168077,5.872982978820801,0.19857819781755107,0.1369723294550105,0.14732694625854492,0.8927087863655091,0.016243917867541313,0,0,0,,0.8777521149807856,0.8927085241631848,0.2757345538216168,0.00197957195260125,91.82581867557232,0.07413591422146687,0.027140063508994724,0.06941742007846044,0.000605802040502084,69.34843457168077,0.003951055051081841,0.003751049701207876,0.0014685601723408135,3.2852534065365394e-05,5.872983122984839
700,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.0003064860648009926,1.0,50.23775100708008,0.002908602822571993,312.9354781250004,93.44008750228498,62.76345911111613,5.7361040115356445,0.04585298975094872,0.03047177394310784,0.040916863828897476,0.8795571891106351,0.014942747540771961,0,0,0,,0.8435770557507845,0.8795566375364079,0.2803977903715923,0.0019024978133590131,93.44008750228498,0.06310183961205822,0.006520268382102822,0.06282622287145335,0.0005156370377011009,62.76345911111613,0.001795793944637174,0.0011424405315982628,0.0014343723486550674,1.493180453773121e-05,5.736103142380216
800,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.0027864098083227873,0.9994778037071228,53.843563079833984,0.002349256072193384,359.9297416249756,99.17078614990582,56.80253736433689,5.600973129272461,0.2146995089468762,0.1787708331584533,0.159585639834404,0.9040816742639195,0.014400890097022057,0,0,0,,0.909417905475867,0.904081490502971,0.2979959691183666,0.0020509870020795212,99.17078614990582,0.0655761618319486,0.03440233707427029,0.05685836382217537,0.0005358559756532441,56.80253736433689,0.005972074210764162,0.005869084757819307,0.0014005265278112997,4.965705840932253e-05,5.60097353958784
900,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,1.5953130514390068e-06,1.0,73.53474426269531,0.002349256072193384,415.467787707923,114.11181394559569,51.41081176945965,5.469608783721924,2.0040178400225854e-05,8.493627763743735e-06,4.977396019967273e-05,0.8955891285754419,0.015782000496983528,0,0,0,,0.6747677950578371,0.8955871507577895,0.3413189983097172,0.0015217865942075488,114.11181394559569,0.051458733560179166,2.5539926439812378e-05,0.05146227049679762,0.00042049533103866263,51.41081176945965,0.001366252896653938,7.908910478396877e-06,0.001367743938120769,1.136022385133249e-05,5.469609521645642
