step,regime,modulus,train_fraction,d_model,num_heads,d_mlp,train_loss,train_accuracy,test_loss,test_accuracy,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step
0,stable_muon,113,0.3,128,4,512,5.186100959777832,0.007571801543235779,5.174230575561523,0.008390200324356556,19.585105107656336,123.10922682798059,6.175757884979248,nan,nan,nan,nan,nan,0,0,0,
100,stable_muon,113,0.3,128,4,512,0.0058013745583593845,0.9994778037071228,38.268375396728516,0.00022373867977876216,63.93693749867945,114.19527367719787,6.5792083740234375,13.137731226191956,2.1218348487024064,1.8424904346466064,0.8683066867347008,0.012737992219626904,0,0,0,
200,stable_muon,113,0.3,128,4,512,0.00221824087202549,0.9997389316558838,53.15666580200195,0.0005593466921709478,76.47532604764037,103.42249808646257,6.43528413772583,0.10041622332068528,0.015928471783655532,0.13301627337932587,0.900153120397633,0.018358370289206505,0,0,0,
300,stable_muon,113,0.3,128,4,512,0.00594860315322876,0.9986945390701294,47.46435546875,0.0010068240808323026,78.71987086087057,93.59906889837734,6.2867207527160645,0.075727751936504,0.011777005508439235,0.11816129833459854,0.8697634987257825,0.013436741195619106,0,0,0,
400,stable_muon,113,0.3,128,4,512,0.0007609300664626062,1.0,43.00675582885742,0.0012305626878514886,80.01108259760443,84.7092146315696,6.1416497230529785,0.04750984974949805,0.010749735945422298,0.06823643296957016,0.8925616655072213,0.015314381569623947,0,0,0,
500,stable_muon,113,0.3,128,4,512,0.0007327802013605833,1.0,43.7196044921875,0.0019017787417396903,83.47102399497093,76.65909886177965,5.996650218963623,0.01393685033191908,0.004436059576866328,0.019573204219341278,0.8966124922182591,0.015058389864861965,0,0,0,
600,stable_muon,113,0.3,128,4,512,0.0008966387249529362,1.0,43.55790710449219,0.0014543014112859964,86.26417769139451,69.37015791527912,5.854596138000488,0.018351300028269377,0.005774906129025456,0.027892686426639557,0.8524194066870348,0.012814927846193314,0,0,0,
700,stable_muon,113,0.3,128,4,512,0.0002749643172137439,1.0,39.93509292602539,0.0014543014112859964,86.72899688670132,62.78012897381785,5.716469764709473,0.002612411626471195,0.0011204331667926135,0.0039624725468456745,0.9068316425247284,0.01620292104780674,0,0,0,
800,stable_muon,113,0.3,128,4,512,0.005684121511876583,0.9989556074142456,84.40475463867188,0.002013648161664605,112.5933738319278,56.80567307239736,5.576914310455322,0.3047321358868354,0.1188748571878464,0.656614363193512,0.8660572812173892,0.014144301414489746,0,0,0,
900,stable_muon,113,0.3,128,4,512,0.00018824887229129672,1.0,54.17273712158203,0.003020472126081586,102.22186769415065,51.44776685622473,5.461983680725098,0.012927844340183335,0.011686455378493164,0.016453921794891357,0.8913117549759282,0.013781658373773098,0,0,0,
1000,stable_muon,113,0.3,128,4,512,1.437914193047618e-06,1.0,66.76695251464844,0.0036916881799697876,112.89031716880464,46.555292634569334,5.329278945922852,1.5142391234788795e-05,6.721163277208253e-06,3.7207628338364884e-05,0.9035989377189082,0.01671724021434784,0,0,0,
1100,stable_muon,113,0.3,128,4,512,2.6456365986859964e-09,1.0,122.59742736816406,0.003244210733100772,146.25152287189624,42.12296420286021,5.197710990905762,2.0691014803612744e-07,1.25825912473975e-07,7.232458187900193e-07,0.8615107901696579,0.014156769961118698,0,0,0,
1200,stable_muon,113,0.3,128,4,512,0.00024332535394933075,1.0,62.74412536621094,0.004698512144386768,121.24515108866831,38.222947552074054,5.105160236358643,0.004172590613161945,0.0031149444827408097,0.00945856049656868,0.898712546595767,0.015332738868892193,0,0,0,
1300,stable_muon,113,0.3,128,4,512,3.0792074312557816e-07,1.0,81.39282989501953,0.005369727965444326,136.37222303007294,34.58686441999269,4.980191230773926,4.34494548293762e-06,3.078903417058816e-06,1.356333086732775e-05,0.903669308635924,0.01378917321562767,0,0,0,
1400,stable_muon,113,0.3,128,4,512,3.797266501237573e-09,1.0,100.5098648071289,0.006488421466201544,164.23251368488147,31.293972382558678,4.857226371765137,2.903004772197077e-07,3.283192975422479e-07,8.978097412182251e-07,0.8893647462952248,0.014946694485843182,0,0,0,
1500,stable_muon,113,0.3,128,4,512,4.4080628867959604e-05,1.0,62.11226272583008,0.005817205645143986,138.13710387407508,28.3689612995595,4.748391628265381,0.00043651509279824885,0.00040863891601879246,0.001433426747098565,0.9051105370136265,0.015629686415195465,0,0,0,
1600,stable_muon,113,0.3,128,4,512,7.63810774628837e-08,1.0,74.06533813476562,0.005705336108803749,150.15053085098745,25.668963656548872,4.631463050842285,9.557811847650628e-07,9.970246863575944e-07,3.595923317334382e-06,0.8997808777408739,0.0137209203094244,0,0,0,
1700,stable_muon,113,0.3,128,4,512,2.8386113015699266e-08,1.0,58.26622009277344,0.006152813322842121,164.6661669246413,23.225107515686155,4.517106056213379,4.098553546056709e-06,7.659539249211376e-06,1.1744922630896326e-05,0.6343906459822946,0.011199328117072582,0,0,0,
1800,stable_muon,113,0.3,128,4,512,1.9204208001610823e-08,1.0,24.487411499023438,0.009397024288773537,136.46851518276983,21.0139230070473,4.405572891235352,3.2202183775955913e-07,4.2040511995638905e-07,3.794386884692358e-06,0.878389985433454,0.014075293205678463,0,0,0,
1900,stable_muon,113,0.3,128,4,512,1.3041431046190155e-08,1.0,39.97065353393555,0.005817205645143986,141.4040446102188,19.01325648993579,4.296797752380371,7.815313760870973e-07,4.414194014631822e-07,1.3689350453205407e-05,0.828644933356287,0.013392576016485691,0,0,0,
2000,stable_muon,113,0.3,128,4,512,0.00026639000861905515,1.0,31.94852638244629,0.012529365718364716,128.98867450542167,18.087542481078877,4.248114585876465,0.001708539632950982,0.0020482071408089667,0.007625780999660492,0.914332229725059,0.014490884728729725,0,0,0,
2100,stable_muon,113,0.3,128,4,512,2.6334959102314315e-07,1.0,50.99550247192383,0.019465263932943344,153.24618348100995,16.36946683892116,4.143509387969971,2.75048741056546e-06,4.408356395875613e-06,1.268231699214084e-05,0.9197504294613733,0.015326270833611488,0,0,0,
2200,stable_muon,113,0.3,128,4,512,1.4317562690990826e-09,1.0,66.94696044921875,0.020136481150984764,182.00258992034648,14.810991206093126,4.041201114654541,7.191470554346826e-08,1.7085646010213685e-07,6.254342110878497e-07,0.8906226661121865,0.016193537041544914,0,0,0,
2300,stable_muon,113,0.3,128,4,512,3.156088723699213e-08,1.0,13.624092102050781,0.03602192550897598,153.9475137976105,13.400886467176099,3.941418170928955,1.7262716358479304e-07,4.82617847562857e-07,1.7489392121206038e-06,0.8893069113884524,0.015416045673191547,0,0,0,
2400,stable_muon,113,0.3,128,4,512,1.3632809547914349e-08,1.0,11.490954399108887,0.051459893584251404,144.71783589201374,12.12503143871135,3.844099283218384,9.469822040518263e-08,1.3380768346394545e-07,3.237236114728148e-06,0.805269158768716,0.012259067967534065,0,0,0,
2500,stable_muon,113,0.3,128,4,512,7.93690979605799e-09,1.0,16.95059585571289,0.0476563386619091,150.3498365245269,10.970648682949864,3.749182939529419,2.5612531230615433e-07,1.9346280680434066e-07,7.139969966374338e-06,0.792017393509955,0.012098263017833233,0,0,0,
2600,stable_muon,113,0.3,128,4,512,5.540274017334923e-09,1.0,22.719966888427734,0.04989372566342354,156.867785207881,9.926169157282231,3.6566104888916016,5.320556792496052e-07,3.4156260687121973e-07,1.091623562388122e-05,0.7914879002528836,0.013232216238975525,0,0,0,
2700,stable_muon,113,0.3,128,4,512,3.9821480868340586e-07,1.0,16.64560890197754,0.0409441776573658,147.94606211058567,8.981396032633237,3.5663278102874756,2.3422656953234685e-06,6.166873764311759e-06,2.3599328415002674e-05,0.889231980411613,0.017265718430280685,0,0,0,
2800,stable_muon,113,0.3,128,4,512,1.8550579738985107e-08,1.0,13.055825233459473,0.08345452696084976,156.04030796438974,8.126341782614,3.478271007537842,1.0425281632374108e-07,2.3273602402311308e-07,5.49283686268609e-06,0.8842204251317399,0.013233491219580173,0,0,0,
2900,stable_muon,113,0.3,128,4,512,1.1827551382737056e-08,1.0,13.334300994873047,0.09743819385766983,161.1218541881582,7.352661747171767,3.392387628555298,1.9132561806189873e-07,5.380988943948533e-07,1.1645104677882046e-05,0.7867068767221824,0.01243313867598772,0,0,0,
3000,stable_muon,113,0.3,128,4,512,8.746163793205142e-09,1.0,17.929080963134766,0.09296341985464096,171.29369943575458,6.652644963428553,3.3086252212524414,2.2479566796523545e-07,8.691372678079738e-07,1.5842215361772105e-05,0.769264709901517,0.013085460290312767,0,0,0,
3100,stable_muon,113,0.3,128,4,512,8.403786111443878e-09,1.0,20.806608200073242,0.09631949663162231,180.91548430340455,6.019279598528788,3.226930618286133,4.097846619082829e-07,1.2242424208858523e-06,2.06679105758667e-05,0.7741068947501929,0.013715210370719433,0,0,0,
3200,stable_muon,113,0.3,128,4,512,1.3290433642509925e-08,1.0,22.063430786132812,0.108625128865242,189.29391120454483,5.446222418110169,3.1472535133361816,5.415051114357701e-07,1.5910567604952046e-06,2.4132363250828348e-05,0.7758587146223976,0.013862506486475468,0,0,0,
3300,stable_muon,113,0.3,128,4,512,1.2512304969902743e-08,1.0,21.985870361328125,0.12305627018213272,196.55114902312505,4.9277309061370795,3.0695436000823975,4.58404503512925e-07,2.093857523657243e-06,2.6445737603353336e-05,0.7749669565374974,0.014337513595819473,0,0,0,
3400,stable_muon,113,0.3,128,4,512,1.5251316654030234e-08,1.0,20.502582550048828,0.15079987049102783,203.31563064604464,4.4586130831941855,2.9937527179718018,5.154651131623191e-07,2.5507587065185202e-06,2.8910999390063807e-05,0.7795933294609317,0.014693088829517365,0,0,0,
3500,stable_muon,113,0.3,128,4,512,1.640294478022497e-08,1.0,18.17389488220215,0.18794047832489014,209.59674190779404,4.034168693433295,2.9198334217071533,4.333060412395234e-07,2.9649114296518863e-06,2.96343114314368e-05,0.7823126010104684,0.01445356011390686,0,0,0,
3600,stable_muon,113,0.3,128,4,512,1.7959202125439333e-08,1.0,15.85970687866211,0.23380690813064575,215.14046059738416,3.6501428797948643,2.8477392196655273,2.884214412662828e-07,3.0156012070586255e-06,2.8420419766916893e-05,0.7845135892455741,0.012748376466333866,0,0,0,
3700,stable_muon,113,0.3,128,4,512,2.43398563526398e-08,1.0,14.077112197875977,0.2724018394947052,219.99104130321686,3.302687281922296,2.7774250507354736,3.732721292636955e-07,3.2188438514259703e-06,2.8451600883272476e-05,0.7904375451417509,0.013954058289527893,0,0,0,
3800,stable_muon,113,0.3,128,4,512,2.6518616635939907e-08,1.0,12.160415649414062,0.32039377093315125,224.3988132387638,2.988323900665815,2.7088475227355957,2.422394726822127e-07,3.3319503070815984e-06,2.7999354642815888e-05,0.7931673829485569,0.014106723479926586,0,0,0,
3900,stable_muon,113,0.3,128,4,512,2.7452371043068524e-08,1.0,9.912118911743164,0.37487414479255676,228.13060753948778,2.7039003240902475,2.641963005065918,1.5061726224246662e-07,3.0460021408533292e-06,2.5264582291129045e-05,0.7997838514254104,0.014439950697124004,0,0,0,
4000,stable_muon,113,0.3,128,4,512,3.205888887691799e-08,1.0,8.088494300842285,0.42622217535972595,231.21318574409955,2.446563104386693,2.576730251312256,1.218912452995143e-07,2.7431488347344084e-06,2.2437756342696957e-05,0.8040392779425538,0.014731847681105137,0,0,0,
4100,stable_muon,113,0.3,128,4,512,3.551377858457272e-08,1.0,6.970168590545654,0.46347466111183167,234.5345879110152,2.213741483812664,2.513108491897583,1.4841311883968192e-07,2.720940200500774e-06,2.100516030623112e-05,0.8097059297392578,0.014056005515158176,0,0,0,
4200,stable_muon,113,0.3,128,4,512,3.80037903369157e-08,1.0,5.895277976989746,0.4952455461025238,237.541772950636,2.0031061524718416,2.4510579109191895,9.522950959457276e-08,2.572271283054001e-06,1.844287726271432e-05,0.8173304733350492,0.014879072085022926,0,0,0,
4300,stable_muon,113,0.3,128,4,512,5.1076348484002665e-08,1.0,4.773873329162598,0.5363016128540039,240.91426871256965,1.8125567711436346,2.3905396461486816,8.869812031905556e-08,2.5402757153204353e-06,1.4789051419938914e-05,0.8335421585756473,0.015362759120762348,0,0,0,
4400,stable_muon,113,0.3,128,4,512,6.965805710024142e-08,1.0,3.766831874847412,0.5703098773956299,244.80461904446938,1.6402130095193548,2.3315162658691406,1.4827163357411828e-07,2.4931639132765427e-06,1.06152019725414e-05,0.8437099615151343,0.015066681429743767,0,0,0,
4500,stable_muon,113,0.3,128,4,512,1.1460275572972023e-07,1.0,2.934664487838745,0.594473659992218,247.78777752223596,1.4844229088562824,2.273952007293701,1.0386260728810543e-07,3.3714313723695638e-06,8.166378393070772e-06,0.8381288703153535,0.014221812598407269,0,0,0,
4600,stable_muon,113,0.3,128,4,512,1.590183131838785e-07,1.0,2.192722797393799,0.6383264064788818,250.58931840525298,1.3437475206057559,2.2178115844726562,1.3785744922577327e-07,4.704989374045084e-06,7.155824278015643e-06,0.8501180029532515,0.015526451170444489,0,0,0,
4700,stable_muon,113,0.3,128,4,512,1.9920086913316482e-07,1.0,1.639299988746643,0.6825148463249207,254.84974837201398,1.216800279537695,2.163060426712036,1.5791973272086856e-07,6.566213410509014e-06,5.930753559368895e-06,0.8689337032599553,0.01665801741182804,0,0,0,
4800,stable_muon,113,0.3,128,4,512,2.4402106646448374e-07,1.0,1.2702250480651855,0.7199910283088684,260.30195838129737,1.1024525799340796,2.1096651554107666,1.7016775989061646e-07,9.092381288964542e-06,4.661830189434113e-06,0.8850377715747741,0.016149530187249184,0,0,0,
