step,regime,num_layers,modulus,train_fraction,d_model,num_heads,d_mlp,parameter_count,hidden_matrix_count,initialization_scheme,train_loss,train_accuracy,test_loss,test_accuracy,elapsed_seconds,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step
0,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,5.164484024047852,0.009399477392435074,5.183222770690918,0.008390200324356556,2.115126541000791,19.585105107656336,123.10922682798059,6.175757884979248,nan,nan,nan,nan,nan,0,0,0,
100,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,3.4389331340789795,0.1415143609046936,6.709098815917969,0.0003356079978402704,6.77707241603639,22.212649511437828,94.01636164381634,6.8407440185546875,0.588048538014931,0.11567131821057136,0.09346812963485718,nan,nan,0,0,0,
200,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.9184396862983704,0.8558746576309204,13.14249324798584,0.00011186933988938108,9.02924579102546,33.292085160948545,74.86190333155875,11.084046363830566,1.5698452787708368,0.2845940932364255,0.20136089622974396,nan,nan,0,0,0,
300,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.1797609180212021,1.0,15.657561302185059,0.00022373867977876216,11.281768416054547,37.91657138650677,60.40627727389849,12.965848922729492,0.28324981508746516,0.08633328742243786,0.05223635211586952,nan,nan,0,0,0,
400,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.1394752413034439,1.0,14.511423110961914,0.0003356079978402704,13.539983625058085,39.73796394726094,49.564564341402395,13.339550018310547,0.14246171542529834,0.054095486595742974,0.0440276637673378,nan,nan,0,0,0,
500,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.11730968207120895,1.0,14.102216720581055,0.0003356079978402704,15.775844375020824,41.444736700406125,42.09700844490442,13.61303997039795,0.07880060488133395,0.03360425689992046,0.038493555039167404,nan,nan,0,0,0,
600,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.10093636810779572,1.0,13.997770309448242,0.0005593466921709478,18.01215470803436,42.90829071162496,37.0164541400244,13.815332412719727,0.07043494347828648,0.036213030815692285,0.03413773328065872,nan,nan,0,0,0,
700,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.08778567612171173,1.0,13.977276802062988,0.0003356079978402704,20.2596764160553,44.16257650967384,33.549288576292284,13.944011688232422,0.061165628184120975,0.038759022815741395,0.030573800206184387,nan,nan,0,0,0,
800,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.07811407744884491,1.0,14.021259307861328,0.0007830853573977947,22.5350135830231,45.21064669823365,31.157040137131112,14.011853218078613,0.055064462373859244,0.04164637286862117,0.027852287515997887,nan,nan,0,0,0,
900,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.07036186754703522,1.0,14.106683731079102,0.0011186933843418956,24.954707583063282,45.827569016488006,29.50494806089972,14.069903373718262,0.049870780173280234,0.03805136383064104,0.025569014251232147,nan,nan,0,0,0,
1000,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.0633876770734787,1.0,14.218218803405762,0.0012305626878514886,27.236788791022263,46.201804386978445,28.328248420380273,14.118497848510742,0.04191838792799619,0.021940516112869932,0.023505574092268944,nan,nan,0,0,0,
1100,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.057927485555410385,1.0,14.321742057800293,0.0012305626878514886,29.50064312503673,46.44349903872854,27.449661161129228,14.151834487915039,0.0419719959229871,0.038948833135006355,0.02183048613369465,nan,nan,0,0,0,
