step,regime,num_layers,modulus,train_fraction,d_model,num_heads,d_mlp,parameter_count,hidden_matrix_count,initialization_scheme,train_loss,train_accuracy,test_loss,test_accuracy,elapsed_seconds,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step
0,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,5.164484024047852,0.009399477392435074,5.183222770690918,0.008390200324356556,0.22436225006822497,19.585105107656336,123.10922682798059,6.175757884979248,nan,nan,nan,nan,nan,0,0,0,
100,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.0002765231765806675,1.0,41.94498062133789,0.00022373867977876216,3.521473624976352,65.87268445502757,114.17233454050566,6.598340034484863,0.003028085047350175,0.00032606096751452323,0.003933540545403957,0.9049864220742191,0.0159231498837471,0,0,0,
200,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.007625567726790905,0.9984334111213684,50.49897766113281,0.0005593466921709478,6.642498707980849,75.17945346871339,103.37197560551093,6.446225166320801,0.30902368213839876,0.10678558690890344,0.19964805245399475,0.9019869862754373,0.016314631327986717,0,0,0,
300,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.003979796543717384,0.9992167353630066,45.816871643066406,0.0007830853573977947,9.800100833061151,78.15284676032613,93.54911285613487,6.295165061950684,0.07592156045574368,0.013869123592574105,0.10045711696147919,0.8892975936235774,0.015360411256551743,0,0,0,
400,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.002185348654165864,0.9994778037071228,45.72069549560547,0.0010068240808323026,13.034734333050437,81.4691976463718,84.65617477998524,6.145686149597168,0.03026002677589168,0.012432326188580716,0.03122684545814991,0.8623465830215309,0.012600610964000225,0,0,0,
500,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.0006183189689181745,1.0,44.65227508544922,0.0012305626878514886,17.023178667062894,83.66816139664645,76.60850204593258,5.999314785003662,0.5717409532581226,0.30890317471090606,0.18669039011001587,0.8077217876304615,0.011458709836006165,0,0,0,
600,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.0005288421525619924,0.9997389316558838,43.939208984375,0.0008949547191150486,20.99647933302913,85.97160535712307,69.32161124351494,5.8557820320129395,0.00537184301670632,0.0024200502102489363,0.006000632885843515,0.8916387832517372,0.013935013674199581,0,0,0,
700,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.0001388361706631258,1.0,45.877525329589844,0.0014543014112859964,25.003879750031047,89.48762382367832,62.72496187448523,5.714409351348877,0.0015642579913583243,0.0005362706664169805,0.0027614510618150234,0.8594431961323754,0.012442159466445446,0,0,0,
800,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.002744089812040329,0.9989556074142456,49.73775863647461,0.0019017787417396903,28.987599042011425,94.24880893775594,56.76069638571653,5.57578706741333,0.02096394508222128,0.007544324011245571,0.0461777001619339,0.6428675235077288,0.008855088613927364,0,0,0,
900,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,2.0837502233916894e-05,1.0,49.24403762817383,0.0016780400183051825,33.24250570801087,96.16127548101258,51.36730632916514,5.441532611846924,0.00017223105473886542,6.498686071870034e-05,0.00038850997225381434,0.8597280066153132,0.013219908811151981,0,0,0,
1000,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,4.48357468485483e-06,1.0,51.96929168701172,0.002237386768683791,37.22687266708817,100.95047939905945,46.479731737873905,5.308593273162842,3.265784702794465e-05,1.3439110943575695e-05,7.897193427197635e-05,0.8942619404775927,0.014675186015665531,0,0,0,
1100,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.00026837605400942266,1.0,52.58339309692383,0.0019017787417396903,41.230994458077475,106.63654498983027,42.08767775407954,5.185583114624023,0.0022237792626207844,0.0010733056276027565,0.005481536965817213,0.9001759011332743,0.014659183099865913,0,0,0,
1200,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,2.2316713454983983e-07,1.0,82.52484893798828,0.002125517465174198,45.16984075005166,127.3751159973632,38.0863631269925,5.0594482421875,3.1121938902148144e-06,1.721912582031895e-06,9.5126843007165e-06,0.8974959250186797,0.013655263930559158,0,0,0,
1300,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.012942004948854446,0.9963446259498596,102.56713104248047,0.002461125375702977,49.187590458081104,148.9839654063004,34.477611215402966,4.93932580947876,0.5010948293095223,0.45866741060715166,1.6847655773162842,0.9018282313645898,0.014470755122601986,0,0,0,
