comparison_type,run,depth,regime,target_role,target_step,target_checkpoint,reference_role,reference_step,reference_checkpoint,hidden_source,readout_source,target_baseline_accuracy,reference_baseline_accuracy,readout_weight_cosine,full_hidden_spectral_power_cosine,intervention_accuracy
within_run_reference,subtraction_depth1_muon,1,muon,first_generalized,9000,checkpoints/subtraction_depth_1_muon_seed_0/step_009000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,target_full,target_readout,0.965149998664856,1.0,0.007001215126365423,0.9994510412216187,0.965149998664856
within_run_reference,subtraction_depth1_muon,1,muon,first_generalized,9000,checkpoints/subtraction_depth_1_muon_seed_0/step_009000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,target_full,reference_readout,0.965149998664856,1.0,0.007001215126365423,0.9994510412216187,0.007674837484955788
within_run_reference,subtraction_depth1_muon,1,muon,first_generalized,9000,checkpoints/subtraction_depth_1_muon_seed_0/step_009000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,reference_full,target_readout,0.965149998664856,1.0,0.007001215126365423,0.9994510412216187,0.008066411130130291
within_run_reference,subtraction_depth1_muon,1,muon,first_generalized,9000,checkpoints/subtraction_depth_1_muon_seed_0/step_009000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,reference_full,reference_readout,0.965149998664856,1.0,0.007001215126365423,0.9994510412216187,1.0
within_run_reference,subtraction_depth1_muon,1,muon,first_generalized,9000,checkpoints/subtraction_depth_1_muon_seed_0/step_009000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,target_addition_only,target_readout,0.965149998664856,1.0,0.007001215126365423,0.9994510412216187,0.008849557489156723
within_run_reference,subtraction_depth1_muon,1,muon,first_generalized,9000,checkpoints/subtraction_depth_1_muon_seed_0/step_009000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,target_addition_only,reference_readout,0.965149998664856,1.0,0.007001215126365423,0.9994510412216187,0.008849557489156723
within_run_reference,subtraction_depth1_muon,1,muon,first_generalized,9000,checkpoints/subtraction_depth_1_muon_seed_0/step_009000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,reference_addition_only,target_readout,0.965149998664856,1.0,0.007001215126365423,0.9994510412216187,0.008849557489156723
within_run_reference,subtraction_depth1_muon,1,muon,first_generalized,9000,checkpoints/subtraction_depth_1_muon_seed_0/step_009000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,reference_addition_only,reference_readout,0.965149998664856,1.0,0.007001215126365423,0.9994510412216187,0.008849557489156723
within_run_reference,subtraction_depth1_muon,1,muon,minimum_after_first_generalized,17000,checkpoints/subtraction_depth_1_muon_seed_0/step_017000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,target_full,target_readout,0.8509671688079834,1.0,-0.006362345069646835,0.9992162585258484,0.8509671688079834
within_run_reference,subtraction_depth1_muon,1,muon,minimum_after_first_generalized,17000,checkpoints/subtraction_depth_1_muon_seed_0/step_017000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,target_full,reference_readout,0.8509671688079834,1.0,-0.006362345069646835,0.9992162585258484,0.009397760033607483
within_run_reference,subtraction_depth1_muon,1,muon,minimum_after_first_generalized,17000,checkpoints/subtraction_depth_1_muon_seed_0/step_017000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,reference_full,target_readout,0.8509671688079834,1.0,-0.006362345069646835,0.9992162585258484,0.01080742385238409
within_run_reference,subtraction_depth1_muon,1,muon,minimum_after_first_generalized,17000,checkpoints/subtraction_depth_1_muon_seed_0/step_017000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,reference_full,reference_readout,0.8509671688079834,1.0,-0.006362345069646835,0.9992162585258484,1.0
within_run_reference,subtraction_depth1_muon,1,muon,minimum_after_first_generalized,17000,checkpoints/subtraction_depth_1_muon_seed_0/step_017000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,target_addition_only,target_readout,0.8509671688079834,1.0,-0.006362345069646835,0.9992162585258484,0.008849557489156723
within_run_reference,subtraction_depth1_muon,1,muon,minimum_after_first_generalized,17000,checkpoints/subtraction_depth_1_muon_seed_0/step_017000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,target_addition_only,reference_readout,0.8509671688079834,1.0,-0.006362345069646835,0.9992162585258484,0.008849557489156723
within_run_reference,subtraction_depth1_muon,1,muon,minimum_after_first_generalized,17000,checkpoints/subtraction_depth_1_muon_seed_0/step_017000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,reference_addition_only,target_readout,0.8509671688079834,1.0,-0.006362345069646835,0.9992162585258484,0.008849557489156723
within_run_reference,subtraction_depth1_muon,1,muon,minimum_after_first_generalized,17000,checkpoints/subtraction_depth_1_muon_seed_0/step_017000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,reference_addition_only,reference_readout,0.8509671688079834,1.0,-0.006362345069646835,0.9992162585258484,0.008849557489156723
within_run_reference,subtraction_depth1_muon,1,muon,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,target_full,target_readout,1.0,1.0,1.0000005960464478,1.0000001192092896,1.0
within_run_reference,subtraction_depth1_muon,1,muon,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,target_full,reference_readout,1.0,1.0,1.0000005960464478,1.0000001192092896,1.0
within_run_reference,subtraction_depth1_muon,1,muon,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,reference_full,target_readout,1.0,1.0,1.0000005960464478,1.0000001192092896,1.0
within_run_reference,subtraction_depth1_muon,1,muon,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,reference_full,reference_readout,1.0,1.0,1.0000005960464478,1.0000001192092896,1.0
within_run_reference,subtraction_depth1_muon,1,muon,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,target_addition_only,target_readout,1.0,1.0,1.0000005960464478,1.0000001192092896,0.008849557489156723
within_run_reference,subtraction_depth1_muon,1,muon,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,target_addition_only,reference_readout,1.0,1.0,1.0000005960464478,1.0000001192092896,0.008849557489156723
within_run_reference,subtraction_depth1_muon,1,muon,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,reference_addition_only,target_readout,1.0,1.0,1.0000005960464478,1.0000001192092896,0.008849557489156723
within_run_reference,subtraction_depth1_muon,1,muon,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,maximum_accuracy_reference,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt,reference_addition_only,reference_readout,1.0,1.0,1.0000005960464478,1.0000001192092896,0.008849557489156723
within_run_reference,subtraction_depth1_adamw,1,adamw,maximum_accuracy_reference,9000,checkpoints/subtraction_depth_1_adamw_seed_0/step_009000.pt,maximum_accuracy_reference,9000,checkpoints/subtraction_depth_1_adamw_seed_0/step_009000.pt,target_full,target_readout,1.0,1.0,0.9999998211860657,1.0,1.0
