run,depth,regime,role,step,checkpoint,baseline_full_accuracy,requested_addition_power_threshold,control,replicate,selected_pair_count,source_pairs,control_pairs,target_selected_power,control_native_power,scale_factor,context,intervention_accuracy
subtraction_depth1_muon,1,muon,first_generalized,9000,checkpoints/subtraction_depth_1_muon_seed_0/step_009000.pt,0.965149998664856,0.5,random_native_addition_subset,0,17,"(39,39)/(74,74)|(56,56)/(57,57)|(23,23)/(90,90)|(21,21)/(92,92)|(7,7)/(106,106)|(6,6)/(107,107)|(35,35)/(78,78)|(52,52)/(61,61)|(42,42)/(71,71)|(48,48)/(65,65)|(20,20)/(93,93)|(1,1)/(112,112)|(10,10)/(103,103)|(45,45)/(68,68)|(53,53)/(60,60)|(50,50)/(63,63)|(19,19)/(94,94)","(45,45)/(68,68)|(37,37)/(76,76)|(48,48)/(65,65)|(42,42)/(71,71)|(56,56)/(57,57)|(12,12)/(101,101)|(30,30)/(83,83)|(25,25)/(88,88)|(27,27)/(86,86)|(53,53)/(60,60)|(20,20)/(93,93)|(3,3)/(110,110)|(10,10)/(103,103)|(44,44)/(69,69)|(17,17)/(96,96)|(28,28)/(85,85)|(39,39)/(74,74)",303898988.0,211108805.0,1.0,addition_only,0.008849557489156723
subtraction_depth1_muon,1,muon,first_generalized,9000,checkpoints/subtraction_depth_1_muon_seed_0/step_009000.pt,0.965149998664856,0.5,equal_power_frequency_relocation,0,17,"(39,39)/(74,74)|(56,56)/(57,57)|(23,23)/(90,90)|(21,21)/(92,92)|(7,7)/(106,106)|(6,6)/(107,107)|(35,35)/(78,78)|(52,52)/(61,61)|(42,42)/(71,71)|(48,48)/(65,65)|(20,20)/(93,93)|(1,1)/(112,112)|(10,10)/(103,103)|(45,45)/(68,68)|(53,53)/(60,60)|(50,50)/(63,63)|(19,19)/(94,94)","(28,28)/(85,85)|(52,52)/(61,61)|(13,13)/(100,100)|(54,54)/(59,59)|(20,20)/(93,93)|(36,36)/(77,77)|(50,50)/(63,63)|(3,3)/(110,110)|(21,21)/(92,92)|(35,35)/(78,78)|(8,8)/(105,105)|(25,25)/(88,88)|(17,17)/(96,96)|(5,5)/(108,108)|(24,24)/(89,89)|(48,48)/(65,65)|(42,42)/(71,71)",303898988.0,303898988.0,1.0,addition_only,0.008849557489156723
subtraction_depth1_muon,1,muon,first_generalized,9000,checkpoints/subtraction_depth_1_muon_seed_0/step_009000.pt,0.965149998664856,0.5,random_native_addition_subset,1,17,"(39,39)/(74,74)|(56,56)/(57,57)|(23,23)/(90,90)|(21,21)/(92,92)|(7,7)/(106,106)|(6,6)/(107,107)|(35,35)/(78,78)|(52,52)/(61,61)|(42,42)/(71,71)|(48,48)/(65,65)|(20,20)/(93,93)|(1,1)/(112,112)|(10,10)/(103,103)|(45,45)/(68,68)|(53,53)/(60,60)|(50,50)/(63,63)|(19,19)/(94,94)","(31,31)/(82,82)|(49,49)/(64,64)|(47,47)/(66,66)|(48,48)/(65,65)|(21,21)/(92,92)|(11,11)/(102,102)|(50,50)/(63,63)|(27,27)/(86,86)|(4,4)/(109,109)|(56,56)/(57,57)|(26,26)/(87,87)|(28,28)/(85,85)|(35,35)/(78,78)|(46,46)/(67,67)|(52,52)/(61,61)|(45,45)/(68,68)|(51,51)/(62,62)",303898988.0,210620943.5,1.0,addition_only,0.008849557489156723
subtraction_depth1_muon,1,muon,first_generalized,9000,checkpoints/subtraction_depth_1_muon_seed_0/step_009000.pt,0.965149998664856,0.5,equal_power_frequency_relocation,1,17,"(39,39)/(74,74)|(56,56)/(57,57)|(23,23)/(90,90)|(21,21)/(92,92)|(7,7)/(106,106)|(6,6)/(107,107)|(35,35)/(78,78)|(52,52)/(61,61)|(42,42)/(71,71)|(48,48)/(65,65)|(20,20)/(93,93)|(1,1)/(112,112)|(10,10)/(103,103)|(45,45)/(68,68)|(53,53)/(60,60)|(50,50)/(63,63)|(19,19)/(94,94)","(55,55)/(58,58)|(5,5)/(108,108)|(47,47)/(66,66)|(20,20)/(93,93)|(12,12)/(101,101)|(36,36)/(77,77)|(4,4)/(109,109)|(29,29)/(84,84)|(6,6)/(107,107)|(17,17)/(96,96)|(23,23)/(90,90)|(24,24)/(89,89)|(49,49)/(64,64)|(22,22)/(91,91)|(54,54)/(59,59)|(39,39)/(74,74)|(2,2)/(111,111)",303898988.0,303898988.0,1.0,addition_only,0.008849557489156723
subtraction_depth1_muon,1,muon,first_generalized,9000,checkpoints/subtraction_depth_1_muon_seed_0/step_009000.pt,0.965149998664856,0.5,random_native_addition_subset,2,17,"(39,39)/(74,74)|(56,56)/(57,57)|(23,23)/(90,90)|(21,21)/(92,92)|(7,7)/(106,106)|(6,6)/(107,107)|(35,35)/(78,78)|(52,52)/(61,61)|(42,42)/(71,71)|(48,48)/(65,65)|(20,20)/(93,93)|(1,1)/(112,112)|(10,10)/(103,103)|(45,45)/(68,68)|(53,53)/(60,60)|(50,50)/(63,63)|(19,19)/(94,94)","(12,12)/(101,101)|(56,56)/(57,57)|(34,34)/(79,79)|(36,36)/(77,77)|(26,26)/(87,87)|(1,1)/(112,112)|(55,55)/(58,58)|(19,19)/(94,94)|(51,51)/(62,62)|(16,16)/(97,97)|(14,14)/(99,99)|(33,33)/(80,80)|(53,53)/(60,60)|(31,31)/(82,82)|(20,20)/(93,93)|(32,32)/(81,81)|(25,25)/(88,88)",303898988.0,163735770.0,1.0,addition_only,0.008849557489156723
subtraction_depth1_muon,1,muon,first_generalized,9000,checkpoints/subtraction_depth_1_muon_seed_0/step_009000.pt,0.965149998664856,0.5,equal_power_frequency_relocation,2,17,"(39,39)/(74,74)|(56,56)/(57,57)|(23,23)/(90,90)|(21,21)/(92,92)|(7,7)/(106,106)|(6,6)/(107,107)|(35,35)/(78,78)|(52,52)/(61,61)|(42,42)/(71,71)|(48,48)/(65,65)|(20,20)/(93,93)|(1,1)/(112,112)|(10,10)/(103,103)|(45,45)/(68,68)|(53,53)/(60,60)|(50,50)/(63,63)|(19,19)/(94,94)","(5,5)/(108,108)|(30,30)/(83,83)|(3,3)/(110,110)|(52,52)/(61,61)|(41,41)/(72,72)|(38,38)/(75,75)|(16,16)/(97,97)|(21,21)/(92,92)|(15,15)/(98,98)|(44,44)/(69,69)|(26,26)/(87,87)|(33,33)/(80,80)|(55,55)/(58,58)|(8,8)/(105,105)|(51,51)/(62,62)|(18,18)/(95,95)|(7,7)/(106,106)",303898988.0,303898988.0,1.0,addition_only,0.008849557489156723
subtraction_depth1_muon,1,muon,first_generalized,9000,checkpoints/subtraction_depth_1_muon_seed_0/step_009000.pt,0.965149998664856,0.5,random_native_addition_subset,3,17,"(39,39)/(74,74)|(56,56)/(57,57)|(23,23)/(90,90)|(21,21)/(92,92)|(7,7)/(106,106)|(6,6)/(107,107)|(35,35)/(78,78)|(52,52)/(61,61)|(42,42)/(71,71)|(48,48)/(65,65)|(20,20)/(93,93)|(1,1)/(112,112)|(10,10)/(103,103)|(45,45)/(68,68)|(53,53)/(60,60)|(50,50)/(63,63)|(19,19)/(94,94)","(37,37)/(76,76)|(1,1)/(112,112)|(34,34)/(79,79)|(13,13)/(100,100)|(35,35)/(78,78)|(47,47)/(66,66)|(14,14)/(99,99)|(8,8)/(105,105)|(16,16)/(97,97)|(5,5)/(108,108)|(48,48)/(65,65)|(32,32)/(81,81)|(9,9)/(104,104)|(24,24)/(89,89)|(12,12)/(101,101)|(18,18)/(95,95)|(56,56)/(57,57)",303898988.0,181301228.5,1.0,addition_only,0.008849557489156723
subtraction_depth1_muon,1,muon,first_generalized,9000,checkpoints/subtraction_depth_1_muon_seed_0/step_009000.pt,0.965149998664856,0.5,equal_power_frequency_relocation,3,17,"(39,39)/(74,74)|(56,56)/(57,57)|(23,23)/(90,90)|(21,21)/(92,92)|(7,7)/(106,106)|(6,6)/(107,107)|(35,35)/(78,78)|(52,52)/(61,61)|(42,42)/(71,71)|(48,48)/(65,65)|(20,20)/(93,93)|(1,1)/(112,112)|(10,10)/(103,103)|(45,45)/(68,68)|(53,53)/(60,60)|(50,50)/(63,63)|(19,19)/(94,94)","(54,54)/(59,59)|(49,49)/(64,64)|(51,51)/(62,62)|(55,55)/(58,58)|(29,29)/(84,84)|(1,1)/(112,112)|(45,45)/(68,68)|(16,16)/(97,97)|(13,13)/(100,100)|(37,37)/(76,76)|(5,5)/(108,108)|(41,41)/(72,72)|(56,56)/(57,57)|(6,6)/(107,107)|(21,21)/(92,92)|(18,18)/(95,95)|(46,46)/(67,67)",303898988.0,303898988.0,1.0,addition_only,0.008849557489156723
subtraction_depth1_muon,1,muon,first_generalized,9000,checkpoints/subtraction_depth_1_muon_seed_0/step_009000.pt,0.965149998664856,0.5,random_native_addition_subset,4,17,"(39,39)/(74,74)|(56,56)/(57,57)|(23,23)/(90,90)|(21,21)/(92,92)|(7,7)/(106,106)|(6,6)/(107,107)|(35,35)/(78,78)|(52,52)/(61,61)|(42,42)/(71,71)|(48,48)/(65,65)|(20,20)/(93,93)|(1,1)/(112,112)|(10,10)/(103,103)|(45,45)/(68,68)|(53,53)/(60,60)|(50,50)/(63,63)|(19,19)/(94,94)","(25,25)/(88,88)|(20,20)/(93,93)|(31,31)/(82,82)|(23,23)/(90,90)|(38,38)/(75,75)|(34,34)/(79,79)|(33,33)/(80,80)|(17,17)/(96,96)|(44,44)/(69,69)|(5,5)/(108,108)|(9,9)/(104,104)|(42,42)/(71,71)|(19,19)/(94,94)|(1,1)/(112,112)|(51,51)/(62,62)|(2,2)/(111,111)|(52,52)/(61,61)",303898988.0,191335965.0,1.0,addition_only,0.008849557489156723
subtraction_depth1_muon,1,muon,first_generalized,9000,checkpoints/subtraction_depth_1_muon_seed_0/step_009000.pt,0.965149998664856,0.5,equal_power_frequency_relocation,4,17,"(39,39)/(74,74)|(56,56)/(57,57)|(23,23)/(90,90)|(21,21)/(92,92)|(7,7)/(106,106)|(6,6)/(107,107)|(35,35)/(78,78)|(52,52)/(61,61)|(42,42)/(71,71)|(48,48)/(65,65)|(20,20)/(93,93)|(1,1)/(112,112)|(10,10)/(103,103)|(45,45)/(68,68)|(53,53)/(60,60)|(50,50)/(63,63)|(19,19)/(94,94)","(32,32)/(81,81)|(29,29)/(84,84)|(5,5)/(108,108)|(15,15)/(98,98)|(35,35)/(78,78)|(13,13)/(100,100)|(2,2)/(111,111)|(49,49)/(64,64)|(6,6)/(107,107)|(8,8)/(105,105)|(28,28)/(85,85)|(23,23)/(90,90)|(46,46)/(67,67)|(38,38)/(75,75)|(43,43)/(70,70)|(22,22)/(91,91)|(27,27)/(86,86)",303898988.0,303898988.0,1.0,addition_only,0.008849557489156723
