run,depth,regime,step,checkpoint,stage_name,stage_kind,layer,stage_order,representative_k,representative_l,conjugate_k,conjugate_l,family,pair_power,rank,pair_power_fraction_total,pair_power_fraction_non_dc
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,input_residual,input_residual,0,0,0,23,0,90,b_only,7.070626306671102e-09,1,2.0859370678588894e-15,0.0
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,input_residual,input_residual,0,0,45,0,68,0,a_only,6.981134781369747e-09,2,2.0595357730104824e-15,0.0
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,input_residual,input_residual,0,0,0,45,0,68,b_only,6.575203492786841e-09,3,1.939780169315247e-15,0.0
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,input_residual,input_residual,0,0,23,0,90,0,a_only,6.420945553031743e-09,4,1.8942718450748455e-15,0.0
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,input_residual,input_residual,0,0,5,0,108,0,a_only,4.900948091801638e-09,5,1.4458506006315044e-15,0.0
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,input_residual,input_residual,0,0,0,5,0,108,b_only,4.443238665885474e-09,6,1.31081969722679e-15,0.0
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,input_residual,input_residual,0,0,36,0,77,0,a_only,4.322096458508895e-09,7,1.275080993201287e-15,0.0
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,input_residual,input_residual,0,0,0,54,0,59,b_only,4.255911179029681e-09,8,1.255555378096719e-15,0.0
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,input_residual,input_residual,0,0,54,0,59,0,a_only,4.202420189614031e-09,9,1.2397747622390716e-15,0.0
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,input_residual,input_residual,0,0,0,6,0,107,b_only,4.012233212336014e-09,10,1.1836668520594669e-15,0.0
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,input_residual,input_residual,0,0,0,36,0,77,b_only,3.905004763993247e-09,11,1.1520329082720353e-15,0.0
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,input_residual,input_residual,0,0,0,11,0,102,b_only,3.769792478180989e-09,12,1.1121433275230692e-15,0.0
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,input_residual,input_residual,0,0,27,0,86,0,a_only,3.6931289137953627e-09,13,1.089526466757102e-15,0.0
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,input_residual,input_residual,0,0,6,0,107,0,a_only,3.5462788261497735e-09,14,1.0462035660758358e-15,0.0
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,input_residual,input_residual,0,0,11,0,102,0,a_only,3.442367280115377e-09,15,1.0155481564628051e-15,0.0
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,input_residual,input_residual,0,0,9,0,104,0,a_only,3.244401192148416e-09,16,9.571452960712601e-16,0.0
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,input_residual,input_residual,0,0,0,9,0,104,b_only,3.17665316273974e-09,17,9.3715864712552e-16,0.0
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,input_residual,input_residual,0,0,56,0,57,0,a_only,3.1655327248358844e-09,18,9.338779570383364e-16,0.0
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,input_residual,input_residual,0,0,0,35,0,78,b_only,3.0136200201980046e-09,19,8.890615110915498e-16,0.0
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,input_residual,input_residual,0,0,0,27,0,86,b_only,3.0080911095353713e-09,20,8.874304024463106e-16,0.0
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,layer_1_attention_output,attention_output,1,1,51,0,62,0,a_only,828.1364135742188,1,0.005051312090611094,0.014631308655555859
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,layer_1_attention_output,attention_output,1,1,47,0,66,0,a_only,824.6371459960938,2,0.005029967910671731,0.014569484464317904
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,layer_1_attention_output,attention_output,1,1,18,0,95,0,a_only,770.9195556640625,3,0.004702311368736126,0.01362041540818442
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,layer_1_attention_output,attention_output,1,1,41,0,72,0,a_only,753.931640625,4,0.004598691651954526,0.013320277140772507
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,layer_1_attention_output,attention_output,1,1,12,0,101,0,a_only,730.7503662109375,5,0.00445729483640074,0.012910716136785943
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,layer_1_attention_output,attention_output,1,1,26,0,87,0,a_only,728.1660766601562,6,0.0044415316688361595,0.01286505755028615
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,layer_1_attention_output,attention_output,1,1,55,0,58,0,a_only,727.4365844726562,7,0.004437082048403674,0.012852169063338614
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,layer_1_attention_output,attention_output,1,1,14,0,99,0,a_only,725.5383911132812,8,0.004425503802465731,0.01281863225409595
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,layer_1_attention_output,attention_output,1,1,7,0,106,0,a_only,723.0867919921875,9,0.004410549995244208,0.012775318009181158
subtraction_depth1_muon,1,muon,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt,layer_1_attention_output,attention_output,1,1,13,0,100,0,a_only,710.5164794921875,10,0.004333875946774391,0.012553228847215079
