run,depth,regime,event,target_step,selected_checkpoint_step,checkpoint
subtraction_depth1_muon,1,muon,regular_stride,0,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt
subtraction_depth1_muon,1,muon,regular_stride,25000,25000,checkpoints/subtraction_depth_1_muon_seed_0/step_025000.pt
subtraction_depth1_muon,1,muon,regular_stride,50000,50000,checkpoints/subtraction_depth_1_muon_seed_0/step_050000.pt
subtraction_depth1_muon,1,muon,regular_stride,75000,75000,checkpoints/subtraction_depth_1_muon_seed_0/step_075000.pt
subtraction_depth1_muon,1,muon,regular_stride,100000,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt
subtraction_depth1_muon,1,muon,initial,0,0,checkpoints/subtraction_depth_1_muon_seed_0/step_000000.pt
subtraction_depth1_muon,1,muon,final,100000,100000,checkpoints/subtraction_depth_1_muon_seed_0/step_100000.pt
subtraction_depth1_muon,1,muon,maximum_test_accuracy,30200,30000,checkpoints/subtraction_depth_1_muon_seed_0/step_030000.pt
subtraction_depth1_muon,1,muon,grokking_before,9000,9000,checkpoints/subtraction_depth_1_muon_seed_0/step_009000.pt
subtraction_depth1_muon,1,muon,grokking_after,9000,9000,checkpoints/subtraction_depth_1_muon_seed_0/step_009000.pt
subtraction_depth1_muon,1,muon,minimum_post_grokking_accuracy,65800,66000,checkpoints/subtraction_depth_1_muon_seed_0/step_066000.pt
subtraction_depth1_muon,1,muon,first_post_grokking_below_90_before,16100,16000,checkpoints/subtraction_depth_1_muon_seed_0/step_016000.pt
subtraction_depth1_muon,1,muon,first_post_grokking_below_90_after,16100,17000,checkpoints/subtraction_depth_1_muon_seed_0/step_017000.pt
subtraction_depth1_muon,1,muon,first_99_before,12100,12000,checkpoints/subtraction_depth_1_muon_seed_0/step_012000.pt
subtraction_depth1_muon,1,muon,first_99_after,12100,13000,checkpoints/subtraction_depth_1_muon_seed_0/step_013000.pt
subtraction_depth1_adamw,1,adamw,regular_stride,0,0,checkpoints/subtraction_depth_1_adamw_seed_0/step_000000.pt
subtraction_depth1_adamw,1,adamw,regular_stride,25000,25000,checkpoints/subtraction_depth_1_adamw_seed_0/step_025000.pt
subtraction_depth1_adamw,1,adamw,regular_stride,50000,50000,checkpoints/subtraction_depth_1_adamw_seed_0/step_050000.pt
subtraction_depth1_adamw,1,adamw,regular_stride,75000,75000,checkpoints/subtraction_depth_1_adamw_seed_0/step_075000.pt
subtraction_depth1_adamw,1,adamw,regular_stride,100000,100000,checkpoints/subtraction_depth_1_adamw_seed_0/step_100000.pt
subtraction_depth1_adamw,1,adamw,initial,0,0,checkpoints/subtraction_depth_1_adamw_seed_0/step_000000.pt
subtraction_depth1_adamw,1,adamw,final,100000,100000,checkpoints/subtraction_depth_1_adamw_seed_0/step_100000.pt
subtraction_depth1_adamw,1,adamw,maximum_test_accuracy,8500,8000,checkpoints/subtraction_depth_1_adamw_seed_0/step_008000.pt
subtraction_depth1_adamw,1,adamw,grokking_before,8400,8000,checkpoints/subtraction_depth_1_adamw_seed_0/step_008000.pt
subtraction_depth1_adamw,1,adamw,grokking_after,8400,9000,checkpoints/subtraction_depth_1_adamw_seed_0/step_009000.pt
subtraction_depth1_adamw,1,adamw,minimum_post_grokking_accuracy,8400,8000,checkpoints/subtraction_depth_1_adamw_seed_0/step_008000.pt
subtraction_depth1_adamw,1,adamw,first_99_before,8400,8000,checkpoints/subtraction_depth_1_adamw_seed_0/step_008000.pt
subtraction_depth1_adamw,1,adamw,first_99_after,8400,9000,checkpoints/subtraction_depth_1_adamw_seed_0/step_009000.pt
